,fixture_id,h_result,event_date,venue,h_team,a_team,h_halftime_score,a_haftime_score,h_fulltime_score,a_fulltime_score,h_shot_on_goal,a_shot_on_goal,h_shot_off_goal,a_shot_off_goal,h_total_shots,a_total_shots,h_blocked_shots,a_blocked_shots,h_shots_inside_box,a_shots_inside_box,h_shots_outside_box,a_shots_outside_box,h_fouls,a_fouls,h_corner_kicks,a_corner_kicks,h_offsides,a_offsides,h_ball_possession,a_ball_possession,h_yellow_cards,a_yellow_cards,h_red_cards,a_red_cards,h_goalkeeper_saves,a_goalkeeper_saves,h_total_passes,a_total_passes,h_accurate_passes,a_accurate_passes,h_pass_percentage,a_pass_percentage
0,17693,1,2016-08-13T14:00:00+00:00,Goodison Park,45,47,1,0,1,1,6,4,4,4,12,13,2,5,6,8,6,5,10,14,5,6,5,0,42%,58%,,,,,3,5,361,483,262,384,73%,80%
1,17682,2,2016-08-20T14:00:00+00:00,White Hart Lane,47,52,0,0,1,0,5,2,9,6,20,10,6,2,10,4,10,6,19,9,10,4,2,0,56%,44%,3,3,,,2,4,440,325,353,234,80%,72%
2,17676,1,2016-08-27T11:30:00+00:00,White Hart Lane,47,40,0,1,1,1,4,3,5,4,11,13,2,6,5,10,6,3,11,17,5,5,2,6,49%,51%,3,5,,,2,3,419,433,306,325,73%,75%
3,17664,0,2016-09-10T14:00:00+00:00,bet365 Stadium,75,47,0,1,0,4,2,8,7,4,16,20,7,8,9,14,7,6,13,18,10,8,2,0,39%,61%,3,2,,,5,2,325,510,233,426,72%,84%
4,17647,2,2016-09-18T15:30:00+00:00,White Hart Lane,47,746,0,0,1,0,9,2,15,3,31,6,7,1,16,5,15,1,7,16,14,1,,,73%,27%,1,7,0,1,1,8,613,224,546,140,89%,63%
5,17642,0,2016-09-24T14:00:00+00:00,Riverside,70,47,0,2,1,2,2,5,2,7,6,19,2,7,5,10,1,9,14,9,2,10,0,3,41%,59%,2,1,,,3,1,391,550,286,452,73%,82%
6,17629,2,2016-10-02T13:15:00+00:00,White Hart Lane,47,50,2,0,2,0,7,6,4,3,13,12,2,3,8,6,6,6,20,10,4,3,8,5,42%,58%,2,2,,,6,6,348,484,248,382,71%,79%
7,17625,1,2016-10-15T14:00:00+00:00,The Hawthorns,60,47,0,0,1,1,4,8,3,3,8,20,1,9,7,10,1,10,14,10,5,8,1,3,28%,72%,2,2,,,7,3,228,601,140,540,61%,90%
8,17616,1,2016-10-22T11:30:00+00:00,Vitality Stadium,35,47,0,0,0,0,1,4,3,6,8,16,4,6,7,9,1,7,10,15,7,4,1,3,38%,62%,2,4,,,4,1,323,543,232,451,72%,83%
9,17603,1,2016-10-29T14:00:00+00:00,White Hart Lane,47,46,1,0,1,1,5,1,11,4,22,6,6,1,10,4,12,2,11,20,8,1,2,1,64%,36%,3,4,,,0,5,493,275,405,181,82%,66%
10,17591,1,2016-11-06T12:00:00+00:00,Emirates Stadium,42,47,1,0,1,1,2,3,9,7,15,10,4,0,8,7,8,3,11,17,7,2,7,1,45%,55%,1,2,,,2,2,423,522,298,395,70%,76%
11,17579,2,2016-11-19T17:30:00+00:00,White Hart Lane,47,48,0,1,3,2,6,3,4,3,14,11,4,5,8,7,6,4,13,16,4,5,2,6,66%,34%,3,4,0,1,1,3,595,294,511,212,86%,72%
12,17571,2,2016-11-26T17:30:00+00:00,Stamford Bridge,49,47,1,1,2,1,5,6,3,5,9,12,1,1,5,4,4,8,13,16,3,8,3,3,45%,55%,2,1,,,5,3,386,459,296,371,77%,81%
13,17564,2,2016-12-03T15:00:00+00:00,White Hart Lane,47,76,2,0,5,0,15,0,7,0,28,1,6,1,15,0,13,1,11,17,5,0,3,4,60%,40%,0,4,,,0,10,575,379,491,276,85%,73%
14,17548,2,2016-12-11T14:15:00+00:00,Old Trafford,33,47,1,0,1,0,5,4,4,4,14,12,5,4,8,3,6,9,19,17,3,8,1,0,40%,60%,3,3,,,4,4,288,429,198,333,69%,78%
15,17540,2,2016-12-14T20:00:00+00:00,White Hart Lane,47,64,1,0,3,0,9,5,6,1,27,10,12,4,9,6,18,4,6,14,5,5,2,4,63%,37%,0,2,,,5,6,670,383,588,277,88%,72%
16,17529,2,2016-12-18T16:00:00+00:00,White Hart Lane,47,44,1,1,2,1,9,2,12,1,30,5,9,2,13,4,17,1,10,11,11,2,0,2,60%,40%,1,2,,,1,7,482,325,401,202,83%,62%
17,17517,0,2016-12-28T19:45:00+00:00,St. Mary's Stadium,41,47,1,1,1,4,2,5,3,7,9,17,4,5,5,10,4,7,7,16,2,10,2,0,34%,66%,1,4,1,0,1,1,319,622,221,521,69%,84%
18,17508,0,2017-01-01T13:30:00+00:00,Vicarage Road,38,47,0,3,1,4,2,6,1,11,6,19,3,2,4,11,2,8,11,6,0,3,5,3,33%,67%,3,0,,,2,1,293,578,190,480,65%,83%
19,17497,2,2017-01-04T20:00:00+00:00,White Hart Lane,47,49,1,0,2,0,2,2,6,6,9,11,1,3,3,6,6,5,9,8,1,6,2,4,45%,55%,3,2,,,2,0,440,526,334,429,76%,82%
20,17496,2,2017-01-14T12:30:00+00:00,White Hart Lane,47,60,2,0,4,0,11,0,7,2,21,3,3,1,11,1,11,2,11,12,8,0,1,1,72%,28%,0,2,,,0,8,670,248,588,162,88%,65%
21,17480,1,2017-01-21T17:30:00+00:00,Etihad Stadium,50,47,0,0,2,2,7,2,9,3,17,6,1,1,14,3,3,3,10,7,5,4,3,5,54%,46%,2,4,,,0,5,473,399,361,287,76%,72%
22,17475,1,2017-01-31T19:45:00+00:00,Stadium of Light,746,47,0,0,0,0,1,3,0,4,3,14,2,7,3,7,0,7,9,13,2,12,2,3,28%,72%,2,0,,,3,1,226,557,140,468,62%,84%
23,17459,2,2017-02-04T17:30:00+00:00,White Hart Lane,47,70,0,0,1,0,5,0,6,5,17,8,6,3,11,5,6,3,8,11,11,2,5,1,65%,35%,0,1,,,0,4,583,315,494,216,85%,69%
24,17450,2,2017-02-11T17:30:00+00:00,Anfield,40,47,2,0,2,0,9,2,4,4,17,7,4,1,11,5,6,2,14,14,10,3,2,1,50%,50%,3,5,,,2,7,425,421,299,297,70%,71%
25,17440,2,2017-02-26T13:30:00+00:00,White Hart Lane,47,75,4,0,4,0,9,3,7,2,21,5,5,0,11,5,10,0,11,14,8,5,1,2,64%,36%,2,3,,,3,5,588,317,504,219,86%,69%
26,17431,2,2017-03-05T13:30:00+00:00,White Hart Lane,47,45,1,0,3,2,7,4,5,1,20,8,8,3,11,4,9,4,9,14,7,2,2,4,51%,49%,1,2,,,2,4,462,440,367,328,79%,75%
27,17415,2,2017-03-19T14:15:00+00:00,White Hart Lane,47,41,2,0,2,1,6,3,2,4,12,8,4,1,7,5,5,3,12,13,5,1,2,7,50%,50%,3,3,,,2,4,456,443,341,332,75%,75%
