,fixture_id,league_id,league,event_date,event_timestamp,firstHalfStart,secondHalfStart,round,status,statusShort,elapsed,venue,referee,homeTeam,awayTeam,goalsHomeTeam,goalsAwayTeam,score
0,17695,56,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2016-08-13T14:00:00+00:00,1471096800,1471096800,1471100400,Regular Season - 1,Match Finished,FT,90,St. Mary's Stadium,"Roger East, England","{'team_id': 41, 'team_name': 'Southampton', 'logo': 'https://media.api-sports.io/football/teams/41.png'}","{'team_id': 38, 'team_name': 'Watford', 'logo': 'https://media.api-sports.io/football/teams/38.png'}",1,1,"{'halftime': '0-1', 'fulltime': '1-1', 'extratime': None, 'penalty': None}"
1,17683,56,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2016-08-20T14:00:00+00:00,1471701600,1471701600,1471705200,Regular Season - 2,Match Finished,FT,90,Vicarage Road,"Jonathan Moss, England","{'team_id': 38, 'team_name': 'Watford', 'logo': 'https://media.api-sports.io/football/teams/38.png'}","{'team_id': 49, 'team_name': 'Chelsea', 'logo': 'https://media.api-sports.io/football/teams/49.png'}",1,2,"{'halftime': '0-0', 'fulltime': '1-2', 'extratime': None, 'penalty': None}"
2,17675,56,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2016-08-27T14:00:00+00:00,1472306400,1472306400,1472310000,Regular Season - 3,Match Finished,FT,90,Vicarage Road,"Kevin Friend, England","{'team_id': 38, 'team_name': 'Watford', 'logo': 'https://media.api-sports.io/football/teams/38.png'}","{'team_id': 42, 'team_name': 'Arsenal', 'logo': 'https://media.api-sports.io/football/teams/42.png'}",1,3,"{'halftime': '0-3', 'fulltime': '1-3', 'extratime': None, 'penalty': None}"
3,17665,56,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2016-09-10T14:00:00+00:00,1473516000,1473516000,1473519600,Regular Season - 4,Match Finished,FT,90,London Stadium,"Martin Atkinson, England","{'team_id': 48, 'team_name': 'West Ham', 'logo': 'https://media.api-sports.io/football/teams/48.png'}","{'team_id': 38, 'team_name': 'Watford', 'logo': 'https://media.api-sports.io/football/teams/38.png'}",2,4,"{'halftime': '2-2', 'fulltime': '2-4', 'extratime': None, 'penalty': None}"
4,17650,56,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2016-09-18T11:00:00+00:00,1474196400,1474196400,1474200000,Regular Season - 5,Match Finished,FT,90,Vicarage Road,"Michael Oliver, England","{'team_id': 38, 'team_name': 'Watford', 'logo': 'https://media.api-sports.io/football/teams/38.png'}","{'team_id': 33, 'team_name': 'Manchester United', 'logo': 'https://media.api-sports.io/football/teams/33.png'}",3,1,"{'halftime': '1-0', 'fulltime': '3-1', 'extratime': None, 'penalty': None}"
5,17637,56,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2016-09-26T19:00:00+00:00,1474916400,1474916400,1474920000,Regular Season - 6,Match Finished,FT,90,Turf Moor,"Mike Jones, England","{'team_id': 44, 'team_name': 'Burnley', 'logo': 'https://media.api-sports.io/football/teams/44.png'}","{'team_id': 38, 'team_name': 'Watford', 'logo': 'https://media.api-sports.io/football/teams/38.png'}",2,0,"{'halftime': '1-0', 'fulltime': '2-0', 'extratime': None, 'penalty': None}"
6,17633,56,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2016-10-01T14:00:00+00:00,1475330400,1475330400,1475334000,Regular Season - 7,Match Finished,FT,90,Vicarage Road,"Mike Dean, England","{'team_id': 38, 'team_name': 'Watford', 'logo': 'https://media.api-sports.io/football/teams/38.png'}","{'team_id': 35, 'team_name': 'Bournemouth', 'logo': 'https://media.api-sports.io/football/teams/35.png'}",2,2,"{'halftime': '0-1', 'fulltime': '2-2', 'extratime': None, 'penalty': None}"
7,17619,56,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2016-10-16T12:30:00+00:00,1476621000,1476621000,1476624600,Regular Season - 8,Match Finished,FT,90,Riverside,"Roger East, England","{'team_id': 70, 'team_name': 'Middlesbrough', 'logo': 'https://media.api-sports.io/football/teams/70.png'}","{'team_id': 38, 'team_name': 'Watford', 'logo': 'https://media.api-sports.io/football/teams/38.png'}",0,1,"{'halftime': '0-0', 'fulltime': '0-1', 'extratime': None, 'penalty': None}"
8,17614,56,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2016-10-22T14:00:00+00:00,1477144800,1477144800,1477148400,Regular Season - 9,Match Finished,FT,90,Liberty Stadium,"Paul Tierney, England","{'team_id': 76, 'team_name': 'Swansea', 'logo': 'https://media.api-sports.io/football/teams/76.png'}","{'team_id': 38, 'team_name': 'Watford', 'logo': 'https://media.api-sports.io/football/teams/38.png'}",0,0,"{'halftime': '0-0', 'fulltime': '0-0', 'extratime': None, 'penalty': None}"
9,17604,56,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2016-10-29T14:00:00+00:00,1477749600,1477749600,1477753200,Regular Season - 10,Match Finished,FT,90,Vicarage Road,"Jonathan Moss, England","{'team_id': 38, 'team_name': 'Watford', 'logo': 'https://media.api-sports.io/football/teams/38.png'}","{'team_id': 64, 'team_name': 'Hull City', 'logo': 'https://media.api-sports.io/football/teams/64.png'}",1,0,"{'halftime': '0-0', 'fulltime': '1-0', 'extratime': None, 'penalty': None}"
10,17590,56,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2016-11-06T14:15:00+00:00,1478441700,1478441700,1478445300,Regular Season - 11,Match Finished,FT,90,Anfield,"Michael Oliver, England","{'team_id': 40, 'team_name': 'Liverpool', 'logo': 'https://media.api-sports.io/football/teams/40.png'}","{'team_id': 38, 'team_name': 'Watford', 'logo': 'https://media.api-sports.io/football/teams/38.png'}",6,1,"{'halftime': '3-0', 'fulltime': '6-1', 'extratime': None, 'penalty': None}"
11,17585,56,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2016-11-19T15:00:00+00:00,1479567600,1479567600,1479571200,Regular Season - 12,Match Finished,FT,90,Vicarage Road,"Neil Swarbrick, England","{'team_id': 38, 'team_name': 'Watford', 'logo': 'https://media.api-sports.io/football/teams/38.png'}","{'team_id': 46, 'team_name': 'Leicester', 'logo': 'https://media.api-sports.io/football/teams/46.png'}",2,1,"{'halftime': '2-1', 'fulltime': '2-1', 'extratime': None, 'penalty': None}"
12,17570,56,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2016-11-27T12:00:00+00:00,1480248000,1480248000,1480251600,Regular Season - 13,Match Finished,FT,90,Vicarage Road,"Martin Atkinson, England","{'team_id': 38, 'team_name': 'Watford', 'logo': 'https://media.api-sports.io/football/teams/38.png'}","{'team_id': 75, 'team_name': 'Stoke City', 'logo': 'https://media.api-sports.io/football/teams/75.png'}",0,1,"{'halftime': '0-1', 'fulltime': '0-1', 'extratime': None, 'penalty': None}"
13,17565,56,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2016-12-03T15:00:00+00:00,1480777200,1480777200,1480780800,Regular Season - 14,Match Finished,FT,90,The Hawthorns,"Graham Scott, England","{'team_id': 60, 'team_name': 'West Brom', 'logo': 'https://media.api-sports.io/football/teams/60.png'}","{'team_id': 38, 'team_name': 'Watford', 'logo': 'https://media.api-sports.io/football/teams/38.png'}",3,1,"{'halftime': '2-0', 'fulltime': '3-1', 'extratime': None, 'penalty': None}"
14,17556,56,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2016-12-10T12:30:00+00:00,1481373000,1481373000,1481376600,Regular Season - 15,Match Finished,FT,90,Vicarage Road,"Anthony Taylor, England","{'team_id': 38, 'team_name': 'Watford', 'logo': 'https://media.api-sports.io/football/teams/38.png'}","{'team_id': 45, 'team_name': 'Everton', 'logo': 'https://media.api-sports.io/football/teams/45.png'}",3,2,"{'halftime': '1-1', 'fulltime': '3-2', 'extratime': None, 'penalty': None}"
15,17538,56,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2016-12-14T20:00:00+00:00,1481745600,1481745600,1481749200,Regular Season - 16,Match Finished,FT,90,Etihad Stadium,"Kevin Friend, England","{'team_id': 50, 'team_name': 'Manchester City', 'logo': 'https://media.api-sports.io/football/teams/50.png'}","{'team_id': 38, 'team_name': 'Watford', 'logo': 'https://media.api-sports.io/football/teams/38.png'}",2,0,"{'halftime': '1-0', 'fulltime': '2-0', 'extratime': None, 'penalty': None}"
16,17534,56,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2016-12-17T15:00:00+00:00,1481986800,1481986800,1481990400,Regular Season - 17,Match Finished,FT,90,Stadium of Light,"Robert Madley, England","{'team_id': 746, 'team_name': 'Sunderland', 'logo': 'https://media.api-sports.io/football/teams/746.png'}","{'team_id': 38, 'team_name': 'Watford', 'logo': 'https://media.api-sports.io/football/teams/38.png'}",1,0,"{'halftime': '0-0', 'fulltime': '1-0', 'extratime': None, 'penalty': None}"
17,17526,56,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2016-12-26T12:30:00+00:00,1482755400,1482755400,1482759000,Regular Season - 18,Match Finished,FT,90,Vicarage Road,"Mark Clattenburg, England","{'team_id': 38, 'team_name': 'Watford', 'logo': 'https://media.api-sports.io/football/teams/38.png'}","{'team_id': 52, 'team_name': 'Crystal Palace', 'logo': 'https://media.api-sports.io/football/teams/52.png'}",1,1,"{'halftime': '0-1', 'fulltime': '1-1', 'extratime': None, 'penalty': None}"
18,17508,56,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2017-01-01T13:30:00+00:00,1483277400,1483277400,1483281000,Regular Season - 19,Match Finished,FT,90,Vicarage Road,"Michael Oliver, England","{'team_id': 38, 'team_name': 'Watford', 'logo': 'https://media.api-sports.io/football/teams/38.png'}","{'team_id': 47, 'team_name': 'Tottenham', 'logo': 'https://media.api-sports.io/football/teams/47.png'}",1,4,"{'halftime': '0-3', 'fulltime': '1-4', 'extratime': None, 'penalty': None}"
