,fixture_id,h_result,event_date,venue,h_team,a_team,h_halftime_score,a_haftime_score,h_fulltime_score,a_fulltime_score,h_shot_on_goal,a_shot_on_goal,h_shot_off_goal,a_shot_off_goal,h_total_shots,a_total_shots,h_blocked_shots,a_blocked_shots,h_shots_inside_box,a_shots_inside_box,h_shots_outside_box,a_shots_outside_box,h_fouls,a_fouls,h_corner_kicks,a_corner_kicks,h_offsides,a_offsides,h_ball_possession,a_ball_possession,h_yellow_cards,a_yellow_cards,h_red_cards,a_red_cards,h_goalkeeper_saves,a_goalkeeper_saves,h_total_passes,a_total_passes,h_accurate_passes,a_accurate_passes,h_pass_percentage,a_pass_percentage
0,17690,2,2016-08-13T16:30:00+00:00,Etihad Stadium,50,746,1,0,2,1,4,3,8,2,16,7,4,2,9,4,8,3,11,14,9,6,1,2,76%,24%,1,2,,,2,3,681,189,585,104,86%,55%
1,17678,0,2016-08-21T12:30:00+00:00,Stadium of Light,746,70,0,2,1,2,5,3,6,2,18,8,7,3,13,3,5,5,11,14,8,1,2,0,46%,54%,1,1,,,1,4,401,476,307,372,77%,78%
2,17674,1,2016-08-27T14:00:00+00:00,St. Mary's Stadium,41,746,0,0,1,1,7,2,5,2,16,5,4,1,1,4,15,1,15,8,5,5,4,2,63%,37%,2,2,,,1,6,480,270,391,179,81%,66%
3,17657,0,2016-09-12T19:00:00+00:00,Stadium of Light,746,45,0,0,0,3,2,9,1,8,11,20,8,3,7,15,4,5,11,8,5,4,0,1,33%,67%,1,1,,,6,2,283,569,209,507,74%,89%
4,17647,2,2016-09-18T15:30:00+00:00,White Hart Lane,47,746,0,0,1,0,9,2,15,3,31,6,7,1,16,5,15,1,7,16,14,1,,,73%,27%,1,7,0,1,1,8,613,224,546,140,89%,63%
5,17644,0,2016-09-24T14:00:00+00:00,Stadium of Light,746,52,1,0,2,3,4,4,4,13,11,21,3,4,6,15,5,6,15,12,3,5,3,2,44%,56%,0,2,,,1,2,360,450,260,336,72%,75%
6,17632,1,2016-10-01T14:00:00+00:00,Stadium of Light,746,60,0,1,1,1,2,7,4,7,7,17,1,3,6,9,1,8,7,13,6,5,2,1,55%,45%,1,3,,,6,2,424,326,328,233,77%,71%
7,17624,2,2016-10-15T14:00:00+00:00,bet365 Stadium,75,746,2,0,2,0,6,1,4,4,17,11,7,6,9,5,8,6,10,13,6,4,2,2,57%,43%,1,1,,,1,4,478,357,393,266,82%,75%
8,17615,2,2016-10-22T14:00:00+00:00,London Stadium,48,746,0,0,1,0,3,2,9,4,20,10,8,4,12,4,8,6,10,13,6,2,3,1,64%,36%,2,5,,,2,2,541,296,469,207,87%,70%
9,17606,0,2016-10-29T11:30:00+00:00,Stadium of Light,746,42,0,1,1,4,1,7,1,12,3,21,1,2,1,14,2,7,9,13,0,8,6,1,34%,66%,4,3,,,3,0,299,591,216,505,72%,85%
10,17593,0,2016-11-05T15:00:00+00:00,Vitality Stadium,35,746,1,1,1,2,7,4,10,0,22,9,5,5,16,6,6,3,14,17,12,2,1,2,69%,31%,3,4,0,1,2,6,537,235,464,163,86%,69%
11,17584,2,2016-11-19T15:00:00+00:00,Stadium of Light,746,64,1,0,3,0,4,7,3,6,11,17,4,4,8,10,3,7,9,8,2,8,1,1,41%,59%,3,0,1,0,5,1,374,515,295,456,79%,89%
12,17574,2,2016-11-26T15:00:00+00:00,Anfield,40,746,0,0,2,0,7,1,13,1,27,6,7,4,14,2,13,4,5,9,9,4,0,1,77%,23%,1,3,,,1,5,702,205,608,125,87%,61%
13,17563,2,2016-12-03T15:00:00+00:00,Stadium of Light,746,46,0,0,2,1,6,5,10,5,22,17,6,7,15,9,8,8,8,12,3,4,1,3,53%,47%,3,1,,,4,5,415,358,323,259,78%,72%
14,17555,2,2016-12-10T15:00:00+00:00,Liberty Stadium,76,746,0,0,3,0,5,2,7,4,14,11,2,5,10,6,4,5,10,8,7,4,1,2,61%,39%,1,2,,,2,2,477,301,389,211,82%,70%
15,17543,0,2016-12-14T19:45:00+00:00,Stadium of Light,746,49,0,1,0,1,3,6,4,10,8,19,1,3,5,10,3,9,15,10,5,5,1,3,33%,67%,3,2,,,5,3,314,619,232,536,74%,87%
16,17534,2,2016-12-17T15:00:00+00:00,Stadium of Light,746,38,0,0,1,0,2,4,3,4,11,10,6,2,9,6,2,4,10,9,4,11,2,2,42%,58%,1,2,,,4,1,275,364,187,264,68%,73%
17,17524,2,2016-12-26T15:00:00+00:00,Old Trafford,33,746,1,0,3,1,9,4,11,2,26,9,6,3,13,4,13,5,6,9,5,5,4,2,62%,38%,1,2,,,3,6,607,365,537,276,88%,76%
18,17510,2,2016-12-31T15:00:00+00:00,Turf Moor,44,746,1,0,4,1,6,3,8,5,16,11,2,3,11,5,5,6,10,9,6,2,3,2,45%,55%,1,1,,,2,2,344,418,233,314,68%,75%
19,17504,1,2017-01-02T15:00:00+00:00,Stadium of Light,746,40,1,1,2,2,5,15,0,3,10,21,5,3,5,12,5,9,10,10,2,5,3,3,29%,71%,2,3,,,13,3,290,698,199,605,69%,87%
20,17492,0,2017-01-14T15:00:00+00:00,Stadium of Light,746,75,1,3,1,3,3,6,4,3,13,14,6,5,6,10,7,4,16,11,5,2,5,1,51%,49%,3,1,,,3,2,438,424,341,321,78%,76%
21,17485,2,2017-01-21T15:00:00+00:00,The Hawthorns,60,746,2,0,2,0,5,3,5,2,14,9,4,4,9,3,5,6,15,12,1,4,2,1,44%,56%,1,1,,,3,3,355,451,267,360,75%,80%
22,17475,1,2017-01-31T19:45:00+00:00,Stadium of Light,746,47,0,0,0,0,1,3,0,4,3,14,2,7,3,7,0,7,9,13,2,12,2,3,28%,72%,2,0,,,3,1,226,557,140,468,62%,84%
23,17460,0,2017-02-04T15:00:00+00:00,Selhurst Park,52,746,0,4,0,4,9,7,8,3,21,10,4,0,14,5,7,5,9,8,7,1,1,1,65%,35%,3,3,,,3,8,502,278,413,198,82%,71%
24,17454,0,2017-02-11T15:00:00+00:00,Stadium of Light,746,41,0,2,0,4,1,8,1,4,6,15,4,3,2,11,4,5,12,15,6,2,1,2,46%,54%,1,0,,,5,1,448,524,348,437,78%,83%
25,17444,2,2017-02-25T15:00:00+00:00,Goodison Park,45,746,1,0,2,0,8,1,9,3,20,10,3,6,16,8,4,2,10,16,10,6,1,0,63%,37%,0,2,,,1,6,512,285,427,182,83%,64%
26,17430,0,2017-03-05T16:00:00+00:00,Stadium of Light,746,50,0,1,0,2,3,7,5,5,11,14,3,2,7,8,4,6,11,4,6,4,4,3,29%,71%,1,0,,,5,3,287,718,200,642,70%,89%
27,17421,1,2017-03-18T15:00:00+00:00,Stadium of Light,746,44,0,0,0,0,5,3,7,7,14,16,2,6,7,9,7,7,14,7,3,5,0,1,44%,56%,3,1,,,3,5,297,384,186,272,63%,71%
28,17412,2,2017-04-01T14:00:00+00:00,Vicarage Road,38,746,0,0,1,0,10,3,5,2,23,11,8,6,15,3,8,8,12,8,13,9,1,0,56%,44%,1,3,,,3,9,387,302,318,208,82%,69%
29,17402,2,2017-04-04T18:45:00+00:00,King Power Stadium,46,746,0,0,2,0,8,3,5,8,19,15,6,4,11,9,8,6,12,13,5,6,1,3,54%,46%,0,1,,,4,6,400,328,312,223,78%,68%
30,17386,0,2017-04-09T12:30:00+00:00,Stadium of Light,746,33,0,1,0,3,4,9,3,5,9,18,2,4,3,6,6,12,14,20,4,5,2,2,29%,71%,1,5,1,0,6,4,237,582,158,506,67%,87%
31,17381,1,2017-04-15T14:00:00+00:00,Stadium of Light,746,48,1,1,2,2,4,3,6,2,14,7,4,2,7,4,7,3,14,10,7,1,2,0,47%,53%,1,2,0,1,1,2,367,416,285,322,78%,77%
32,17366,2,2017-04-26T18:45:00+00:00,Riverside,70,746,1,0,1,0,2,4,3,4,6,10,1,2,2,4,4,6,15,11,3,5,1,6,48%,52%,3,3,,,4,1,397,416,282,302,71%,73%
33,17361,0,2017-04-29T14:00:00+00:00,Stadium of Light,746,35,0,0,0,1,5,7,9,4,17,15,3,4,10,11,7,4,13,9,6,5,4,1,40%,60%,3,2,,,5,5,338,501,253,414,75%,83%
34,17349,0,2017-05-06T14:00:00+00:00,KCOM Stadium,64,746,0,0,0,2,6,5,5,6,16,12,5,1,8,8,8,4,10,8,7,4,0,4,59%,41%,3,1,,,3,5,451,317,358,220,79%,69%
35,17338,0,2017-05-13T14:00:00+00:00,Stadium of Light,746,76,0,2,0,2,4,3,6,0,13,3,3,0,9,2,4,1,13,6,8,4,2,1,52%,48%,4,0,,,1,4,441,400,364,322,83%,81%
36,17330,2,2017-05-16T18:45:00+00:00,Emirates Stadium,42,746,0,0,2,0,13,2,10,2,36,6,13,2,24,3,12,3,15,10,17,3,2,3,62%,38%,4,2,,,2,11,543,336,476,251,88%,75%
37,17319,2,2017-05-21T14:00:00+00:00,Stamford Bridge,49,746,1,1,5,1,8,3,12,2,28,7,8,2,19,3,9,4,8,15,11,1,0,1,70%,30%,1,1,,,2,3,643,269,587,211,91%,78%
