,fixture_id,h_result,event_date,venue,h_team,a_team,h_halftime_score,a_haftime_score,h_fulltime_score,a_fulltime_score,h_shot_on_goal,a_shot_on_goal,h_shot_off_goal,a_shot_off_goal,h_total_shots,a_total_shots,h_blocked_shots,a_blocked_shots,h_shots_inside_box,a_shots_inside_box,h_shots_outside_box,a_shots_outside_box,h_fouls,a_fouls,h_corner_kicks,a_corner_kicks,h_offsides,a_offsides,h_ball_possession,a_ball_possession,h_yellow_cards,a_yellow_cards,h_red_cards,a_red_cards,h_goalkeeper_saves,a_goalkeeper_saves,h_total_passes,a_total_passes,h_accurate_passes,a_accurate_passes,h_pass_percentage,a_pass_percentage
0,17696,2,2016-08-13T11:30:00+00:00,KCOM Stadium,64,46,1,0,2,1,5,5,7,9,14,18,2,4,7,9,7,9,8,17,5,3,1,0,49%,51%,2,2,,,4,3,449,453,343,352,76%,78%
1,17681,0,2016-08-20T14:00:00+00:00,Liberty Stadium,76,64,0,0,0,2,3,4,13,3,23,12,7,5,9,9,14,3,7,10,8,3,0,5,56%,44%,,,,,2,3,563,460,478,362,85%,79%
2,17669,0,2016-08-27T16:30:00+00:00,KCOM Stadium,64,33,0,0,0,1,2,9,4,12,8,29,2,8,2,14,6,15,9,6,1,6,0,1,37%,63%,2,3,,,8,2,394,615,305,542,77%,88%
3,17662,1,2016-09-10T14:00:00+00:00,Turf Moor,44,64,0,0,1,1,2,3,6,8,13,11,5,0,5,5,8,6,13,3,5,9,0,3,39%,61%,2,0,,,2,1,394,615,314,528,80%,86%
4,17652,0,2016-09-17T14:00:00+00:00,KCOM Stadium,64,42,0,1,1,4,2,9,2,6,6,24,2,9,3,16,3,8,9,12,2,4,3,2,39%,61%,0,2,1,0,6,1,508,801,437,741,86%,93%
5,17641,2,2016-09-24T14:00:00+00:00,Anfield,40,64,3,0,5,1,12,1,9,1,32,2,11,0,17,1,15,1,8,8,13,2,0,1,74%,26%,1,2,0,1,0,6,763,263,698,190,91%,72%
6,17631,0,2016-10-01T14:00:00+00:00,KCOM Stadium,64,49,0,0,0,2,2,9,3,9,8,22,3,4,3,13,5,9,13,15,5,7,1,0,40%,60%,2,2,,,6,2,385,554,302,460,78%,83%
7,17622,2,2016-10-15T14:00:00+00:00,Vitality Stadium,35,64,3,1,6,1,10,4,5,6,22,11,7,1,13,4,9,7,8,14,5,4,,,49%,51%,0,3,,,3,4,459,461,402,379,88%,82%
8,17612,0,2016-10-22T14:00:00+00:00,KCOM Stadium,64,75,0,1,0,2,2,6,6,4,9,12,1,2,7,8,2,4,16,8,5,7,1,0,48%,52%,2,3,,,4,2,447,481,365,375,82%,78%
9,17604,2,2016-10-29T14:00:00+00:00,Vicarage Road,38,64,0,0,1,0,0,2,16,4,23,8,7,2,12,3,12,5,13,8,7,2,0,2,54%,46%,1,2,,,2,0,476,399,374,290,79%,73%
10,17589,2,2016-11-06T14:15:00+00:00,KCOM Stadium,64,41,0,1,2,1,2,7,4,5,6,19,0,7,4,13,2,6,13,15,1,10,1,1,33%,67%,0,5,,,6,0,319,631,228,538,71%,85%
11,17584,2,2016-11-19T15:00:00+00:00,Stadium of Light,746,64,1,0,3,0,4,7,3,6,11,17,4,4,8,10,3,7,9,8,2,8,1,1,41%,59%,3,0,1,0,5,1,374,515,295,456,79%,89%
12,17572,1,2016-11-26T15:00:00+00:00,KCOM Stadium,64,60,0,1,1,1,4,2,4,7,10,11,2,2,4,7,6,4,7,10,2,6,1,0,53%,47%,3,2,,,1,3,480,405,388,314,81%,78%
13,17557,2,2016-12-05T20:00:00+00:00,Riverside,70,64,0,0,1,0,4,2,5,3,16,6,7,1,10,3,6,3,6,10,13,7,3,2,60%,40%,1,1,,,2,3,601,395,524,300,87%,76%
14,17554,1,2016-12-10T15:00:00+00:00,KCOM Stadium,64,52,1,0,3,3,6,6,7,6,15,15,2,3,11,10,4,5,16,14,4,7,2,0,56%,44%,2,4,,,3,3,448,340,352,247,79%,73%
15,17540,2,2016-12-14T20:00:00+00:00,White Hart Lane,47,64,1,0,3,0,9,5,6,1,27,10,12,4,9,6,18,4,6,14,5,5,2,4,63%,37%,0,2,,,5,6,670,383,588,277,88%,72%
16,17535,2,2016-12-17T15:00:00+00:00,London Stadium,48,64,0,0,1,0,6,5,4,8,19,16,9,3,10,11,9,5,13,9,10,6,1,9,56%,44%,2,4,,,4,4,419,322,344,219,82%,68%
17,17519,0,2016-12-26T17:15:00+00:00,KCOM Stadium,64,50,0,0,0,3,3,6,5,6,10,16,2,4,6,9,4,8,11,14,4,7,2,1,32%,68%,1,0,,,4,2,320,683,228,590,71%,86%
