,fixture_id,h_result,event_date,venue,h_team,a_team,h_halftime_score,a_haftime_score,h_fulltime_score,a_fulltime_score,h_shot_on_goal,a_shot_on_goal,h_shot_off_goal,a_shot_off_goal,h_total_shots,a_total_shots,h_blocked_shots,a_blocked_shots,h_shots_inside_box,a_shots_inside_box,h_shots_outside_box,a_shots_outside_box,h_fouls,a_fouls,h_corner_kicks,a_corner_kicks,h_offsides,a_offsides,h_ball_possession,a_ball_possession,h_yellow_cards,a_yellow_cards,h_red_cards,a_red_cards,h_goalkeeper_saves,a_goalkeeper_saves,h_total_passes,a_total_passes,h_accurate_passes,a_accurate_passes,h_pass_percentage,a_pass_percentage
0,17696,2,2016-08-13T11:30:00+00:00,KCOM Stadium,64,46,1,0,2,1,5,5,7,9,14,18,2,4,7,9,7,9,8,17,5,3,1,0,49%,51%,2,2,,,4,3,449,453,343,352,76%,78%
1,17679,1,2016-08-20T16:30:00+00:00,King Power Stadium,46,42,0,0,0,0,1,4,2,4,8,13,5,5,3,5,5,8,11,7,2,7,1,2,39%,61%,1,2,,,4,1,362,555,256,450,71%,81%
2,17673,2,2016-08-27T14:00:00+00:00,King Power Stadium,46,76,1,0,2,1,6,3,5,5,13,9,2,1,8,4,5,5,14,10,4,6,3,1,52%,48%,2,2,,,2,4,408,363,302,260,74%,72%
3,17659,2,2016-09-10T16:30:00+00:00,Anfield,40,46,2,1,4,1,11,3,2,4,17,12,4,5,9,7,8,5,4,8,1,7,3,1,62%,38%,1,2,,,2,7,605,351,490,239,81%,68%
4,17653,2,2016-09-17T14:00:00+00:00,King Power Stadium,46,44,1,0,3,0,6,2,3,4,14,7,5,1,8,3,7,4,10,9,7,1,2,4,59%,41%,0,1,,,2,4,517,361,393,248,76%,69%
5,17646,2,2016-09-24T11:30:00+00:00,Old Trafford,33,46,4,0,4,1,7,3,8,1,16,10,1,6,12,2,4,8,9,12,8,6,4,1,67%,33%,0,2,,,2,3,712,336,619,229,87%,68%
6,17628,1,2016-10-02T13:15:00+00:00,King Power Stadium,46,41,0,0,0,0,1,5,5,3,9,11,3,3,5,8,4,3,9,9,3,6,1,2,38%,62%,1,0,,,5,1,390,627,286,525,73%,84%
7,17626,2,2016-10-15T11:30:00+00:00,Stamford Bridge,49,46,2,0,3,0,6,0,6,3,16,5,4,2,10,2,6,3,6,12,8,5,0,1,54%,46%,1,1,,,0,4,553,449,458,351,83%,78%
8,17613,2,2016-10-22T14:00:00+00:00,King Power Stadium,46,52,1,0,3,1,4,7,7,7,16,23,5,9,10,13,6,10,10,8,8,8,1,3,44%,56%,,,,,5,1,403,487,297,390,74%,80%
9,17603,1,2016-10-29T14:00:00+00:00,White Hart Lane,47,46,1,0,1,1,5,1,11,4,22,6,6,1,10,4,12,2,11,20,8,1,2,1,64%,36%,3,4,,,0,5,493,275,405,181,82%,66%
10,17587,0,2016-11-06T16:30:00+00:00,King Power Stadium,46,60,0,0,1,2,2,5,3,3,5,11,0,3,3,7,2,4,8,8,5,6,4,0,59%,41%,0,2,,,3,2,520,358,381,246,73%,69%
