,fixture_id,h_result,event_date,venue,h_team,a_team,h_halftime_score,a_haftime_score,h_fulltime_score,a_fulltime_score,h_shot_on_goal,a_shot_on_goal,h_shot_off_goal,a_shot_off_goal,h_total_shots,a_total_shots,h_blocked_shots,a_blocked_shots,h_shots_inside_box,a_shots_inside_box,h_shots_outside_box,a_shots_outside_box,h_fouls,a_fouls,h_corner_kicks,a_corner_kicks,h_offsides,a_offsides,h_ball_possession,a_ball_possession,h_yellow_cards,a_yellow_cards,h_red_cards,a_red_cards,h_goalkeeper_saves,a_goalkeeper_saves,h_total_passes,a_total_passes,h_accurate_passes,a_accurate_passes,h_pass_percentage,a_pass_percentage
0,11906,0,2017-08-12T14:00:00+00:00,Selhurst Park,52,37,0,2,0,3,4,6,7,3,14,9,3,0,10,7,4,3,7,19,12,9,0,2,56%,44%,1,3,,,4,4,391,306,304,199,78%,65%
1,11899,2,2017-08-19T14:00:00+00:00,Anfield,40,52,0,0,1,0,13,1,5,2,23,4,5,1,13,3,10,1,12,13,4,2,2,4,72%,28%,1,3,,,1,12,712,273,603,181,85%,66%
2,11887,0,2017-08-26T14:00:00+00:00,Selhurst Park,52,76,0,1,0,2,3,3,12,2,16,7,1,2,7,5,9,2,9,6,1,1,0,3,53%,47%,4,1,,,1,3,504,464,416,369,83%,80%
3,11874,2,2017-09-10T12:30:00+00:00,Turf Moor,44,52,1,0,1,0,2,4,2,6,4,23,0,13,3,12,1,11,7,14,3,13,8,1,35%,65%,1,1,,,3,1,254,450,160,342,63%,76%
4,11870,0,2017-09-16T11:30:00+00:00,Selhurst Park,52,41,0,1,0,1,3,4,9,4,14,13,2,5,10,8,4,5,14,13,5,5,0,1,45%,55%,5,1,,,3,3,410,503,311,404,76%,80%
5,11857,2,2017-09-23T14:00:00+00:00,Etihad Stadium,50,52,1,0,5,0,9,0,7,2,25,5,9,3,21,2,4,3,6,7,8,2,0,1,71%,29%,3,1,,,0,4,724,281,656,205,91%,73%
6,11847,2,2017-09-30T14:00:00+00:00,Old Trafford,33,52,2,0,4,0,7,1,6,4,18,6,5,1,14,4,4,2,6,9,6,5,2,1,59%,41%,,,,,1,3,566,377,474,295,84%,78%
7,11837,2,2017-10-14T14:00:00+00:00,Selhurst Park,52,49,2,1,2,1,5,5,6,6,14,15,3,4,9,6,6,9,7,6,5,8,1,6,43%,57%,2,1,,,4,4,431,559,309,459,72%,82%
8,11827,2,2017-10-21T14:00:00+00:00,St James' Park,34,52,0,0,1,0,3,0,1,7,7,10,3,3,3,7,4,3,12,14,3,5,0,1,55%,45%,4,2,,,0,2,453,365,361,261,80%,72%
9,11817,1,2017-10-28T14:00:00+00:00,Selhurst Park,52,48,0,2,2,2,9,2,8,3,20,6,3,1,16,4,4,2,18,15,11,2,3,1,55%,45%,1,2,,,0,7,410,331,316,238,77%,72%
10,11805,2,2017-11-05T12:00:00+00:00,Wembley Stadium,47,52,0,0,1,0,2,3,6,5,12,11,4,3,6,7,6,4,6,7,10,9,3,4,68%,32%,0,2,,,3,1,583,268,491,185,84%,69%
11,11797,1,2017-11-18T15:00:00+00:00,Selhurst Park,52,45,2,2,2,2,7,5,5,2,16,8,4,1,9,6,7,2,9,26,9,4,1,1,68%,32%,2,3,,,3,5,539,248,439,159,81%,64%
12,11786,2,2017-11-25T15:00:00+00:00,Selhurst Park,52,75,0,0,2,1,5,3,2,6,10,10,3,1,8,6,2,4,9,5,5,2,2,1,54%,46%,1,1,,,2,3,492,425,379,327,77%,77%
13,11780,1,2017-11-28T19:45:00+00:00,American Express Community Stadium,51,52,0,0,0,0,4,4,4,5,10,10,2,1,6,5,4,5,13,8,10,5,5,0,53%,47%,2,0,,,4,3,452,405,334,295,74%,73%
14,11770,1,2017-12-02T15:00:00+00:00,The Hawthorns,60,52,0,0,0,0,6,2,8,3,20,10,6,5,15,7,5,3,11,10,3,7,3,1,51%,49%,3,1,,,2,7,395,380,288,271,73%,71%
15,11757,1,2017-12-09T15:00:00+00:00,Selhurst Park,52,35,2,2,2,2,8,5,8,3,24,11,8,3,19,5,5,6,14,14,6,3,5,3,45%,55%,5,2,,,3,6,345,442,257,352,74%,80%
16,11749,2,2017-12-12T20:00:00+00:00,Selhurst Park,52,38,0,1,2,1,4,2,6,3,14,7,4,2,8,5,6,2,14,18,4,6,3,0,53%,47%,2,3,0,1,1,2,415,352,318,242,77%,69%
17,11741,0,2017-12-16T12:30:00+00:00,King Power Stadium,46,52,0,2,0,3,2,6,5,3,11,13,4,4,8,10,3,3,12,13,6,4,,,56%,44%,4,2,1,0,3,2,452,368,357,275,79%,75%
18,11728,1,2017-12-23T15:00:00+00:00,Liberty Stadium,76,52,0,0,1,1,2,5,3,4,7,13,2,4,2,8,5,5,13,11,6,3,1,1,64%,36%,2,3,,,4,2,594,336,505,257,85%,76%
19,11712,0,2017-12-28T20:00:00+00:00,Selhurst Park,52,42,0,1,2,3,2,9,9,3,16,16,5,4,10,10,6,6,12,7,5,4,1,3,34%,66%,1,1,,,6,0,336,654,249,553,74%,85%
20,11704,1,2017-12-31T12:00:00+00:00,Selhurst Park,52,50,0,0,0,0,2,4,4,4,10,15,4,7,6,5,4,10,14,11,7,8,4,2,25%,75%,5,4,,,5,1,205,626,124,550,60%,88%
