Unnamed: 0,fixture_id,h_result,event_date,venue,h_team,a_team,h_halftime_score,a_haftime_score,h_fulltime_score,a_fulltime_score,h_shot_on_goal,a_shot_on_goal,h_shot_off_goal,a_shot_off_goal,h_total_shots,a_total_shots,h_blocked_shots,a_blocked_shots,h_shots_inside_box,a_shots_inside_box,h_shots_outside_box,a_shots_outside_box,h_fouls,a_fouls,h_corner_kicks,a_corner_kicks,h_offsides,a_offsides,h_ball_possession,a_ball_possession,h_yellow_cards,a_yellow_cards,h_red_cards,a_red_cards,h_goalkeeper_saves,a_goalkeeper_saves,h_total_passes,a_total_passes,h_accurate_passes,a_accurate_passes,h_pass_percentage,a_pass_percentage
21,11693,1,2018-01-03T19:45:00+00:00,Emirates Stadium,42,49,0,0,2,2,6,6,3,10,14,19,5,3,9,16,5,3,11,11,10,8,2.0,3.0,58%,42%,3.0,2.0,,,4.0,4.0,599,422,515,348,86%,82%
22,11684,2,2018-01-14T13:30:00+00:00,Vitality Stadium,35,42,0,0,2,1,5,3,5,5,13,12,3,4,5,6,8,6,8,10,4,5,0.0,4.0,40%,60%,2.0,2.0,,,2.0,3.0,366,551,232,410,63%,74%
23,11675,2,2018-01-20T15:00:00+00:00,Emirates Stadium,42,52,4,0,4,1,10,5,1,1,16,9,5,3,14,5,2,4,6,8,5,10,3.0,1.0,63%,37%,,,,,4.0,6.0,727,406,642,336,88%,83%
24,11670,2,2018-01-30T19:45:00+00:00,Liberty Stadium,76,42,1,1,3,1,4,4,4,4,12,9,4,1,7,6,5,3,4,8,4,3,0.0,3.0,25%,75%,0.0,3.0,,,3.0,1.0,306,894,225,824,74%,92%
25,11655,2,2018-02-03T17:30:00+00:00,Emirates Stadium,42,45,4,0,5,1,7,2,3,4,15,10,5,4,12,8,3,2,8,8,4,6,1.0,3.0,58%,42%,2.0,0.0,,,1.0,2.0,553,376,468,306,85%,81%
26,11651,2,2018-02-10T12:30:00+00:00,Wembley Stadium,47,42,0,0,1,0,6,1,11,3,18,6,1,2,13,2,5,4,13,9,10,2,1.0,6.0,49%,51%,2.0,1.0,,,1.0,6.0,494,509,411,413,83%,81%
27,11632,0,2018-03-01T19:45:00+00:00,Emirates Stadium,42,50,0,3,0,3,5,5,2,1,10,9,3,3,5,7,5,2,11,11,6,1,0.0,1.0,45%,55%,1.0,1.0,,,2.0,5.0,538,653,425,556,79%,85%
28,11624,2,2018-03-04T13:30:00+00:00,American Express Community Stadium,51,42,2,1,2,1,6,7,5,2,13,15,2,6,8,9,5,6,13,12,6,11,6.0,0.0,31%,69%,3.0,3.0,,,6.0,4.0,287,614,208,516,72%,84%
29,11614,2,2018-03-11T13:30:00+00:00,Emirates Stadium,42,38,1,0,3,0,7,4,4,5,11,11,0,2,10,9,1,2,12,9,4,9,5.0,3.0,59%,41%,2.0,1.0,,,4.0,4.0,502,324,417,245,83%,76%
30,11599,2,2018-04-01T12:30:00+00:00,Emirates Stadium,42,75,0,0,3,0,11,2,8,4,24,8,5,2,17,4,7,4,9,13,6,5,3.0,3.0,69%,31%,1.0,2.0,,,2.0,8.0,647,273,549,178,85%,65%
31,11589,2,2018-04-08T13:15:00+00:00,Emirates Stadium,42,41,2,1,3,2,7,8,4,4,13,15,2,3,7,10,6,5,11,7,8,6,1.0,2.0,64%,36%,2.0,1.0,1.0,1.0,5.0,4.0,699,370,597,266,85%,72%
32,11580,2,2018-04-15T12:30:00+00:00,St James' Park,34,42,1,1,2,1,4,3,2,8,8,15,2,4,6,8,2,7,11,9,2,5,1.0,2.0,28%,72%,1.0,0.0,,,2.0,2.0,274,695,173,590,63%,85%
33,11570,2,2018-04-22T12:30:00+00:00,Emirates Stadium,42,48,0,0,4,1,8,4,8,4,20,11,4,3,12,7,8,4,11,9,8,6,1.0,1.0,67%,33%,3.0,2.0,,,3.0,4.0,629,297,552,201,88%,68%
34,11559,2,2018-04-29T15:30:00+00:00,Old Trafford,33,42,1,0,2,1,3,3,6,4,16,8,7,1,10,5,6,3,12,7,9,0,2.0,1.0,59%,41%,0.0,1.0,,,2.0,0.0,609,438,543,358,89%,82%
35,11548,2,2018-05-06T15:30:00+00:00,Emirates Stadium,42,44,2,0,5,0,8,2,5,2,16,6,3,2,13,3,3,3,6,7,4,5,,,63%,37%,0.0,1.0,,,2.0,3.0,662,372,591,296,89%,80%
36,11545,2,2018-05-09T18:45:00+00:00,King Power Stadium,46,42,1,0,3,1,10,7,6,4,19,14,3,3,9,12,10,2,7,12,6,6,6.0,1.0,40%,60%,2.0,2.0,0.0,1.0,6.0,7.0,310,477,241,386,78%,81%
37,11534,0,2018-05-13T14:00:00+00:00,John Smith's Stadium,37,42,0,1,0,1,3,4,11,3,19,9,5,2,13,4,6,5,11,7,7,4,0.0,2.0,45%,55%,1.0,0.0,,,3.0,3.0,399,519,308,414,77%,80%
0,11905,0,2017-08-12T14:00:00+00:00,Stamford Bridge,49,44,0,3,2,3,6,5,6,4,19,10,7,1,7,8,12,2,16,11,8,5,2.0,1.0,61%,39%,5.0,3.0,2.0,0.0,2.0,4.0,521,320,446,241,86%,75%
1,11897,0,2017-08-19T14:00:00+00:00,Turf Moor,44,60,0,0,0,1,0,1,15,5,20,8,5,2,11,5,9,3,11,11,5,5,1.0,3.0,67%,33%,1.0,0.0,0.0,1.0,,,471,228,374,127,79%,56%
2,11883,1,2017-08-27T15:00:00+00:00,Wembley Stadium,47,44,0,0,1,1,5,3,6,8,28,13,17,2,15,11,13,2,9,9,10,7,1.0,6.0,67%,33%,,,,,2.0,4.0,588,272,503,193,86%,71%
3,11874,2,2017-09-10T12:30:00+00:00,Turf Moor,44,52,1,0,1,0,2,4,2,6,4,23,0,13,3,12,1,11,7,14,3,13,8.0,1.0,35%,65%,1.0,1.0,,,3.0,1.0,254,450,160,342,63%,76%
4,11866,1,2017-09-16T14:00:00+00:00,Anfield,40,44,1,1,1,1,9,4,14,1,35,5,12,0,18,4,17,1,7,9,12,2,1.0,5.0,71%,29%,1.0,2.0,,,2.0,8.0,676,277,581,183,86%,66%
5,11855,1,2017-09-23T14:00:00+00:00,Turf Moor,44,37,0,0,0,0,2,2,1,5,4,9,1,2,1,2,3,7,9,14,3,4,5.0,3.0,52%,48%,3.0,2.0,,,2.0,3.0,456,417,333,316,73%,76%
6,11843,0,2017-10-01T13:15:00+00:00,Goodison Park,45,44,0,1,0,1,4,2,13,1,25,5,8,2,10,5,15,0,14,7,9,3,1.0,1.0,63%,37%,2.0,2.0,,,1.0,4.0,501,295,398,179,79%,61%
7,11836,1,2017-10-14T14:00:00+00:00,Turf Moor,44,48,0,1,1,1,5,6,8,1,20,8,7,1,8,3,12,5,11,14,7,4,2.0,1.0,62%,38%,2.0,4.0,0.0,1.0,5.0,4.0,454,285,356,189,78%,66%
8,11826,2,2017-10-21T14:00:00+00:00,Etihad Stadium,50,44,1,0,3,0,10,0,4,3,15,6,1,3,12,1,3,5,10,6,4,5,1.0,2.0,77%,23%,2.0,3.0,,,0.0,7.0,803,227,723,150,90%,66%
9,11812,2,2017-10-30T20:00:00+00:00,Turf Moor,44,34,0,0,1,0,5,5,3,3,12,12,4,4,9,4,3,8,9,10,5,3,4.0,1.0,47%,53%,3.0,0.0,,,5.0,4.0,451,521,343,409,76%,79%
10,11809,0,2017-11-04T15:00:00+00:00,St. Mary's Stadium,41,44,0,0,0,1,3,1,6,2,13,5,4,2,11,2,2,3,4,4,9,1,2.0,1.0,62%,38%,,,,,0.0,3.0,575,344,466,239,81%,69%
11,11796,2,2017-11-18T15:00:00+00:00,Turf Moor,44,76,2,0,2,0,7,1,4,9,17,14,6,4,12,8,5,6,12,12,8,6,3.0,1.0,39%,61%,1.0,1.0,,,1.0,6.0,296,471,204,379,69%,80%
12,11783,0,2017-11-26T14:00:00+00:00,Turf Moor,44,42,0,0,0,1,2,2,3,9,8,18,3,7,3,9,5,9,8,14,5,5,4.0,3.0,36%,64%,2.0,0.0,,,1.0,2.0,350,636,269,531,77%,83%
13,11776,0,2017-11-29T19:45:00+00:00,Vitality Stadium,35,44,0,1,1,2,2,4,4,2,11,10,5,4,6,5,5,5,9,11,4,6,0.0,1.0,62%,38%,0.0,1.0,,,2.0,1.0,567,345,453,247,80%,72%
14,11767,2,2017-12-02T15:00:00+00:00,King Power Stadium,46,44,1,0,1,0,3,4,6,7,16,14,7,3,8,9,8,5,3,11,10,7,1.0,6.0,51%,49%,0.0,2.0,,,5.0,2.0,415,382,302,282,73%,74%
15,11756,2,2017-12-09T15:00:00+00:00,Turf Moor,44,38,1,0,1,0,5,2,2,8,8,11,1,1,4,7,4,4,10,12,3,5,6.0,3.0,49%,51%,1.0,0.0,0.0,1.0,2.0,4.0,377,394,251,276,67%,70%
16,11751,2,2017-12-12T19:45:00+00:00,Turf Moor,44,75,0,0,1,0,2,7,5,6,10,14,3,1,6,6,4,8,6,14,6,4,4.0,2.0,51%,49%,,,,,7.0,1.0,392,380,251,240,64%,63%
17,11738,1,2017-12-16T15:00:00+00:00,American Express Community Stadium,51,44,0,0,0,0,2,7,6,0,12,11,4,4,8,8,4,3,13,13,8,2,2.0,2.0,57%,43%,4.0,2.0,,,6.0,1.0,475,358,375,243,79%,68%
18,11723,0,2017-12-23T17:30:00+00:00,Turf Moor,44,47,0,1,0,3,2,8,3,5,5,18,0,5,4,12,1,6,10,10,4,4,5.0,1.0,40%,60%,1.0,2.0,,,5.0,2.0,350,527,233,419,67%,80%
19,11718,1,2017-12-26T15:00:00+00:00,Old Trafford,33,44,0,2,2,2,6,2,7,1,24,3,11,0,15,2,9,1,10,14,12,2,0.0,1.0,71%,29%,3.0,7.0,,,0.0,3.0,638,270,534,157,84%,58%
20,11708,1,2017-12-30T15:00:00+00:00,John Smith's Stadium,37,44,0,0,0,0,1,4,2,5,3,11,0,2,0,9,3,2,14,14,5,4,0.0,3.0,56%,44%,2.0,1.0,,,4.0,1.0,384,294,284,179,74%,61%
21,11699,0,2018-01-01T15:00:00+00:00,Turf Moor,44,40,0,0,1,2,4,5,6,7,13,19,3,7,9,10,4,9,4,12,3,9,1.0,2.0,42%,58%,,,,,3.0,3.0,377,511,266,410,71%,80%
22,11687,2,2018-01-13T15:00:00+00:00,Selhurst Park,52,44,1,0,1,0,2,2,8,5,17,8,7,1,13,5,4,3,16,10,3,2,0.0,4.0,44%,56%,0.0,3.0,,,2.0,1.0,324,415,212,310,65%,75%
23,11676,0,2018-01-20T15:00:00+00:00,Turf Moor,44,33,0,0,0,1,3,2,8,4,14,12,3,6,11,7,3,5,7,13,5,4,1.0,2.0,48%,52%,3.0,3.0,,,1.0,3.0,423,461,309,363,73%,79%
24,11667,1,2018-01-31T19:45:00+00:00,St James' Park,34,44,0,0,1,1,4,2,7,6,14,11,3,3,9,7,5,5,15,15,7,4,2.0,0.0,52%,48%,1.0,2.0,,,2.0,3.0,397,364,280,241,71%,66%
25,11661,1,2018-02-03T12:30:00+00:00,Turf Moor,44,50,0,1,1,1,3,7,4,6,8,20,1,7,6,10,2,10,9,6,3,13,1.0,0.0,29%,71%,4.0,1.0,,,6.0,2.0,278,695,178,605,64%,87%
26,11649,2,2018-02-10T15:00:00+00:00,Liberty Stadium,76,44,0,0,1,0,4,1,2,8,13,13,7,4,8,5,5,8,10,9,5,2,2.0,0.0,57%,43%,2.0,1.0,,,1.0,3.0,465,352,366,243,79%,69%
27,11638,1,2018-02-24T15:00:00+00:00,Turf Moor,44,41,0,0,1,1,3,6,3,3,9,13,3,4,8,8,1,5,8,14,7,5,1.0,0.0,50%,50%,1.0,0.0,,,4.0,2.0,371,378,258,253,70%,67%
28,11631,2,2018-03-03T12:30:00+00:00,Turf Moor,44,45,0,1,2,1,8,4,3,6,21,10,10,0,16,8,5,2,9,12,10,4,4.0,2.0,54%,46%,1.0,1.0,0.0,1.0,3.0,6.0,396,342,285,228,72%,67%
29,11620,0,2018-03-10T15:00:00+00:00,London Stadium,48,44,0,0,0,3,4,4,6,2,13,7,3,1,8,4,5,3,13,7,5,1,1.0,3.0,51%,49%,2.0,2.0,,,1.0,4.0,385,372,303,287,79%,77%
30,11605,0,2018-03-31T14:00:00+00:00,The Hawthorns,60,44,0,1,1,2,3,4,3,6,8,11,2,1,7,6,1,5,12,9,1,6,2.0,2.0,47%,53%,1.0,3.0,,,2.0,2.0,414,461,300,369,72%,80%
31,11595,0,2018-04-07T14:00:00+00:00,Vicarage Road,38,44,0,0,1,2,5,4,4,2,14,7,5,1,8,6,6,1,18,12,11,1,3.0,2.0,60%,40%,2.0,2.0,,,2.0,4.0,435,292,319,179,73%,61%
32,11583,2,2018-04-14T14:00:00+00:00,Turf Moor,44,46,2,0,2,1,3,6,2,4,8,15,3,5,5,9,3,6,9,10,4,8,0.0,1.0,38%,62%,2.0,1.0,,,5.0,1.0,292,449,171,325,59%,72%
33,11574,0,2018-04-19T18:45:00+00:00,Turf Moor,44,49,0,1,1,2,2,5,2,5,5,16,1,6,3,12,2,5,9,11,3,2,3.0,1.0,39%,61%,1.0,0.0,,,4.0,1.0,389,609,288,514,74%,84%
34,11571,1,2018-04-22T12:30:00+00:00,bet365 Stadium,75,44,1,0,1,1,3,7,4,5,8,16,1,4,4,11,4,5,15,5,3,8,2.0,0.0,42%,58%,2.0,1.0,,,6.0,2.0,326,428,189,303,58%,71%
35,11562,1,2018-04-28T14:00:00+00:00,Turf Moor,44,51,0,0,0,0,4,1,2,4,10,9,4,4,8,7,2,2,5,17,3,4,4.0,3.0,44%,56%,0.0,2.0,,,1.0,4.0,341,432,217,325,64%,75%
36,11548,2,2018-05-06T15:30:00+00:00,Emirates Stadium,42,44,2,0,5,0,8,2,5,2,16,6,3,2,13,3,3,3,6,7,4,5,,,63%,37%,0.0,1.0,,,2.0,3.0,662,372,591,296,89%,80%
37,11532,0,2018-05-13T14:00:00+00:00,Turf Moor,44,35,1,0,1,2,4,5,5,5,10,16,1,6,7,11,3,5,14,9,7,8,3.0,1.0,51%,49%,,,,,3.0,3.0,416,401,303,305,73%,76%
0,11907,2,2017-08-12T14:00:00+00:00,Goodison Park,45,75,1,0,1,0,4,1,3,6,9,9,2,2,5,4,4,5,13,10,6,7,2.0,6.0,61%,39%,1.0,1.0,,,1.0,3.0,497,292,392,211,79%,72%
1,11892,1,2017-08-21T19:00:00+00:00,Etihad Stadium,50,45,0,1,1,1,6,2,9,5,19,7,4,0,10,4,9,3,7,9,7,1,0.0,3.0,65%,35%,3.0,4.0,1.0,1.0,1.0,5.0,560,301,461,198,82%,66%
2,11884,2,2017-08-27T12:30:00+00:00,Stamford Bridge,49,45,2,0,2,0,7,0,4,5,18,7,7,2,8,3,10,4,12,7,6,3,,,56%,44%,2.0,2.0,,,0.0,5.0,583,437,500,355,86%,81%
3,11878,0,2017-09-09T14:00:00+00:00,Goodison Park,45,47,0,2,0,3,1,6,5,6,12,15,6,3,10,10,2,5,14,14,7,3,4.0,3.0,50%,50%,3.0,1.0,,,3.0,1.0,464,458,375,367,81%,80%
4,11862,2,2017-09-17T15:00:00+00:00,Old Trafford,33,45,1,0,4,0,7,3,5,2,16,7,4,2,12,5,4,2,15,14,4,1,2.0,3.0,49%,51%,1.0,1.0,,,3.0,3.0,476,510,403,415,85%,81%
5,11856,2,2017-09-23T14:00:00+00:00,Goodison Park,45,35,0,0,2,1,3,4,5,2,12,8,4,2,9,3,3,5,12,11,4,6,3.0,1.0,50%,50%,3.0,1.0,,,3.0,0.0,426,415,334,321,78%,77%
6,11843,0,2017-10-01T13:15:00+00:00,Goodison Park,45,44,0,1,0,1,4,2,13,1,25,5,8,2,10,5,15,0,14,7,9,3,1.0,1.0,63%,37%,2.0,2.0,,,1.0,4.0,501,295,398,179,79%,61%
7,11834,1,2017-10-15T12:30:00+00:00,American Express Community Stadium,51,45,0,0,1,1,3,6,3,5,12,13,6,2,8,7,4,6,12,10,7,1,5.0,1.0,46%,54%,4.0,1.0,,,5.0,2.0,385,451,285,354,74%,78%
8,11823,0,2017-10-22T12:30:00+00:00,Goodison Park,45,42,1,1,2,5,3,14,4,8,9,30,2,8,6,21,3,9,14,14,0,7,2.0,1.0,32%,68%,3.0,1.0,1.0,0.0,9.0,1.0,287,616,199,516,69%,84%
9,11813,2,2017-10-29T16:00:00+00:00,King Power Stadium,46,45,2,0,2,0,3,2,5,7,9,15,1,6,7,7,2,8,6,10,3,10,4.0,1.0,40%,60%,0.0,2.0,,,2.0,1.0,324,470,214,374,66%,80%
10,11803,2,2017-11-05T16:30:00+00:00,Goodison Park,45,38,0,0,3,2,5,3,2,6,9,11,2,2,7,7,2,4,14,12,2,5,5.0,1.0,37%,63%,0.0,2.0,,,1.0,2.0,294,472,196,356,67%,75%
11,11797,1,2017-11-18T15:00:00+00:00,Selhurst Park,52,45,2,2,2,2,7,5,5,2,16,8,4,1,9,6,7,2,9,26,9,4,1.0,1.0,68%,32%,2.0,3.0,,,3.0,5.0,539,248,439,159,81%,64%
12,11784,2,2017-11-26T13:30:00+00:00,St. Mary's Stadium,41,45,1,1,4,1,5,2,7,3,17,5,5,0,10,0,7,5,6,13,7,2,,,67%,33%,,,,,1.0,1.0,663,329,564,232,85%,71%
13,11772,2,2017-11-29T20:00:00+00:00,Goodison Park,45,48,2,0,4,0,5,3,2,3,8,7,1,1,6,5,2,2,16,6,2,6,2.0,1.0,43%,57%,2.0,1.0,,,3.0,1.0,411,511,325,406,79%,79%
14,11766,2,2017-12-02T15:00:00+00:00,Goodison Park,45,37,0,0,2,0,4,3,1,2,6,5,1,0,3,3,3,2,12,9,2,5,1.0,0.0,47%,53%,2.0,1.0,,,3.0,2.0,367,396,252,281,69%,71%
15,11753,1,2017-12-10T14:15:00+00:00,Anfield,40,45,1,0,1,1,3,2,12,1,23,3,8,0,10,1,13,2,8,11,12,1,1.0,0.0,79%,21%,1.0,3.0,,,1.0,2.0,736,197,644,99,88%,50%
16,11746,0,2017-12-13T19:45:00+00:00,St James' Park,34,45,0,1,0,1,4,4,4,3,16,7,8,0,7,4,9,3,10,11,4,1,2.0,3.0,55%,45%,3.0,2.0,1.0,0.0,3.0,4.0,509,426,392,312,77%,73%
17,11732,2,2017-12-18T20:00:00+00:00,Goodison Park,45,76,1,1,3,1,7,3,3,4,12,8,2,1,9,2,3,6,12,12,6,3,1.0,0.0,51%,49%,2.0,3.0,,,2.0,4.0,445,431,349,332,78%,77%
18,11730,1,2017-12-23T12:30:00+00:00,Goodison Park,45,49,0,0,0,0,0,8,3,9,5,25,2,8,4,11,1,14,8,4,2,7,2.0,4.0,32%,68%,3.0,0.0,,,5.0,0.0,327,679,230,569,70%,84%
19,11720,1,2017-12-26T15:00:00+00:00,The Hawthorns,60,45,0,0,0,0,3,3,10,4,17,7,4,0,12,5,5,2,14,13,10,2,1.0,1.0,52%,48%,2.0,0.0,,,3.0,3.0,370,344,263,238,71%,69%
20,11706,2,2017-12-30T15:00:00+00:00,Vitality Stadium,35,45,1,0,2,1,7,1,7,3,18,6,4,2,10,4,8,2,8,13,4,4,0.0,5.0,47%,53%,,,,,0.0,5.0,416,471,290,348,70%,74%
21,11698,0,2018-01-01T17:30:00+00:00,Goodison Park,45,33,0,0,0,2,0,6,6,8,12,21,6,7,9,3,3,18,11,10,6,6,1.0,1.0,39%,61%,2.0,0.0,,,4.0,0.0,365,585,282,495,77%,85%
22,11685,2,2018-01-13T17:30:00+00:00,Wembley Stadium,47,45,1,0,4,0,10,0,6,4,20,7,4,3,13,4,7,3,11,15,3,3,2.0,7.0,61%,39%,0.0,2.0,,,0.0,6.0,579,360,484,258,84%,72%
23,11677,1,2018-01-20T15:00:00+00:00,Goodison Park,45,60,0,1,1,1,4,5,2,9,9,15,3,1,7,9,2,6,15,10,0,3,,,56%,44%,2.0,1.0,,,4.0,3.0,474,356,341,223,72%,63%
24,11666,2,2018-01-31T19:45:00+00:00,Goodison Park,45,46,2,0,2,1,4,2,4,4,9,8,1,2,5,8,4,0,10,10,5,5,3.0,0.0,44%,56%,0.0,2.0,,,0.0,1.0,347,440,231,319,67%,73%
25,11655,2,2018-02-03T17:30:00+00:00,Emirates Stadium,42,45,4,0,5,1,7,2,3,4,15,10,5,4,12,8,3,2,8,8,4,6,1.0,3.0,58%,42%,2.0,0.0,,,1.0,2.0,553,376,468,306,85%,81%
26,11647,2,2018-02-10T15:00:00+00:00,Goodison Park,45,52,0,0,3,1,5,4,2,5,11,16,4,7,5,9,6,7,14,15,8,7,2.0,1.0,52%,48%,1.0,1.0,,,3.0,2.0,389,345,298,265,77%,77%
27,11635,2,2018-02-24T17:30:00+00:00,Vicarage Road,38,45,0,0,1,0,5,2,4,4,13,7,4,1,5,6,8,1,10,9,6,5,0.0,1.0,54%,46%,3.0,1.0,,,3.0,4.0,428,350,316,232,74%,66%
28,11631,2,2018-03-03T12:30:00+00:00,Turf Moor,44,45,0,1,2,1,8,4,3,6,21,10,10,0,16,8,5,2,9,12,10,4,4.0,2.0,54%,46%,1.0,1.0,0.0,1.0,3.0,6.0,396,342,285,228,72%,67%
29,11616,2,2018-03-10T15:00:00+00:00,Goodison Park,45,51,0,0,2,0,3,4,7,5,13,10,3,1,8,3,6,7,10,14,10,3,2.0,1.0,59%,41%,0.0,1.0,0.0,1.0,4.0,2.0,425,302,330,190,78%,63%
30,11611,0,2018-03-17T15:00:00+00:00,bet365 Stadium,75,45,0,0,1,2,4,9,2,5,9,16,3,2,5,13,4,3,13,12,1,9,0.0,4.0,43%,57%,1.0,1.0,1.0,0.0,6.0,3.0,344,431,256,346,74%,80%
31,11600,0,2018-03-31T16:30:00+00:00,Goodison Park,45,50,0,3,1,3,2,4,4,8,6,18,0,6,4,10,2,8,10,8,2,11,2.0,3.0,18%,82%,,,,,1.0,1.0,202,976,133,905,66%,93%
32,11597,1,2018-04-07T11:30:00+00:00,Goodison Park,45,40,0,0,0,0,1,3,4,4,6,10,1,3,3,4,3,6,12,7,3,2,4.0,1.0,38%,62%,,,,,4.0,1.0,359,588,245,472,68%,80%
33,11586,1,2018-04-14T14:00:00+00:00,Liberty Stadium,76,45,0,1,1,1,7,3,5,5,17,12,5,4,12,10,5,3,10,11,6,3,1.0,0.0,50%,50%,1.0,1.0,,,3.0,4.0,447,437,336,331,75%,76%
34,11568,2,2018-04-23T19:00:00+00:00,Goodison Park,45,34,0,0,1,0,1,2,5,4,9,9,3,3,7,5,2,4,10,11,4,6,4.0,1.0,56%,44%,2.0,1.0,,,2.0,0.0,478,362,365,230,76%,64%
35,11564,0,2018-04-28T14:00:00+00:00,John Smith's Stadium,37,45,0,1,0,2,2,5,2,1,9,7,5,1,4,4,5,3,9,8,4,3,1.0,3.0,53%,47%,1.0,0.0,,,3.0,2.0,496,427,378,291,76%,68%
36,11551,1,2018-05-05T16:30:00+00:00,Goodison Park,45,41,0,0,1,1,3,5,5,2,9,11,1,4,6,3,3,8,14,12,3,4,2.0,4.0,54%,46%,2.0,6.0,0.0,1.0,4.0,2.0,415,358,325,264,78%,74%
37,11541,2,2018-05-13T14:00:00+00:00,London Stadium,48,45,1,0,3,1,4,7,5,3,15,14,6,4,6,9,9,5,10,13,6,6,4.0,1.0,56%,44%,0.0,1.0,,,6.0,1.0,479,365,396,283,83%,78%
0,11911,2,2017-08-11T18:45:00+00:00,Emirates Stadium,42,46,2,2,4,3,10,3,9,3,27,6,8,0,15,5,12,1,9,12,9,4,5.0,3.0,70%,30%,0.0,1.0,,,0.0,6.0,632,263,538,167,85%,63%
1,11898,2,2017-08-19T14:00:00+00:00,King Power Stadium,46,51,1,0,2,0,4,2,4,0,14,5,6,3,7,1,7,4,8,10,6,2,1.0,2.0,45%,55%,1.0,0.0,,,2.0,2.0,427,526,332,435,78%,83%
2,11886,2,2017-08-26T16:30:00+00:00,Old Trafford,33,46,0,0,2,0,7,4,7,5,22,11,8,2,12,5,10,6,8,7,9,3,2.0,3.0,69%,31%,1.0,2.0,,,4.0,5.0,662,300,576,208,87%,69%
3,11879,0,2017-09-09T14:00:00+00:00,King Power Stadium,46,49,0,1,1,2,2,6,3,5,8,16,3,5,4,9,4,7,11,8,2,9,1.0,3.0,40%,60%,1.0,0.0,,,4.0,1.0,347,521,259,434,75%,83%
4,11865,1,2017-09-16T14:00:00+00:00,John Smith's Stadium,37,46,0,0,1,1,3,1,6,4,15,10,6,5,7,7,8,3,6,6,8,4,3.0,1.0,59%,41%,1.0,1.0,,,0.0,2.0,486,344,383,247,79%,72%
5,11854,0,2017-09-23T16:30:00+00:00,King Power Stadium,46,40,1,2,2,3,7,6,2,9,12,23,3,8,9,13,3,10,13,14,3,6,4.0,1.0,43%,57%,3.0,3.0,,,3.0,5.0,360,486,237,352,66%,72%
6,11846,1,2017-09-30T14:00:00+00:00,Vitality Stadium,35,46,0,0,0,0,4,1,10,4,19,8,5,3,10,2,9,6,6,10,7,5,1.0,3.0,60%,40%,1.0,0.0,,,1.0,4.0,540,347,436,221,81%,64%
7,11832,1,2017-10-16T19:00:00+00:00,King Power Stadium,46,60,0,0,1,1,3,1,4,3,11,5,4,1,8,1,3,4,13,6,4,1,1.0,1.0,57%,43%,2.0,2.0,,,0.0,2.0,486,378,367,271,76%,72%
8,11829,0,2017-10-21T14:00:00+00:00,Liberty Stadium,76,46,0,1,1,2,4,6,8,3,19,11,7,2,7,6,12,6,6,9,7,6,0.0,3.0,55%,45%,0.0,1.0,,,5.0,3.0,463,381,379,276,82%,72%
9,11813,2,2017-10-29T16:00:00+00:00,King Power Stadium,46,45,2,0,2,0,3,2,5,7,9,15,1,6,7,7,2,8,6,10,3,10,4.0,1.0,40%,60%,0.0,2.0,,,2.0,1.0,324,470,214,374,66%,80%
10,11811,1,2017-11-04T12:30:00+00:00,bet365 Stadium,75,46,1,1,2,2,7,4,3,5,11,14,1,5,9,10,2,4,12,8,4,10,0.0,5.0,47%,53%,,,,,2.0,5.0,379,424,284,337,75%,79%
11,11798,0,2017-11-18T15:00:00+00:00,King Power Stadium,46,50,0,1,0,2,0,4,1,6,2,12,1,2,1,7,1,5,8,10,1,7,3.0,1.0,25%,75%,1.0,1.0,,,2.0,1.0,266,784,175,705,66%,90%
12,11791,1,2017-11-24T20:00:00+00:00,London Stadium,48,46,1,1,1,1,4,2,3,5,8,7,1,0,7,3,1,4,9,12,5,5,0.0,1.0,49%,51%,1.0,1.0,,,1.0,3.0,381,404,300,313,79%,77%
13,11781,2,2017-11-28T19:45:00+00:00,King Power Stadium,46,47,2,0,2,1,4,6,3,9,7,18,0,3,4,13,3,5,7,10,4,9,2.0,1.0,37%,63%,1.0,2.0,,,4.0,1.0,336,561,240,465,71%,83%
14,11767,2,2017-12-02T15:00:00+00:00,King Power Stadium,46,44,1,0,1,0,3,4,6,7,16,14,7,3,8,9,8,5,3,11,10,7,1.0,6.0,51%,49%,0.0,2.0,,,5.0,2.0,415,382,302,282,73%,74%
15,11755,0,2017-12-09T17:30:00+00:00,St James' Park,34,46,1,1,2,3,4,5,4,7,10,13,2,1,5,7,5,7,10,8,6,5,1.0,2.0,37%,63%,2.0,1.0,,,3.0,2.0,337,562,230,446,68%,79%
16,11747,0,2017-12-13T19:45:00+00:00,St. Mary's Stadium,41,46,0,3,1,4,4,11,5,2,11,16,2,3,6,9,5,7,13,9,9,9,3.0,1.0,53%,47%,1.0,0.0,,,5.0,3.0,413,369,334,278,81%,75%
17,11741,0,2017-12-16T12:30:00+00:00,King Power Stadium,46,52,0,2,0,3,2,6,5,3,11,13,4,4,8,10,3,3,12,13,6,4,,,56%,44%,4.0,2.0,1.0,0.0,3.0,2.0,452,368,357,275,79%,75%
18,11722,1,2017-12-23T19:45:00+00:00,King Power Stadium,46,33,1,1,2,2,3,6,3,9,11,19,5,4,6,9,5,10,19,8,4,6,0.0,5.0,49%,51%,4.0,2.0,1.0,0.0,4.0,1.0,448,448,354,371,79%,83%
