,fixture_id,h_result,event_date,venue,h_team,a_team,h_halftime_score,a_haftime_score,h_fulltime_score,a_fulltime_score,h_shot_on_goal,a_shot_on_goal,h_shot_off_goal,a_shot_off_goal,h_total_shots,a_total_shots,h_blocked_shots,a_blocked_shots,h_shots_inside_box,a_shots_inside_box,h_shots_outside_box,a_shots_outside_box,h_fouls,a_fouls,h_corner_kicks,a_corner_kicks,h_offsides,a_offsides,h_ball_possession,a_ball_possession,h_yellow_cards,a_yellow_cards,h_red_cards,a_red_cards,h_goalkeeper_saves,a_goalkeeper_saves,h_total_passes,a_total_passes,h_accurate_passes,a_accurate_passes,h_pass_percentage,a_pass_percentage
0,11903,0,2017-08-13T12:30:00+00:00,St James' Park,34,47,0,0,0,2,2,6,4,5,6,18,0,7,6,10,0,8,6,10,5,7,2,1,26%,74%,1,2,1,0,4,2,245,702,157,628,64%,89%
1,11893,0,2017-08-20T15:00:00+00:00,Wembley Stadium,47,49,0,1,1,2,6,2,6,4,18,9,6,3,11,6,8,3,14,21,14,3,,,67%,33%,4,3,,,0,6,592,280,501,195,85%,70%
2,11883,1,2017-08-27T15:00:00+00:00,Wembley Stadium,47,44,0,0,1,1,5,3,6,8,28,13,17,2,15,11,13,2,9,9,10,7,1,6,67%,33%,,,,,2,4,588,272,503,193,86%,71%
3,11878,0,2017-09-09T14:00:00+00:00,Goodison Park,45,47,0,2,0,3,1,6,5,6,12,15,6,3,10,10,2,5,14,14,7,3,4,3,50%,50%,3,1,,,3,1,464,458,375,367,81%,80%
4,11864,1,2017-09-16T16:30:00+00:00,Wembley Stadium,47,76,0,0,0,0,8,0,14,4,26,4,4,0,10,2,16,2,11,9,11,1,,,74%,26%,1,3,,,0,8,757,257,674,164,89%,64%
5,11861,0,2017-09-23T11:30:00+00:00,London Stadium,48,47,0,2,2,3,4,5,5,7,10,15,1,3,6,7,4,8,10,20,4,3,6,5,48%,52%,4,4,0,1,2,2,367,394,261,293,71%,74%
6,11851,0,2017-09-30T11:30:00+00:00,John Smith's Stadium,37,47,0,3,0,4,1,7,2,5,6,14,3,2,2,10,4,4,7,4,4,7,4,2,40%,60%,1,1,,,3,1,368,558,269,452,73%,81%
7,11840,2,2017-10-14T14:00:00+00:00,Wembley Stadium,47,35,0,0,1,0,6,1,4,3,18,5,8,1,9,4,9,1,9,7,9,5,3,1,72%,28%,1,3,,,2,5,688,254,613,169,89%,67%
8,11822,2,2017-10-22T15:00:00+00:00,Wembley Stadium,47,40,3,1,4,1,6,7,5,1,14,12,3,4,11,4,3,8,2,8,3,5,1,2,36%,64%,0,1,,,6,1,359,629,274,545,76%,87%
9,11821,2,2017-10-28T11:30:00+00:00,Old Trafford,33,47,0,0,1,0,3,4,5,5,11,13,3,4,8,6,3,7,12,14,6,3,2,1,44%,56%,1,0,,,4,2,405,509,283,394,70%,77%
10,11805,2,2017-11-05T12:00:00+00:00,Wembley Stadium,47,52,0,0,1,0,2,3,6,5,12,11,4,3,6,7,6,4,6,7,10,9,3,4,68%,32%,0,2,,,3,1,583,268,491,185,84%,69%
