,fixture_id,h_result,event_date,venue,h_team,a_team,h_halftime_score,a_haftime_score,h_fulltime_score,a_fulltime_score,h_shot_on_goal,a_shot_on_goal,h_shot_off_goal,a_shot_off_goal,h_total_shots,a_total_shots,h_blocked_shots,a_blocked_shots,h_shots_inside_box,a_shots_inside_box,h_shots_outside_box,a_shots_outside_box,h_fouls,a_fouls,h_corner_kicks,a_corner_kicks,h_offsides,a_offsides,h_ball_possession,a_ball_possession,h_yellow_cards,a_yellow_cards,h_red_cards,a_red_cards,h_goalkeeper_saves,a_goalkeeper_saves,h_total_passes,a_total_passes,h_accurate_passes,a_accurate_passes,h_pass_percentage,a_pass_percentage
0,157017,1,2019-08-10T14:00:00+00:00,Vitality Stadium,35,62,0,0,1,1,3,3,7,4,13,8,3,1,7,3,6,5,10,19,3,4,1,1,52%,48%,2,1,,,2,2,485,428,384,332,79%,78%
1,157032,2,2019-08-18T13:00:00+00:00,Bramall Lane,62,52,0,0,1,0,3,4,6,0,15,6,6,2,10,2,5,4,16,11,8,4,0,1,42%,58%,3,1,,,4,2,354,498,274,392,77%,79%
2,157041,0,2019-08-24T14:00:00+00:00,Bramall Lane,62,46,0,1,1,2,2,2,3,4,7,10,2,4,4,5,3,5,11,6,7,4,1,5,49%,51%,1,0,,,0,1,421,452,316,358,75%,79%
3,157047,1,2019-08-31T14:00:00+00:00,Stamford Bridge,49,62,2,0,2,2,5,2,5,5,13,8,3,1,8,3,5,5,6,11,3,4,2,0,62%,38%,0,1,,,2,3,719,429,627,338,87%,79%
4,157061,0,2019-09-14T14:00:00+00:00,Bramall Lane,62,41,0,0,0,1,4,7,8,3,17,11,5,1,13,8,4,3,10,7,12,6,3,1,48%,52%,1,1,1,0,6,4,414,467,308,363,74%,78%
5,157069,0,2019-09-21T14:00:00+00:00,Goodison Park,45,62,0,1,0,2,3,1,6,1,16,2,7,0,9,2,7,0,9,9,12,3,1,1,69%,31%,1,3,,,0,3,520,227,433,144,83%,63%
6,157082,0,2019-09-28T11:30:00+00:00,Bramall Lane,62,40,0,0,0,1,2,4,6,9,12,16,4,3,11,8,1,8,8,4,6,5,0,1,29%,71%,1,1,,,3,2,291,708,192,609,66%,86%
7,157093,1,2019-10-05T14:00:00+00:00,Vicarage Road,38,62,0,0,0,0,2,3,4,4,8,9,2,2,5,5,3,4,7,6,7,7,2,3,39%,61%,0,2,,,3,2,360,554,252,455,70%,82%
8,157102,2,2019-10-21T19:00:00+00:00,Bramall Lane,62,42,1,0,1,0,2,3,5,4,8,9,1,2,5,5,3,4,10,12,7,12,1,1,31%,69%,4,4,,,3,1,287,633,205,548,71%,87%
9,157114,1,2019-10-26T14:00:00+00:00,London Stadium,48,62,1,0,1,1,4,4,7,3,12,10,1,3,9,9,3,1,7,10,10,4,4,4,60%,40%,2,2,,,2,3,545,357,436,261,80%,73%
10,157122,2,2019-11-02T15:00:00+00:00,Bramall Lane,62,44,3,0,3,0,6,0,5,5,13,6,2,1,12,5,1,1,8,12,7,6,1,0,45%,55%,1,2,,,1,3,384,460,266,342,69%,74%
11,157133,1,2019-11-09T15:00:00+00:00,Tottenham Hotspur Stadium,47,62,0,0,1,1,5,4,8,7,17,14,4,3,7,8,10,6,6,9,4,4,1,6,61%,39%,2,2,,,3,4,602,378,507,285,84%,75%
12,157142,1,2019-11-24T16:30:00+00:00,Bramall Lane,62,33,1,0,3,3,8,5,1,4,12,11,3,2,5,7,7,4,13,10,6,3,3,1,40%,60%,1,2,,,2,5,383,587,277,476,72%,81%
13,157154,1,2019-12-01T14:00:00+00:00,Molineux Stadium,39,62,0,1,1,1,3,4,4,5,13,10,6,1,8,9,5,1,12,18,7,2,1,3,59%,41%,1,5,,,3,3,517,361,422,270,82%,75%
14,157158,0,2019-12-05T19:30:00+00:00,Bramall Lane,62,34,0,1,0,2,6,4,4,1,13,6,3,1,10,3,3,3,10,6,8,1,3,2,73%,27%,2,0,,,2,6,675,253,579,167,86%,66%
15,157171,0,2019-12-08T14:00:00+00:00,Carrow Road,71,62,1,0,1,2,4,3,5,5,14,9,5,1,8,6,6,3,6,12,9,1,1,2,58%,42%,0,4,,,1,3,579,418,453,293,78%,70%
