,fixture_id,h_result,event_date,venue,h_team,a_team,h_halftime_score,a_haftime_score,h_fulltime_score,a_fulltime_score,h_shot_on_goal,a_shot_on_goal,h_shot_off_goal,a_shot_off_goal,h_total_shots,a_total_shots,h_blocked_shots,a_blocked_shots,h_shots_inside_box,a_shots_inside_box,h_shots_outside_box,a_shots_outside_box,h_fouls,a_fouls,h_corner_kicks,a_corner_kicks,h_offsides,a_offsides,h_ball_possession,a_ball_possession,h_yellow_cards,a_yellow_cards,h_red_cards,a_red_cards,h_goalkeeper_saves,a_goalkeeper_saves,h_total_passes,a_total_passes,h_accurate_passes,a_accurate_passes,h_pass_percentage,a_pass_percentage
0,157022,2,2019-08-10T16:30:00+00:00,Tottenham Hotspur Stadium,47,66,0,1,3,1,7,4,14,2,31,7,10,1,17,4,14,3,13,9,14,0,1,0,70%,30%,1,0,,,3,3,587,256,526,200,90%,78%
1,157026,0,2019-08-17T14:00:00+00:00,Villa Park,66,35,0,2,1,2,7,4,9,4,21,12,5,4,11,8,10,4,10,13,10,5,5,2,62%,38%,0,2,,,2,6,490,295,402,208,82%,71%
2,157036,2,2019-08-23T19:00:00+00:00,Villa Park,66,45,1,0,2,0,3,1,2,7,7,12,2,4,3,7,4,5,10,18,0,6,8,1,35%,65%,2,3,,,1,1,301,539,219,435,73%,81%
3,157048,2,2019-08-31T14:00:00+00:00,Selhurst Park,52,66,0,0,1,0,5,2,10,3,22,10,7,5,14,3,8,7,15,16,13,2,2,0,52%,48%,2,6,0,1,2,4,407,379,343,315,84%,83%
4,157056,1,2019-09-16T19:00:00+00:00,Villa Park,66,48,0,0,0,0,5,1,4,5,10,13,1,7,5,6,5,7,13,12,2,4,3,3,46%,54%,2,3,0,1,1,5,408,470,329,391,81%,83%
5,157065,2,2019-09-22T15:30:00+00:00,Emirates Stadium,42,66,0,1,3,2,6,9,10,3,21,14,5,2,14,8,7,6,13,15,9,4,2,0,58%,42%,7,1,1,0,7,3,465,326,396,265,85%,81%
6,157076,1,2019-09-28T14:00:00+00:00,Villa Park,66,44,1,0,2,2,3,3,7,4,16,10,6,3,6,8,10,2,10,16,7,3,2,0,60%,40%,1,4,,,1,1,416,281,324,177,78%,63%
7,157091,0,2019-10-05T14:00:00+00:00,Carrow Road,71,66,0,2,1,5,5,12,8,7,21,22,8,3,15,12,6,10,14,17,10,6,0,1,57%,43%,1,3,,,7,4,472,345,383,268,81%,78%
8,157096,2,2019-10-19T14:00:00+00:00,Villa Park,66,51,1,1,2,1,8,5,8,8,24,20,8,7,16,11,8,9,9,17,7,5,1,0,48%,52%,1,4,0,1,4,6,441,475,371,398,84%,84%
9,157109,2,2019-10-26T11:30:00+00:00,Etihad Stadium,50,66,0,0,3,0,10,5,8,2,26,11,8,4,22,8,4,3,10,5,13,7,1,2,63%,37%,3,1,1,0,5,6,597,341,524,273,88%,80%
10,157117,0,2019-11-02T15:00:00+00:00,Villa Park,66,40,1,0,1,2,2,6,1,10,4,25,1,9,3,18,1,7,12,9,2,10,3,2,26%,74%,1,2,,,4,1,226,634,132,533,58%,84%
11,157134,2,2019-11-10T14:00:00+00:00,Molineux Stadium,39,66,1,0,2,1,5,4,7,5,17,13,5,4,12,5,5,8,17,8,6,3,0,1,50%,50%,4,3,,,3,3,385,375,309,299,80%,80%
12,157137,2,2019-11-25T20:00:00+00:00,Villa Park,66,34,2,0,2,0,8,5,6,3,17,11,3,3,12,5,5,6,10,9,11,6,1,2,62%,38%,1,1,,,5,6,490,296,425,232,87%,78%
13,157149,1,2019-12-01T16:30:00+00:00,Old Trafford,33,66,1,1,2,2,6,3,7,4,16,9,3,2,10,7,6,2,16,8,9,9,1,4,62%,38%,4,1,,,1,5,525,309,452,221,86%,72%
14,157161,2,2019-12-04T19:30:00+00:00,Stamford Bridge,49,66,1,1,2,1,9,3,6,1,25,9,10,5,16,8,9,1,18,10,9,5,0,1,64%,36%,2,1,,,2,7,649,349,564,280,87%,80%
15,157166,0,2019-12-08T14:00:00+00:00,Villa Park,66,46,1,2,1,4,2,8,9,8,15,23,4,7,11,21,4,2,21,15,8,5,0,1,40%,60%,6,2,,,4,1,306,478,234,411,76%,86%
16,157182,2,2019-12-14T15:00:00+00:00,Bramall Lane,62,66,0,0,2,0,3,0,2,7,7,8,2,1,7,5,0,3,10,9,3,2,3,0,56%,44%,2,2,,,0,1,512,396,394,272,77%,69%
17,157186,0,2019-12-21T15:00:00+00:00,Villa Park,66,41,0,2,1,3,6,8,7,5,19,17,6,4,9,11,10,6,16,15,7,5,2,3,56%,44%,2,1,,,5,5,432,341,335,234,78%,69%
18,157196,2,2019-12-26T15:00:00+00:00,Villa Park,66,71,0,0,1,0,2,6,5,6,11,16,4,4,8,13,3,3,15,12,5,8,1,0,42%,58%,2,3,,,5,1,363,508,271,424,75%,83%
19,157213,2,2019-12-28T15:00:00+00:00,Vicarage Road,38,66,1,0,3,0,6,2,5,3,20,11,9,6,12,5,8,6,16,9,6,3,1,3,48%,52%,5,1,1,0,2,3,417,433,331,352,79%,81%
20,157217,0,2020-01-01T12:30:00+00:00,Turf Moor,44,66,0,2,1,2,1,6,13,3,20,11,6,2,13,9,7,2,12,10,8,4,2,1,61%,39%,1,1,,,4,0,506,327,405,223,80%,68%
21,157226,0,2020-01-12T16:30:00+00:00,Villa Park,66,50,0,4,1,6,1,12,4,8,7,22,2,2,7,14,0,8,5,12,2,4,1,0,29%,71%,2,1,,,5,0,362,877,291,809,80%,92%
22,157236,1,2020-01-18T15:00:00+00:00,The American Express Community Stadium,51,66,1,0,1,1,2,3,3,5,10,8,5,0,8,7,2,1,11,13,3,4,2,4,55%,45%,3,3,,,2,1,500,397,391,295,78%,74%
23,157246,2,2020-01-21T19:30:00+00:00,Villa Park,66,38,0,1,2,1,5,2,8,3,16,8,3,3,13,8,3,0,11,18,6,3,0,3,64%,36%,2,2,,,1,3,558,314,451,214,81%,68%
24,157255,2,2020-02-01T15:00:00+00:00,Vitality Stadium,35,66,2,0,2,1,6,5,5,9,16,18,5,4,8,15,8,3,10,15,1,8,1,3,39%,61%,3,3,1,0,4,4,303,456,188,347,62%,76%
25,157266,0,2020-02-16T14:00:00+00:00,Villa Park,66,47,1,2,2,3,4,10,8,6,18,23,6,7,12,19,6,4,12,10,12,7,0,1,54%,46%,2,0,,,7,3,444,386,339,292,76%,76%
26,157283,2,2020-02-22T15:00:00+00:00,St. Mary's Stadium,41,66,1,0,2,0,9,1,11,0,28,4,8,3,13,3,15,1,13,17,9,6,0,2,45%,55%,1,4,,,1,7,341,398,234,295,69%,74%
27,157299,2,2020-03-09T20:00:00+00:00,King Power Stadium,46,66,1,0,4,0,7,1,7,3,15,4,1,0,12,2,3,2,15,12,9,0,3,2,64%,36%,2,1,,,1,3,543,301,447,209,82%,69%
28,157286,1,2020-06-17T17:00:00+00:00,Villa Park,66,62,0,0,0,0,6,1,5,1,14,5,3,3,12,3,2,2,11,14,12,4,1,0,45%,55%,1,1,,,1,6,382,483,301,384,79%,80%
29,157306,0,2020-06-21T15:15:00+00:00,Villa Park,66,49,1,0,1,2,4,5,3,7,8,19,1,7,6,8,2,11,9,17,2,10,,,26%,74%,2,1,,,3,3,246,692,158,593,64%,86%
30,157320,1,2020-06-24T17:00:00+00:00,St. James' Park,34,66,0,0,1,1,3,2,4,7,13,14,6,5,4,7,9,7,15,13,6,9,1,0,52%,48%,2,2,,,1,2,416,369,320,285,77%,77%
31,157327,0,2020-06-27T11:30:00+00:00,Villa Park,66,39,0,0,0,1,1,2,8,6,11,9,2,1,9,7,2,2,16,16,2,2,0,2,48%,52%,1,1,,,1,1,423,464,345,373,82%,80%
32,157338,2,2020-07-05T15:30:00+00:00,Anfield,40,66,0,0,2,0,4,3,1,4,6,9,1,2,3,6,3,3,18,8,7,5,1,5,71%,29%,1,1,,,3,2,672,263,566,175,84%,67%
33,157347,0,2020-07-09T19:15:00+00:00,Villa Park,66,33,0,2,0,3,1,6,5,6,9,14,3,2,4,10,5,4,7,13,3,5,2,1,33%,67%,2,3,,,3,1,310,637,236,567,76%,89%
