fixture_id,h_result,event_date,venue,h_halftime_score,a_haftime_score,h_fulltime_score,a_fulltime_score,h_shot_on_goal,a_shot_on_goal,h_shot_off_goal,a_shot_off_goal,h_total_shots,a_total_shots,h_blocked_shots,a_blocked_shots,h_shots_inside_box,a_shots_inside_box,h_shots_outside_box,a_shots_outside_box,h_fouls,a_fouls,h_corner_kicks,a_corner_kicks,h_offsides,a_offsides,h_ball_possession,a_ball_possession,h_yellow_cards,a_yellow_cards,h_red_cards,a_red_cards,h_goalkeeper_saves,a_goalkeeper_saves,h_total_passes,a_total_passes,h_accurate_passes,a_accurate_passes,h_pass_percentage,a_pass_percentage,h_win_odds,h_draw_odds,h_lose_odds,away_team,away_team_id,home_team,home_team_id
328261,2,2021-01-06T22:15:00+00:00,,1,0,2,1,2,5,4,7,11,17,5,5,4,8,7,9,11,17,3,10,0,1,49%,51%,2,4,0,0,4,0,405,410,338,338,83%,82%,1.47,4.33,6.5,Bahia,118,Gremio,130
328262,0,2021-01-06T22:15:00+00:00,,0,1,0,2,8,4,11,4,24,8,5,0,17,8,7,0,14,21,3,3,4,1,61%,39%,3,2,0,0,2,8,507,325,448,255,88%,78%,2.45,3,3,Atletico Paranaense,134,Botafogo,120
328263,2,2021-01-06T23:30:00+00:00,,1,0,1,0,1,1,2,9,6,17,3,7,4,9,2,8,14,12,4,8,0,1,35%,65%,3,1,0,0,1,0,270,490,200,421,74%,86%,2.4,3,3.1,Fortaleza EC,154,Sport Recife,123
328264,0,2021-01-06T23:30:00+00:00,,0,2,1,2,2,5,11,2,16,11,3,4,6,9,10,2,13,19,6,4,2,2,56%,44%,4,3,0,0,3,1,463,360,383,257,83%,71%,2.02,3.3,3.3,Goias,151,Coritiba,147
328255,0,2021-01-07T00:30:00+00:00,,1,0,1,2,8,5,7,4,19,11,4,2,12,9,7,2,12,22,11,4,0,2,72%,28%,1,4,0,0,3,7,673,249,581,176,86%,71%,1.44,4.33,7,Fluminense,124,Flamengo,127
328257,2,2021-01-07T00:30:00+00:00,,4,1,4,2,10,4,11,2,23,8,2,2,15,3,8,5,17,4,4,5,0,3,48%,52%,2,2,0,1,3,6,455,487,389,419,85%,86%,2.88,3.34,2.48,Sao Paulo,126,Bragantino,794
328260,0,2021-01-07T22:00:00+00:00,,0,0,0,2,6,3,6,3,19,8,7,2,11,5,8,3,18,16,7,4,,,60%,40%,6,4,0,0,1,5,495,329,428,265,86%,81%,2.75,2.75,2.55,Internacional,119,Ceara,129
328256,1,2021-01-08T00:00:00+00:00,,0,0,0,0,2,6,4,6,8,15,2,3,6,6,2,9,19,17,3,4,2,2,44%,56%,3,2,0,0,6,2,336,423,249,349,74%,83%,1.97,3.2,3.6,Vasco DA Gama,133,Atletico Goianiense,144
328267,0,2021-01-09T22:00:00+00:00,,0,1,0,1,5,4,4,6,11,12,2,2,7,4,4,8,15,21,7,6,2,2,58%,42%,4,3,0,0,3,5,511,366,439,279,86%,76%,4.3,3.44,1.9,Palmeiras,121,Sport Recife,123
328272,1,2021-01-09T22:00:00+00:00,,0,0,0,0,2,1,8,1,13,3,3,1,4,0,9,3,11,11,3,2,,,41%,59%,2,1,0,0,1,2,388,578,321,504,83%,87%,3.1,2.9,2.3,Atletico Paranaense,134,Coritiba,147
