fixture_id,h_result,event_date,venue,h_halftime_score,a_haftime_score,h_fulltime_score,a_fulltime_score,h_shot_on_goal,a_shot_on_goal,h_shot_off_goal,a_shot_off_goal,h_total_shots,a_total_shots,h_blocked_shots,a_blocked_shots,h_shots_inside_box,a_shots_inside_box,h_shots_outside_box,a_shots_outside_box,h_fouls,a_fouls,h_corner_kicks,a_corner_kicks,h_offsides,a_offsides,h_ball_possession,a_ball_possession,h_yellow_cards,a_yellow_cards,h_red_cards,a_red_cards,h_goalkeeper_saves,a_goalkeeper_saves,h_total_passes,a_total_passes,h_accurate_passes,a_accurate_passes,h_pass_percentage,a_pass_percentage,h_win_odds,h_draw_odds,h_lose_odds,away_team,away_team_id,home_team,home_team_id
593146,0,2021-01-12T19:00:00+00:00,,0,1,0,2,2,8,6,3,9,13,1,2,4,10,5,3,7,11,2,6,4,2,47%,53%,0,1,0,0,6,2,401,446,273,313,68%,70%,2.37,3.34,3.26,QPR,72,Luton,1359
593119,1,2021-01-12T19:45:00+00:00,,1,0,1,1,2,6,2,4,6,15,2,5,4,9,2,6,13,10,7,7,1,1,65%,35%,1,2,0,0,4,1,565,298,473,206,84%,69%,1.8,3.7,4.7,Millwall,58,Bournemouth,35
593144,,2021-01-13T19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,3.7,6.5,Bristol City,56,Brentford,55
593162,,2021-01-16T12:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85,3.25,4.75,Birmingham,54,Middlesbrough,70
593155,,2021-01-16T15:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.56,4,5.85,Luton,1359,Bournemouth,35
593157,,2021-01-16T15:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,3.25,3.75,Stoke City,75,Blackburn,67
593158,,2021-01-16T15:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,3.2,2.8,Preston,59,Bristol City,56
593159,,2021-01-16T15:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,3.4,2.25,Norwich,71,Cardiff,43
593160,,2021-01-16T15:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,3.25,3.5,Sheffield Wednesday,74,Coventry,1346
593161,,2021-01-16T15:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.92,3.4,4,Rotherham,73,Derby,69
593163,,2021-01-16T15:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,3.1,3.2,Millwall,58,Nottingham Forest,65
593164,,2021-01-16T15:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77,3.75,4.35,Wycombe,1358,QPR,72
593165,,2021-01-16T15:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,3.5,2.05,Brentford,55,Reading,53
593166,,2021-01-16T15:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,3.7,5.2,Huddersfield,37,Watford,38
593156,,2021-01-16T19:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79,3.1,2.64,Swansea,76,Barnsley,747
593168,,2021-01-19T18:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95,3.6,3.9,Bournemouth,35,Derby,69
593171,,2021-01-19T18:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,3.45,2.2,Coventry,1346,Reading,53
593167,,2021-01-19T19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,3.35,2.3,Swansea,76,Blackburn,67
593170,,2021-01-19T19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3.6,1.91,Wycombe,1358,Sheffield Wednesday,74
593169,,2021-01-19T19:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35,3.3,3.15,Stoke City,75,Rotherham,73
606504,,2021-01-19T19:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,3.5,1.83,Barnsley,747,Watford,38
593176,,2021-01-20T18:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3.9,1.56,Bristol City,56,Norwich,71
593173,,2021-01-20T19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4.15,1.54,Luton,1359,Brentford,55
