fixture_id,h_result,event_date,venue,h_halftime_score,a_haftime_score,h_fulltime_score,a_fulltime_score,h_shot_on_goal,a_shot_on_goal,h_shot_off_goal,a_shot_off_goal,h_total_shots,a_total_shots,h_blocked_shots,a_blocked_shots,h_shots_inside_box,a_shots_inside_box,h_shots_outside_box,a_shots_outside_box,h_fouls,a_fouls,h_corner_kicks,a_corner_kicks,h_offsides,a_offsides,h_ball_possession,a_ball_possession,h_yellow_cards,a_yellow_cards,h_red_cards,a_red_cards,h_goalkeeper_saves,a_goalkeeper_saves,h_total_passes,a_total_passes,h_accurate_passes,a_accurate_passes,h_pass_percentage,a_pass_percentage,h_win_odds,h_draw_odds,h_lose_odds,away_team,away_team_id,home_team,home_team_id
568253,2,2021-01-05T19:00:00+00:00,,1,0,3,0,8,2,3,1,13,6,2,3,6,3,7,3,16,13,5,5,2,2,54%,46%,2,4,0,0,2,5,500,397,401,318,80%,80%,2.25,2.95,3.4,Grenoble,101,Clermont Foot,99
568254,0,2021-01-05T19:00:00+00:00,,0,0,0,1,2,5,5,2,13,8,6,1,8,4,5,4,17,20,9,2,2,2,55%,45%,2,1,0,0,4,2,449,359,324,243,72%,68%,3,2.85,2.7,LE Havre,111,Chambly Thelle FC,1291
568255,1,2021-01-05T19:00:00+00:00,,0,0,1,1,6,4,8,2,19,6,5,0,14,3,5,3,13,16,10,4,3,0,58%,42%,1,1,1,0,2,5,535,394,460,312,86%,79%,1.93,3.39,4.5,Caen,88,Auxerre,108
568256,2,2021-01-05T19:00:00+00:00,,2,1,4,1,4,2,6,5,15,9,5,2,11,4,4,5,10,11,5,1,1,0,59%,41%,0,2,0,0,1,0,546,369,458,257,84%,70%,2,3,4.2,PAU,1297,Ajaccio,98
568257,1,2021-01-05T19:00:00+00:00,,2,1,2,2,4,5,3,5,9,12,2,2,4,4,5,8,14,16,2,5,1,2,43%,57%,1,4,0,0,3,3,344,451,244,364,71%,81%,2.75,2.85,2.8,Amiens,87,Guingamp,90
568258,1,2021-01-05T19:00:00+00:00,,0,0,1,1,3,5,5,3,10,10,2,2,4,6,6,4,23,16,5,1,3,0,53%,47%,2,3,0,1,4,2,324,296,240,214,74%,72%,2.45,2.8,3.25,Niort,113,Rodez,1301
568259,2,2021-01-05T19:00:00+00:00,,0,0,2,0,4,1,8,4,16,6,4,1,8,2,8,4,15,20,7,3,1,3,70%,30%,1,3,0,1,1,2,629,269,550,182,87%,68%,1.33,4.75,9.5,Chateauroux,107,Estac Troyes,110
568260,2,2021-01-05T19:00:00+00:00,,0,0,1,0,6,6,1,3,11,12,4,3,6,6,5,6,16,18,5,2,2,3,48%,52%,4,1,1,1,6,5,412,434,327,343,79%,79%,2.37,3.2,3.1,Paris FC,114,Toulouse,96
568261,2,2021-01-05T19:00:00+00:00,,0,0,1,0,5,2,9,2,17,9,3,5,11,5,6,4,15,19,2,3,2,1,60%,40%,2,3,0,0,2,4,531,339,443,240,83%,71%,1.93,3.08,4.84,Dunkerque,1304,Sochaux,115
568262,0,2021-01-05T19:00:00+00:00,,1,0,2,3,7,6,2,4,9,14,0,4,6,11,3,3,18,13,4,3,1,2,49%,51%,1,0,1,1,3,4,396,386,293,298,74%,77%,2.78,3.02,2.92,Nancy,102,Valenciennes,105
