fixture_id,h_result,event_date,venue,h_halftime_score,a_haftime_score,h_fulltime_score,a_fulltime_score,h_shot_on_goal,a_shot_on_goal,h_shot_off_goal,a_shot_off_goal,h_total_shots,a_total_shots,h_blocked_shots,a_blocked_shots,h_shots_inside_box,a_shots_inside_box,h_shots_outside_box,a_shots_outside_box,h_fouls,a_fouls,h_corner_kicks,a_corner_kicks,h_offsides,a_offsides,h_ball_possession,a_ball_possession,h_yellow_cards,a_yellow_cards,h_red_cards,a_red_cards,h_goalkeeper_saves,a_goalkeeper_saves,h_total_passes,a_total_passes,h_accurate_passes,a_accurate_passes,h_pass_percentage,a_pass_percentage,h_win_odds,h_draw_odds,h_lose_odds,away_team,away_team_id,home_team,home_team_id
571643,0,2021-01-06T18:00:00+00:00,,1,1,2,5,5,9,4,1,11,15,2,5,3,9,8,6,9,9,5,8,2,1,40%,60%,1,3,1,0,4,3,386,579,312,504,81%,87%,4.45,3.8,1.8,Monaco,91,Lorient,97
571645,2,2021-01-06T18:00:00+00:00,,2,0,2,0,6,6,3,5,10,12,1,1,7,9,3,3,12,8,6,6,2,0,39%,61%,2,3,0,0,6,4,410,633,311,541,76%,85%,2.23,3.5,3.05,Nice,84,Stade Brestois 29,106
571647,1,2021-01-06T18:00:00+00:00,,0,0,0,0,3,3,2,4,9,12,4,5,6,7,3,5,10,20,3,2,3,1,42%,58%,1,2,0,0,3,3,430,588,347,511,81%,87%,2.75,2.95,2.75,Bordeaux,78,Metz,112
571650,1,2021-01-06T18:00:00+00:00,,0,0,0,0,2,0,3,3,7,8,2,5,4,6,3,2,13,13,6,3,,,28%,72%,2,3,0,0,0,2,302,795,218,713,72%,90%,4.03,3.55,2.03,Rennes,94,Nantes,83
571651,2,2021-01-06T18:00:00+00:00,,3,0,5,0,12,2,5,1,21,6,4,3,17,6,4,0,12,6,10,5,,,59%,41%,1,2,0,0,2,7,553,381,479,314,87%,82%,1.4,4.5,8.5,Nimes,92,Strasbourg,95
571642,2,2021-01-06T20:00:00+00:00,,1,0,3,2,6,3,4,5,11,11,1,3,6,6,5,5,9,10,7,4,2,2,49%,51%,1,2,0,0,1,4,442,434,365,360,83%,83%,1.52,4.45,5.9,Lens,116,Lyon,80
571644,0,2021-01-06T20:00:00+00:00,,1,2,1,2,2,3,3,3,7,7,2,1,3,3,4,4,12,10,8,6,2,1,66%,34%,3,1,0,0,1,1,651,329,542,224,83%,68%,1.83,3.28,5.3,Angers,77,Lille,79
571646,2,2021-01-06T20:00:00+00:00,,1,0,3,1,7,5,7,7,17,13,3,1,11,8,6,5,4,6,5,1,0,6,56%,44%,,,0,0,4,4,592,447,515,357,87%,80%,2.25,3.26,3.48,Montpellier,82,Marseille,81
571648,1,2021-01-06T20:00:00+00:00,,1,1,1,1,5,4,5,6,11,11,1,1,9,10,2,1,13,12,9,10,1,1,31%,69%,1,1,0,0,3,4,318,719,233,642,73%,89%,10.24,6.13,1.3,Paris Saint Germain,85,Saint Etienne,1063
571649,1,2021-01-06T20:00:00+00:00,,0,0,0,0,3,0,3,4,9,8,3,4,5,2,4,6,13,8,7,5,1,0,57%,43%,2,3,0,0,0,3,532,403,451,313,85%,78%,1.95,3.66,4.34,Dijon,89,Reims,93
