fixture_id,h_result,event_date,venue,h_halftime_score,a_haftime_score,h_fulltime_score,a_fulltime_score,h_shot_on_goal,a_shot_on_goal,h_shot_off_goal,a_shot_off_goal,h_total_shots,a_total_shots,h_blocked_shots,a_blocked_shots,h_shots_inside_box,a_shots_inside_box,h_shots_outside_box,a_shots_outside_box,h_fouls,a_fouls,h_corner_kicks,a_corner_kicks,h_offsides,a_offsides,h_ball_possession,a_ball_possession,h_yellow_cards,a_yellow_cards,h_red_cards,a_red_cards,h_goalkeeper_saves,a_goalkeeper_saves,h_total_passes,a_total_passes,h_accurate_passes,a_accurate_passes,h_pass_percentage,a_pass_percentage,h_win_odds,h_draw_odds,h_lose_odds,away_team,away_team_id,home_team,home_team_id
585180,2,2021-01-04T19:30:00+00:00,,1,0,2,1,9,4,4,5,15,12,2,3,13,6,2,6,11,13,7,10,5,2,36%,64%,4,2,0,0,3,7,262,468,191,395,73%,84%,2.29,3.32,3.08,SC Paderborn 07,185,Fortuna Dusseldorf,158
585170,1,2021-01-06T17:30:00+00:00,,1,0,1,1,4,3,6,7,13,11,3,1,9,7,4,4,20,22,2,5,1,1,45%,55%,2,6,0,1,2,3,332,413,218,287,66%,69%,2.8,3.5,2.33,FC St. Pauli,186,FC Wurzburger Kickers,784
585191,2,2021-01-08T17:30:00+00:00,,2,0,4,0,12,5,5,2,25,9,8,2,15,5,10,4,9,11,6,2,2,0,53%,47%,1,2,0,1,5,6,460,409,335,272,73%,67%,3.84,3.54,2.06,FC Heidenheim,180,SV Sandhausen,189
585195,2,2021-01-08T17:30:00+00:00,,2,2,3,2,6,5,4,9,11,17,1,3,8,8,3,9,13,15,6,5,4,1,40%,60%,3,1,0,0,3,3,325,484,226,383,70%,79%,3.05,3.35,2.3,SpVgg Greuther Furth,178,Karlsruher SC,785
585193,0,2021-01-09T12:00:00+00:00,,1,0,2,3,4,6,4,7,11,15,3,2,7,9,4,6,19,9,6,2,1,3,55%,45%,2,0,0,0,3,2,502,403,405,313,81%,78%,1.87,3.54,4.3,FC Wurzburger Kickers,784,VfL Osnabruck,1324
585194,1,2021-01-09T12:00:00+00:00,,0,0,1,1,5,3,4,7,20,13,11,3,13,9,7,4,10,13,7,5,0,2,47%,53%,2,1,0,0,2,4,421,473,334,397,79%,84%,3.75,3.6,1.9,Holstein Kiel,191,FC St. Pauli,186
585196,1,2021-01-09T12:00:00+00:00,,1,1,1,1,3,4,5,8,12,12,4,0,4,7,8,5,13,12,0,5,3,5,39%,61%,2,2,0,0,3,2,339,535,263,444,78%,83%,3.35,3.55,2.12,Hamburger SV,175,FC Nurnberg,171
585189,2,2021-01-10T12:30:00+00:00,,1,1,2,1,8,4,5,2,16,10,3,4,11,2,5,8,12,16,7,2,0,2,63%,37%,3,1,0,0,3,6,547,304,464,216,85%,71%,1.75,3.8,4.33,Erzgebirge AUE,190,SC Paderborn 07,185
585190,0,2021-01-10T12:30:00+00:00,,0,1,1,2,11,5,2,4,16,15,3,6,13,8,3,7,12,12,7,7,2,4,56%,44%,2,1,0,0,3,10,495,384,385,297,78%,77%,2.65,3.5,2.55,Hannover 96,166,SV Darmstadt 98,181
585192,0,2021-01-10T12:30:00+00:00,,0,0,0,2,1,6,6,1,9,8,2,1,7,6,2,2,15,16,4,8,0,2,42%,58%,2,2,0,0,4,1,300,406,191,305,64%,75%,2.81,3.2,2.43,VfL BOCHUM,176,Jahn Regensburg,177
585197,1,2021-01-11T19:30:00+00:00,,0,0,0,0,0,3,2,3,2,7,0,1,0,4,2,3,15,16,3,2,4,1,40%,60%,4,2,0,0,3,0,366,550,272,455,74%,83%,3.85,3.45,1.95,Fortuna Dusseldorf,158,Eintracht Braunschweig,744
585203,,2021-01-15T17:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.04,3.55,3.45,SC Paderborn 07,185,SpVgg Greuther Furth,178
585206,,2021-01-15T17:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,3.1,2.85,Eintracht Braunschweig,744,FC Wurzburger Kickers,784
585200,,2021-01-16T12:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,3.8,4.6,FC St. Pauli,186,Hannover 96,166
585201,,2021-01-16T12:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.05,3.35,2.28,Fortuna Dusseldorf,158,Erzgebirge AUE,190
585202,,2021-01-16T12:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02,3.45,3.65,FC Nurnberg,171,VfL BOCHUM,176
585198,,2021-01-17T12:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,3.3,3,SV Darmstadt 98,181,FC Heidenheim,180
585204,,2021-01-17T12:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,3.5,3.25,Karlsruher SC,785,Holstein Kiel,191
585205,,2021-01-17T12:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11,3.44,3.5,SV Sandhausen,189,Jahn Regensburg,177
585199,,2021-01-18T19:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.62,3.8,5.25,VfL Osnabruck,1324,Hamburger SV,175
