fixture_id,h_result,event_date,venue,h_halftime_score,a_haftime_score,h_fulltime_score,a_fulltime_score,h_shot_on_goal,a_shot_on_goal,h_shot_off_goal,a_shot_off_goal,h_total_shots,a_total_shots,h_blocked_shots,a_blocked_shots,h_shots_inside_box,a_shots_inside_box,h_shots_outside_box,a_shots_outside_box,h_fouls,a_fouls,h_corner_kicks,a_corner_kicks,h_offsides,a_offsides,h_ball_possession,a_ball_possession,h_yellow_cards,a_yellow_cards,h_red_cards,a_red_cards,h_goalkeeper_saves,a_goalkeeper_saves,h_total_passes,a_total_passes,h_accurate_passes,a_accurate_passes,h_pass_percentage,a_pass_percentage,h_win_odds,h_draw_odds,h_lose_odds,away_team,away_team_id,home_team,home_team_id
608687,0,2021-01-06T11:30:00+00:00,,1,2,1,2,5,4,6,3,12,10,1,3,5,9,7,1,18,12,7,6,1,2,61%,39%,4,3,1,0,2,4,506,323,441,250,87%,77%,2.55,3.4,2.75,Benevento,506,Cagliari,490
608685,2,2021-01-06T14:00:00+00:00,,1,0,3,0,6,0,9,1,17,2,2,1,12,0,5,2,10,6,12,3,3,1,51%,49%,1,1,0,0,0,3,529,515,462,444,87%,86%,1.22,6.75,11.5,Parma,523,Atalanta,499
608686,1,2021-01-06T14:00:00+00:00,,2,1,2,2,6,6,3,4,10,17,1,7,5,10,5,7,16,13,4,6,1,2,37%,63%,4,3,1,0,4,4,320,512,251,444,78%,87%,2.63,3.3,2.75,Udinese,494,Bologna,500
608688,0,2021-01-06T14:00:00+00:00,,0,3,1,3,5,4,7,3,14,12,2,5,12,6,2,6,15,17,3,4,0,1,52%,48%,2,3,0,0,1,3,522,479,430,396,82%,83%,6.4,4.65,1.46,AS Roma,497,Crotone,501
608689,2,2021-01-06T14:00:00+00:00,,1,0,2,1,3,5,4,2,13,12,6,5,8,11,5,1,11,11,2,9,3,0,45%,55%,3,1,0,0,4,1,410,478,345,414,84%,87%,1.9,3.6,4.1,Fiorentina,502,Lazio,487
608692,2,2021-01-06T14:00:00+00:00,,2,0,2,1,3,7,1,14,10,24,6,3,5,18,5,6,13,18,4,10,1,3,38%,62%,3,4,0,0,6,1,321,509,235,421,73%,83%,5.75,4,1.57,Inter,505,Sampdoria,498
608693,2,2021-01-06T14:00:00+00:00,,0,0,2,1,3,2,7,3,17,7,7,2,10,7,7,0,14,10,8,2,0,1,63%,37%,3,3,0,0,1,2,645,361,568,271,88%,75%,1.76,3.75,4.6,Genoa,495,Sassuolo,488
608694,1,2021-01-06T14:00:00+00:00,,0,0,1,1,3,2,5,4,18,8,10,2,11,5,7,3,12,18,9,3,1,2,45%,55%,1,3,0,0,1,1,368,454,265,345,72%,76%,2.63,3.35,2.7,Verona,504,Torino,503
608691,0,2021-01-06T17:00:00+00:00,,0,0,1,2,10,3,8,5,29,9,11,1,20,5,9,4,9,16,10,2,4,2,62%,38%,2,5,0,1,1,8,593,365,510,288,86%,79%,1.33,5.5,9,Spezia,515,Napoli,492
608690,0,2021-01-06T19:45:00+00:00,,1,1,1,3,8,6,8,4,20,14,4,4,10,11,10,3,17,11,7,4,,,42%,58%,1,2,0,0,3,8,380,525,328,455,86%,87%,3.58,3.56,2.19,Juventus,496,AC Milan,489
608695,0,2021-01-09T14:00:00+00:00,,0,1,1,4,2,12,2,7,5,27,1,8,3,23,2,4,13,21,1,11,0,4,41%,59%,3,2,0,0,8,1,370,514,268,439,72%,85%,7,4.75,1.44,Atalanta,499,Benevento,506
608697,2,2021-01-09T17:00:00+00:00,,1,0,2,0,7,3,2,7,10,14,1,4,9,2,1,12,11,9,1,4,2,1,35%,65%,2,0,0,0,3,5,337,599,220,498,65%,83%,3.15,3.42,2.46,Bologna,500,Genoa,495
