,id,date,time,timestamp,timezone,stage,week,status,country,league,teams,scores
531,104535,2021-02-24T00:30:00Z,00:30,1614126600,UTC,,,"{'long': 'Not Started', 'short': 'NS', 'timer': None}","{'id': 5, 'name': 'USA', 'code': 'US', 'flag': 'https://media.api-sports.io/flags/us.svg'}","{'id': 12, 'name': 'NBA', 'type': 'League', 'logo': 'https://media.api-sports.io/basketball/leagues/12.png', 'season': '2020-2021'}","{'home': {'id': 138, 'name': 'Dallas Mavericks', 'logo': 'https://media.api-sports.io/basketball/teams/138.png'}, 'away': {'id': 133, 'name': 'Boston Celtics', 'logo': 'https://media.api-sports.io/basketball/teams/133.png'}}","{'home': {'quarter_1': None, 'quarter_2': None, 'quarter_3': None, 'quarter_4': None, 'over_time': None, 'total': None}, 'away': {'quarter_1': None, 'quarter_2': None, 'quarter_3': None, 'quarter_4': None, 'over_time': None, 'total': None}}"
532,104536,2021-02-24T00:30:00Z,00:30,1614126600,UTC,,,"{'long': 'Not Started', 'short': 'NS', 'timer': None}","{'id': 5, 'name': 'USA', 'code': 'US', 'flag': 'https://media.api-sports.io/flags/us.svg'}","{'id': 12, 'name': 'NBA', 'type': 'League', 'logo': 'https://media.api-sports.io/basketball/leagues/12.png', 'season': '2020-2021'}","{'home': {'id': 151, 'name': 'New York Knicks', 'logo': 'https://media.api-sports.io/basketball/teams/151.png'}, 'away': {'id': 141, 'name': 'Golden State Warriors', 'logo': 'https://media.api-sports.io/basketball/teams/141.png'}}","{'home': {'quarter_1': None, 'quarter_2': None, 'quarter_3': None, 'quarter_4': None, 'over_time': None, 'total': None}, 'away': {'quarter_1': None, 'quarter_2': None, 'quarter_3': None, 'quarter_4': None, 'over_time': None, 'total': None}}"
533,104537,2021-02-24T00:30:00Z,00:30,1614126600,UTC,,,"{'long': 'Not Started', 'short': 'NS', 'timer': None}","{'id': 5, 'name': 'USA', 'code': 'US', 'flag': 'https://media.api-sports.io/flags/us.svg'}","{'id': 12, 'name': 'NBA', 'type': 'League', 'logo': 'https://media.api-sports.io/basketball/leagues/12.png', 'season': '2020-2021'}","{'home': {'id': 134, 'name': 'Brooklyn Nets', 'logo': 'https://media.api-sports.io/basketball/teams/134.png'}, 'away': {'id': 157, 'name': 'Sacramento Kings', 'logo': 'https://media.api-sports.io/basketball/teams/157.png'}}","{'home': {'quarter_1': None, 'quarter_2': None, 'quarter_3': None, 'quarter_4': None, 'over_time': None, 'total': None}, 'away': {'quarter_1': None, 'quarter_2': None, 'quarter_3': None, 'quarter_4': None, 'over_time': None, 'total': None}}"
534,104538,2021-02-24T01:00:00Z,01:00,1614128400,UTC,,,"{'long': 'Not Started', 'short': 'NS', 'timer': None}","{'id': 5, 'name': 'USA', 'code': 'US', 'flag': 'https://media.api-sports.io/flags/us.svg'}","{'id': 12, 'name': 'NBA', 'type': 'League', 'logo': 'https://media.api-sports.io/basketball/leagues/12.png', 'season': '2020-2021'}","{'home': {'id': 148, 'name': 'Milwaukee Bucks', 'logo': 'https://media.api-sports.io/basketball/teams/148.png'}, 'away': {'id': 149, 'name': 'Minnesota Timberwolves', 'logo': 'https://media.api-sports.io/basketball/teams/149.png'}}","{'home': {'quarter_1': None, 'quarter_2': None, 'quarter_3': None, 'quarter_4': None, 'over_time': None, 'total': None}, 'away': {'quarter_1': None, 'quarter_2': None, 'quarter_3': None, 'quarter_4': None, 'over_time': None, 'total': None}}"
535,104539,2021-02-24T03:00:00Z,03:00,1614135600,UTC,,,"{'long': 'Not Started', 'short': 'NS', 'timer': None}","{'id': 5, 'name': 'USA', 'code': 'US', 'flag': 'https://media.api-sports.io/flags/us.svg'}","{'id': 12, 'name': 'NBA', 'type': 'League', 'logo': 'https://media.api-sports.io/basketball/leagues/12.png', 'season': '2020-2021'}","{'home': {'id': 139, 'name': 'Denver Nuggets', 'logo': 'https://media.api-sports.io/basketball/teams/139.png'}, 'away': {'id': 156, 'name': 'Portland Trail Blazers', 'logo': 'https://media.api-sports.io/basketball/teams/156.png'}}","{'home': {'quarter_1': None, 'quarter_2': None, 'quarter_3': None, 'quarter_4': None, 'over_time': None, 'total': None}, 'away': {'quarter_1': None, 'quarter_2': None, 'quarter_3': None, 'quarter_4': None, 'over_time': None, 'total': None}}"
536,104540,2021-02-24T03:00:00Z,03:00,1614135600,UTC,,,"{'long': 'Not Started', 'short': 'NS', 'timer': None}","{'id': 5, 'name': 'USA', 'code': 'US', 'flag': 'https://media.api-sports.io/flags/us.svg'}","{'id': 12, 'name': 'NBA', 'type': 'League', 'logo': 'https://media.api-sports.io/basketball/leagues/12.png', 'season': '2020-2021'}","{'home': {'id': 144, 'name': 'Los Angeles Clippers', 'logo': 'https://media.api-sports.io/basketball/teams/144.png'}, 'away': {'id': 161, 'name': 'Washington Wizards', 'logo': 'https://media.api-sports.io/basketball/teams/161.png'}}","{'home': {'quarter_1': None, 'quarter_2': None, 'quarter_3': None, 'quarter_4': None, 'over_time': None, 'total': None}, 'away': {'quarter_1': None, 'quarter_2': None, 'quarter_3': None, 'quarter_4': None, 'over_time': None, 'total': None}}"
537,104541,2021-02-25T00:00:00Z,00:00,1614211200,UTC,,,"{'long': 'Not Started', 'short': 'NS', 'timer': None}","{'id': 5, 'name': 'USA', 'code': 'US', 'flag': 'https://media.api-sports.io/flags/us.svg'}","{'id': 12, 'name': 'NBA', 'type': 'League', 'logo': 'https://media.api-sports.io/basketball/leagues/12.png', 'season': '2020-2021'}","{'home': {'id': 143, 'name': 'Indiana Pacers', 'logo': 'https://media.api-sports.io/basketball/teams/143.png'}, 'away': {'id': 141, 'name': 'Golden State Warriors', 'logo': 'https://media.api-sports.io/basketball/teams/141.png'}}","{'home': {'quarter_1': None, 'quarter_2': None, 'quarter_3': None, 'quarter_4': None, 'over_time': None, 'total': None}, 'away': {'quarter_1': None, 'quarter_2': None, 'quarter_3': None, 'quarter_4': None, 'over_time': None, 'total': None}}"
538,104542,2021-02-25T00:30:00Z,00:30,1614213000,UTC,,,"{'long': 'Not Started', 'short': 'NS', 'timer': None}","{'id': 5, 'name': 'USA', 'code': 'US', 'flag': 'https://media.api-sports.io/flags/us.svg'}","{'id': 12, 'name': 'NBA', 'type': 'League', 'logo': 'https://media.api-sports.io/basketball/leagues/12.png', 'season': '2020-2021'}","{'home': {'id': 132, 'name': 'Atlanta Hawks', 'logo': 'https://media.api-sports.io/basketball/teams/132.png'}, 'away': {'id': 133, 'name': 'Boston Celtics', 'logo': 'https://media.api-sports.io/basketball/teams/133.png'}}","{'home': {'quarter_1': None, 'quarter_2': None, 'quarter_3': None, 'quarter_4': None, 'over_time': None, 'total': None}, 'away': {'quarter_1': None, 'quarter_2': None, 'quarter_3': None, 'quarter_4': None, 'over_time': None, 'total': None}}"
539,104543,2021-02-25T00:30:00Z,00:30,1614213000,UTC,,,"{'long': 'Not Started', 'short': 'NS', 'timer': None}","{'id': 5, 'name': 'USA', 'code': 'US', 'flag': 'https://media.api-sports.io/flags/us.svg'}","{'id': 12, 'name': 'NBA', 'type': 'League', 'logo': 'https://media.api-sports.io/basketball/leagues/12.png', 'season': '2020-2021'}","{'home': {'id': 137, 'name': 'Cleveland Cavaliers', 'logo': 'https://media.api-sports.io/basketball/teams/137.png'}, 'away': {'id': 142, 'name': 'Houston Rockets', 'logo': 'https://media.api-sports.io/basketball/teams/142.png'}}","{'home': {'quarter_1': None, 'quarter_2': None, 'quarter_3': None, 'quarter_4': None, 'over_time': None, 'total': None}, 'away': {'quarter_1': None, 'quarter_2': None, 'quarter_3': None, 'quarter_4': None, 'over_time': None, 'total': None}}"
540,104544,2021-02-25T00:30:00Z,00:30,1614213000,UTC,,,"{'long': 'Not Started', 'short': 'NS', 'timer': None}","{'id': 5, 'name': 'USA', 'code': 'US', 'flag': 'https://media.api-sports.io/flags/us.svg'}","{'id': 12, 'name': 'NBA', 'type': 'League', 'logo': 'https://media.api-sports.io/basketball/leagues/12.png', 'season': '2020-2021'}","{'home': {'id': 147, 'name': 'Miami Heat', 'logo': 'https://media.api-sports.io/basketball/teams/147.png'}, 'away': {'id': 159, 'name': 'Toronto Raptors', 'logo': 'https://media.api-sports.io/basketball/teams/159.png'}}","{'home': {'quarter_1': None, 'quarter_2': None, 'quarter_3': None, 'quarter_4': None, 'over_time': None, 'total': None}, 'away': {'quarter_1': None, 'quarter_2': None, 'quarter_3': None, 'quarter_4': None, 'over_time': None, 'total': None}}"
