,fixture_id,h_result,event_date,venue,h_team,a_team,h_halftime_score,a_haftime_score,h_fulltime_score,a_fulltime_score,h_shot_on_goal,a_shot_on_goal,h_shot_off_goal,a_shot_off_goal,h_total_shots,a_total_shots,h_blocked_shots,a_blocked_shots,h_shots_inside_box,a_shots_inside_box,h_shots_outside_box,a_shots_outside_box,h_fouls,a_fouls,h_corner_kicks,a_corner_kicks,h_offsides,a_offsides,h_ball_possession,a_ball_possession,h_yellow_cards,a_yellow_cards,h_red_cards,a_red_cards,h_goalkeeper_saves,a_goalkeeper_saves,h_total_passes,a_total_passes,h_accurate_passes,a_accurate_passes,h_pass_percentage,a_pass_percentage
0,592143,0,2020-09-12T11:30:00+00:00,Craven Cottage,36,42,0,1,0,3,2,6,2,4,5,13,1,3,1,9,4,4,12,12,2,3,2,2,45%,55%,2,2,,,2,2,523,626,461,562,88%,90%
1,592151,2,2020-09-19T19:00:00+00:00,Emirates Stadium,42,48,1,1,2,1,3,3,1,6,7,14,3,5,5,7,2,7,11,13,7,5,5,2,62%,38%,0,1,,,2,1,669,383,577,314,86%,82%
2,592165,2,2020-09-28T19:00:00+00:00,Anfield,40,42,2,1,3,1,8,3,7,1,21,4,6,0,12,3,9,1,11,7,7,3,0,5,66%,34%,2,2,,,2,5,772,395,683,299,88%,76%
3,592171,2,2020-10-04T13:00:00+00:00,Emirates Stadium,42,62,0,0,2,1,5,2,0,2,6,6,1,2,5,1,1,5,3,9,2,4,0,3,64%,36%,0,1,,,1,3,699,373,623,295,89%,79%
4,592186,2,2020-10-17T16:30:00+00:00,Etihad Stadium,50,42,1,0,1,0,5,3,4,5,13,11,4,3,8,7,5,4,15,10,6,6,0,2,58%,42%,4,1,,,3,4,665,462,591,391,89%,85%
5,592191,0,2020-10-25T19:15:00+00:00,Emirates Stadium,42,46,0,0,0,1,4,2,4,3,12,6,4,1,9,2,3,4,13,9,9,3,1,0,56%,44%,3,5,,,1,4,575,453,495,369,86%,81%
6,592206,0,2020-11-01T16:30:00+00:00,Old Trafford,33,42,0,0,0,1,2,2,3,5,8,7,3,0,4,3,4,4,12,12,6,3,4,0,53%,47%,3,3,,,1,3,556,495,471,422,85%,85%
7,592211,0,2020-11-08T19:15:00+00:00,Emirates Stadium,42,66,0,1,0,3,2,6,8,0,13,15,3,9,8,14,5,1,11,13,3,8,1,1,58%,42%,,,,,3,2,538,378,458,293,85%,78%
8,592224,1,2020-11-22T16:30:00+00:00,Elland Road,63,42,0,0,0,0,4,2,16,6,25,9,5,1,15,5,10,4,9,8,5,3,0,2,66%,34%,3,0,0,1,2,4,610,310,519,220,85%,71%
9,592231,0,2020-11-29T19:15:00+00:00,Emirates Stadium,42,39,1,2,1,2,2,5,7,2,13,11,4,4,10,9,3,2,13,13,8,4,2,0,56%,44%,3,4,,,3,1,494,405,420,325,85%,80%
10,592248,2,2020-12-06T16:30:00+00:00,Tottenham Hotspur Stadium,47,42,2,0,2,0,3,2,2,7,6,11,1,2,3,6,3,5,16,12,3,9,,,30%,70%,1,2,,,2,1,288,632,194,548,67%,87%
11,592251,0,2020-12-13T19:15:00+00:00,Emirates Stadium,42,44,0,0,0,1,6,2,6,5,18,10,6,3,12,7,6,3,5,11,13,4,3,3,64%,36%,2,1,1,0,2,6,557,307,462,220,83%,72%
