,fixture_id,league_id,league,event_date,event_timestamp,firstHalfStart,secondHalfStart,round,status,statusShort,elapsed,venue,referee,homeTeam,awayTeam,goalsHomeTeam,goalsAwayTeam,score
0,65,2,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2018-08-10T19:00:00+00:00,1533927600,1533927600,1533931200,Regular Season - 1,Match Finished,FT,90,Old Trafford,"Andre Marriner, England","{'team_id': 33, 'team_name': 'Manchester United', 'logo': 'https://media.api-sports.io/football/teams/33.png'}","{'team_id': 46, 'team_name': 'Leicester', 'logo': 'https://media.api-sports.io/football/teams/46.png'}",2,1,"{'halftime': '1-0', 'fulltime': '2-1', 'extratime': None, 'penalty': None}"
1,83,2,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2018-08-19T15:00:00+00:00,1534690800,1534690800,1534694400,Regular Season - 2,Match Finished,FT,90,American Express Community Stadium,"Kevin Friend, England","{'team_id': 51, 'team_name': 'Brighton', 'logo': 'https://media.api-sports.io/football/teams/51.png'}","{'team_id': 33, 'team_name': 'Manchester United', 'logo': 'https://media.api-sports.io/football/teams/33.png'}",3,2,"{'halftime': '3-1', 'fulltime': '3-2', 'extratime': None, 'penalty': None}"
2,94,2,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2018-08-27T19:00:00+00:00,1535396400,1535396400,1535400000,Regular Season - 3,Match Finished,FT,90,Old Trafford,"Craig Pawson, England","{'team_id': 33, 'team_name': 'Manchester United', 'logo': 'https://media.api-sports.io/football/teams/33.png'}","{'team_id': 47, 'team_name': 'Tottenham', 'logo': 'https://media.api-sports.io/football/teams/47.png'}",0,3,"{'halftime': '0-0', 'fulltime': '0-3', 'extratime': None, 'penalty': None}"
3,97,2,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2018-09-02T15:00:00+00:00,1535900400,1535900400,1535904000,Regular Season - 4,Match Finished,FT,90,Turf Moor,"Jonathan Moss, England","{'team_id': 44, 'team_name': 'Burnley', 'logo': 'https://media.api-sports.io/football/teams/44.png'}","{'team_id': 33, 'team_name': 'Manchester United', 'logo': 'https://media.api-sports.io/football/teams/33.png'}",0,2,"{'halftime': '0-2', 'fulltime': '0-2', 'extratime': None, 'penalty': None}"
4,111,2,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2018-09-15T16:30:00+00:00,1537029000,1537029000,1537032600,Regular Season - 5,Match Finished,FT,90,Vicarage Road,"Mike Dean, England","{'team_id': 38, 'team_name': 'Watford', 'logo': 'https://media.api-sports.io/football/teams/38.png'}","{'team_id': 33, 'team_name': 'Manchester United', 'logo': 'https://media.api-sports.io/football/teams/33.png'}",1,2,"{'halftime': '0-2', 'fulltime': '1-2', 'extratime': None, 'penalty': None}"
5,121,2,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2018-09-22T14:00:00+00:00,1537624800,1537624800,1537628400,Regular Season - 6,Match Finished,FT,90,Old Trafford,"Kevin Friend, England","{'team_id': 33, 'team_name': 'Manchester United', 'logo': 'https://media.api-sports.io/football/teams/33.png'}","{'team_id': 39, 'team_name': 'Wolves', 'logo': 'https://media.api-sports.io/football/teams/39.png'}",1,1,"{'halftime': '1-0', 'fulltime': '1-1', 'extratime': None, 'penalty': None}"
6,125,2,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2018-09-29T11:30:00+00:00,1538220600,1538220600,1538224200,Regular Season - 7,Match Finished,FT,90,London Stadium,"Michael Oliver, England","{'team_id': 48, 'team_name': 'West Ham', 'logo': 'https://media.api-sports.io/football/teams/48.png'}","{'team_id': 33, 'team_name': 'Manchester United', 'logo': 'https://media.api-sports.io/football/teams/33.png'}",3,1,"{'halftime': '2-0', 'fulltime': '3-1', 'extratime': None, 'penalty': None}"
7,141,2,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2018-10-06T16:30:00+00:00,1538843400,1538843400,1538847000,Regular Season - 8,Match Finished,FT,90,Old Trafford,"Anthony Taylor, England","{'team_id': 33, 'team_name': 'Manchester United', 'logo': 'https://media.api-sports.io/football/teams/33.png'}","{'team_id': 34, 'team_name': 'Newcastle', 'logo': 'https://media.api-sports.io/football/teams/34.png'}",3,2,"{'halftime': '0-2', 'fulltime': '3-2', 'extratime': None, 'penalty': None}"
8,148,2,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2018-10-20T11:30:00+00:00,1540035000,1540035000,1540038600,Regular Season - 9,Match Finished,FT,90,Stamford Bridge,"Mike Dean, England","{'team_id': 49, 'team_name': 'Chelsea', 'logo': 'https://media.api-sports.io/football/teams/49.png'}","{'team_id': 33, 'team_name': 'Manchester United', 'logo': 'https://media.api-sports.io/football/teams/33.png'}",2,2,"{'halftime': '1-0', 'fulltime': '2-2', 'extratime': None, 'penalty': None}"
9,161,2,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2018-10-28T16:00:00+00:00,1540742400,1540742400,1540746000,Regular Season - 10,Match Finished,FT,90,Old Trafford,"Jonathan Moss, England","{'team_id': 33, 'team_name': 'Manchester United', 'logo': 'https://media.api-sports.io/football/teams/33.png'}","{'team_id': 45, 'team_name': 'Everton', 'logo': 'https://media.api-sports.io/football/teams/45.png'}",2,1,"{'halftime': '1-0', 'fulltime': '2-1', 'extratime': None, 'penalty': None}"
10,166,2,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2018-11-03T12:30:00+00:00,1541248200,1541248200,1541251800,Regular Season - 11,Match Finished,FT,90,Vitality Stadium,"Paul Tierney, England","{'team_id': 35, 'team_name': 'Bournemouth', 'logo': 'https://media.api-sports.io/football/teams/35.png'}","{'team_id': 33, 'team_name': 'Manchester United', 'logo': 'https://media.api-sports.io/football/teams/33.png'}",1,2,"{'halftime': '1-1', 'fulltime': '1-2', 'extratime': None, 'penalty': None}"
11,182,2,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2018-11-11T16:30:00+00:00,1541953800,1541953800,1541957400,Regular Season - 12,Match Finished,FT,90,Etihad Stadium,"Anthony Taylor, England","{'team_id': 50, 'team_name': 'Manchester City', 'logo': 'https://media.api-sports.io/football/teams/50.png'}","{'team_id': 33, 'team_name': 'Manchester United', 'logo': 'https://media.api-sports.io/football/teams/33.png'}",3,1,"{'halftime': '1-0', 'fulltime': '3-1', 'extratime': None, 'penalty': None}"
12,190,2,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2018-11-24T15:00:00+00:00,1543071600,1543071600,1543075200,Regular Season - 13,Match Finished,FT,90,Old Trafford,"Lee Mason, England","{'team_id': 33, 'team_name': 'Manchester United', 'logo': 'https://media.api-sports.io/football/teams/33.png'}","{'team_id': 52, 'team_name': 'Crystal Palace', 'logo': 'https://media.api-sports.io/football/teams/52.png'}",0,0,"{'halftime': '0-0', 'fulltime': '0-0', 'extratime': None, 'penalty': None}"
13,204,2,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2018-12-01T17:30:00+00:00,1543685400,1543685400,1543689000,Regular Season - 14,Match Finished,FT,90,St. Mary's Stadium,"Kevin Friend, England","{'team_id': 41, 'team_name': 'Southampton', 'logo': 'https://media.api-sports.io/football/teams/41.png'}","{'team_id': 33, 'team_name': 'Manchester United', 'logo': 'https://media.api-sports.io/football/teams/33.png'}",2,2,"{'halftime': '2-2', 'fulltime': '2-2', 'extratime': None, 'penalty': None}"
14,212,2,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2018-12-05T20:00:00+00:00,1544040000,1544040000,1544043600,Regular Season - 15,Match Finished,FT,90,Old Trafford,"Andre Marriner, England","{'team_id': 33, 'team_name': 'Manchester United', 'logo': 'https://media.api-sports.io/football/teams/33.png'}","{'team_id': 42, 'team_name': 'Arsenal', 'logo': 'https://media.api-sports.io/football/teams/42.png'}",2,2,"{'halftime': '1-1', 'fulltime': '2-2', 'extratime': None, 'penalty': None}"
15,222,2,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2018-12-08T15:00:00+00:00,1544281200,1544281200,1544284800,Regular Season - 16,Match Finished,FT,90,Old Trafford,"Lee Probert, England","{'team_id': 33, 'team_name': 'Manchester United', 'logo': 'https://media.api-sports.io/football/teams/33.png'}","{'team_id': 36, 'team_name': 'Fulham', 'logo': 'https://media.api-sports.io/football/teams/36.png'}",4,1,"{'halftime': '3-0', 'fulltime': '4-1', 'extratime': None, 'penalty': None}"
16,229,2,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2018-12-16T16:00:00+00:00,1544976000,1544976000,1544979600,Regular Season - 17,Match Finished,FT,90,Anfield,"Martin Atkinson, England","{'team_id': 40, 'team_name': 'Liverpool', 'logo': 'https://media.api-sports.io/football/teams/40.png'}","{'team_id': 33, 'team_name': 'Manchester United', 'logo': 'https://media.api-sports.io/football/teams/33.png'}",3,1,"{'halftime': '1-1', 'fulltime': '3-1', 'extratime': None, 'penalty': None}"
17,237,2,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2018-12-22T17:30:00+00:00,1545499800,1545499800,1545503400,Regular Season - 18,Match Finished,FT,90,Cardiff City Stadium,"Michael Oliver, England","{'team_id': 43, 'team_name': 'Cardiff', 'logo': 'https://media.api-sports.io/football/teams/43.png'}","{'team_id': 33, 'team_name': 'Manchester United', 'logo': 'https://media.api-sports.io/football/teams/33.png'}",1,5,"{'halftime': '1-3', 'fulltime': '1-5', 'extratime': None, 'penalty': None}"
18,251,2,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2018-12-26T15:00:00+00:00,1545836400,1545836400,1545840000,Regular Season - 19,Match Finished,FT,90,Old Trafford,"Jonathan Moss, England","{'team_id': 33, 'team_name': 'Manchester United', 'logo': 'https://media.api-sports.io/football/teams/33.png'}","{'team_id': 37, 'team_name': 'Huddersfield', 'logo': 'https://media.api-sports.io/football/teams/37.png'}",3,1,"{'halftime': '1-0', 'fulltime': '3-1', 'extratime': None, 'penalty': None}"
19,261,2,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2018-12-30T16:30:00+00:00,1546187400,1546187400,1546191000,Regular Season - 20,Match Finished,FT,90,"Old Trafford, Manchester","Lee Mason, England","{'team_id': 33, 'team_name': 'Manchester United', 'logo': 'https://media.api-sports.io/football/teams/33.png'}","{'team_id': 35, 'team_name': 'Bournemouth', 'logo': 'https://media.api-sports.io/football/teams/35.png'}",4,1,"{'halftime': '3-1', 'fulltime': '4-1', 'extratime': None, 'penalty': None}"
20,272,2,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2019-01-02T20:00:00+00:00,1546459200,1546459200,1546462800,Regular Season - 21,Match Finished,FT,90,St James' Park,"Andre Marriner, England","{'team_id': 34, 'team_name': 'Newcastle', 'logo': 'https://media.api-sports.io/football/teams/34.png'}","{'team_id': 33, 'team_name': 'Manchester United', 'logo': 'https://media.api-sports.io/football/teams/33.png'}",0,2,"{'halftime': '0-0', 'fulltime': '0-2', 'extratime': None, 'penalty': None}"
21,283,2,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2019-01-13T16:30:00+00:00,1547397000,1547397000,1547400600,Regular Season - 22,Match Finished,FT,90,Wembley Stadium,"Mike Dean, England","{'team_id': 47, 'team_name': 'Tottenham', 'logo': 'https://media.api-sports.io/football/teams/47.png'}","{'team_id': 33, 'team_name': 'Manchester United', 'logo': 'https://media.api-sports.io/football/teams/33.png'}",0,1,"{'halftime': '0-1', 'fulltime': '0-1', 'extratime': None, 'penalty': None}"
22,290,2,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2019-01-19T15:00:00+00:00,1547910000,1547910000,1547913600,Regular Season - 23,Match Finished,FT,90,Old Trafford,"Paul Tierney, England","{'team_id': 33, 'team_name': 'Manchester United', 'logo': 'https://media.api-sports.io/football/teams/33.png'}","{'team_id': 51, 'team_name': 'Brighton', 'logo': 'https://media.api-sports.io/football/teams/51.png'}",2,1,"{'halftime': '2-0', 'fulltime': '2-1', 'extratime': None, 'penalty': None}"
23,300,2,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2019-01-29T20:00:00+00:00,1548792000,1548792000,1548795600,Regular Season - 24,Match Finished,FT,90,Old Trafford,"Jonathan Moss, England","{'team_id': 33, 'team_name': 'Manchester United', 'logo': 'https://media.api-sports.io/football/teams/33.png'}","{'team_id': 44, 'team_name': 'Burnley', 'logo': 'https://media.api-sports.io/football/teams/44.png'}",2,2,"{'halftime': '0-0', 'fulltime': '2-2', 'extratime': None, 'penalty': None}"
24,311,2,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-sports.io/football/leagues/39.png', 'flag': 'https://media.api-sports.io/flags/gb.svg'}",2019-02-03T14:05:00+00:00,1549202700,1549202700,1549206300,Regular Season - 25,Match Finished,FT,90,King Power Stadium,"Mike Dean, England","{'team_id': 46, 'team_name': 'Leicester', 'logo': 'https://media.api-sports.io/football/teams/46.png'}","{'team_id': 33, 'team_name': 'Manchester United', 'logo': 'https://media.api-sports.io/football/teams/33.png'}",0,1,"{'halftime': '0-1', 'fulltime': '0-1', 'extratime': None, 'penalty': None}"
