,fixture_id,h_result,event_date,venue,h_team,a_team,h_halftime_score,a_haftime_score,h_fulltime_score,a_fulltime_score,h_shot_on_goal,a_shot_on_goal,h_shot_off_goal,a_shot_off_goal,h_total_shots,a_total_shots,h_blocked_shots,a_blocked_shots,h_shots_inside_box,a_shots_inside_box,h_shots_outside_box,a_shots_outside_box,h_fouls,a_fouls,h_corner_kicks,a_corner_kicks,h_offsides,a_offsides,h_ball_possession,a_ball_possession,h_yellow_cards,a_yellow_cards,h_red_cards,a_red_cards,h_goalkeeper_saves,a_goalkeeper_saves,h_total_passes,a_total_passes,h_accurate_passes,a_accurate_passes,h_pass_percentage,a_pass_percentage
26,326,1,2019-02-23T15:00:00+00:00,Vitality Stadium,35,39,1,0,1,1,3,2,5,5,10,10,2,3,9,6,1,4,10,15,9,8,1,3,44%,56%,4,5,,,1,2,370,468,271,352,73%,75%
27,337,2,2019-02-26T19:45:00+00:00,John Smith's Stadium,37,39,0,0,1,0,3,0,9,5,15,7,3,2,8,4,7,3,10,10,3,5,0,4,49%,51%,2,2,,,0,2,445,461,344,355,77%,77%
28,354,2,2019-03-02T15:00:00+00:00,Molineux Stadium,39,43,2,0,2,0,6,4,5,4,13,12,2,4,11,6,2,6,11,6,7,8,1,0,56%,44%,1,2,,,3,4,473,354,378,242,80%,68%
29,357,1,2019-03-10T14:05:00+00:00,Stamford Bridge,49,39,0,0,1,1,6,1,2,1,22,2,14,0,10,1,12,1,8,14,13,0,1,2,75%,25%,1,4,,,0,5,820,277,741,196,90%,71%
30,377,2,2019-03-30T15:00:00+00:00,Turf Moor,44,39,1,0,2,0,1,1,3,3,6,8,2,4,5,6,1,2,12,10,1,5,1,2,37%,63%,1,1,,,1,0,322,534,206,413,64%,77%
31,394,2,2019-04-02T18:45:00+00:00,Molineux Stadium,39,33,1,1,2,1,2,4,5,7,9,18,2,7,7,7,2,11,5,11,3,5,4,5,49%,51%,1,4,0,1,3,2,510,515,417,417,82%,81%
32,402,2,2019-04-13T14:00:00+00:00,St. Mary's Stadium,41,39,2,1,3,1,6,2,4,8,12,17,2,7,9,8,3,9,13,8,4,9,0,2,30%,70%,1,3,,,1,3,281,625,180,505,64%,81%
33,414,1,2019-04-20T14:00:00+00:00,Molineux Stadium,39,51,0,0,0,0,5,0,14,4,23,5,4,1,18,2,5,3,0,8,14,1,0,1,68%,32%,0,1,,,0,5,615,297,546,216,89%,73%
34,374,2,2019-04-24T18:45:00+00:00,Molineux Stadium,39,42,3,0,3,1,3,1,5,4,11,11,3,6,8,5,3,6,12,9,5,5,1,3,29%,71%,2,3,,,,,285,690,212,612,74%,89%
35,424,0,2019-04-27T14:00:00+00:00,Vicarage Road,38,39,0,1,1,2,1,4,5,3,10,11,4,4,5,8,5,3,10,11,4,5,3,5,56%,44%,3,2,,,1,0,495,386,410,290,83%,75%
36,434,2,2019-05-04T14:00:00+00:00,Molineux Stadium,39,36,0,0,1,0,6,2,9,3,19,6,4,1,12,3,7,3,10,15,7,1,1,0,39%,61%,1,3,,,2,5,376,601,285,518,76%,86%
37,440,2,2019-05-12T14:00:00+00:00,Anfield,40,39,1,0,2,0,5,2,5,4,13,7,3,1,9,7,4,0,3,11,4,1,3,1,59%,41%,0,2,,,2,3,603,427,509,324,84%,76%
