,fixture_id,h_result,event_date,venue,h_team,a_team,h_halftime_score,a_haftime_score,h_fulltime_score,a_fulltime_score,h_shot_on_goal,a_shot_on_goal,h_shot_off_goal,a_shot_off_goal,h_total_shots,a_total_shots,h_blocked_shots,a_blocked_shots,h_shots_inside_box,a_shots_inside_box,h_shots_outside_box,a_shots_outside_box,h_fouls,a_fouls,h_corner_kicks,a_corner_kicks,h_offsides,a_offsides,h_ball_possession,a_ball_possession,h_yellow_cards,a_yellow_cards,h_red_cards,a_red_cards,h_goalkeeper_saves,a_goalkeeper_saves,h_total_passes,a_total_passes,h_accurate_passes,a_accurate_passes,h_pass_percentage,a_pass_percentage
0,72,2,2018-08-12T12:30:00+00:00,Anfield,40,48,2,0,4,0,8,2,7,2,18,5,3,1,13,4,5,1,14,9,5,4,5,3,64%,36%,1,2,,,2,4,673,360,606,297,90%,83%
1,80,0,2018-08-18T14:00:00+00:00,London Stadium,48,35,1,0,1,2,5,5,3,3,11,12,3,4,6,8,5,4,14,10,6,4,,,61%,39%,6,2,,,3,4,494,321,399,246,81%,77%
2,86,2,2018-08-25T14:00:00+00:00,Emirates Stadium,42,48,1,1,3,1,10,5,2,5,17,13,5,3,9,6,8,7,16,13,7,2,3,3,61%,39%,1,3,,,4,9,544,341,461,257,85%,75%
3,101,0,2018-09-01T14:00:00+00:00,London Stadium,48,39,0,0,0,1,3,6,5,7,13,15,5,2,8,6,5,9,10,11,4,4,1,0,47%,53%,2,1,,,5,3,444,495,356,414,80%,84%
4,113,0,2018-09-16T15:00:00+00:00,Goodison Park,45,48,1,2,1,3,4,4,6,2,16,9,6,3,8,7,8,2,15,12,4,2,3,0,55%,45%,2,5,,,1,3,458,380,352,283,77%,74%
5,123,1,2018-09-23T12:30:00+00:00,London Stadium,48,49,0,0,0,0,1,6,4,6,6,17,1,5,3,12,3,5,11,9,1,8,2,3,28%,72%,2,1,,,6,1,297,758,221,664,74%,88%
6,125,2,2018-09-29T11:30:00+00:00,London Stadium,48,33,2,0,3,1,3,4,4,1,8,9,1,4,5,5,3,4,12,12,4,9,2,4,49%,51%,0,1,,,3,1,455,457,374,392,82%,86%
7,135,2,2018-10-05T19:00:00+00:00,American Express Community Stadium,51,48,1,0,1,0,4,4,4,7,9,17,1,6,6,11,3,6,12,8,2,9,5,1,35%,65%,3,2,,,4,3,282,514,192,431,68%,84%
8,153,0,2018-10-20T14:00:00+00:00,London Stadium,48,47,0,1,0,1,4,2,7,4,13,10,2,4,8,7,5,3,8,10,10,6,3,2,44%,56%,3,0,,,1,4,377,506,307,437,81%,86%
9,159,1,2018-10-27T16:30:00+00:00,King Power Stadium,46,48,0,1,1,1,7,3,11,6,21,11,3,2,13,8,8,3,17,5,8,0,7,1,64%,36%,1,1,0,1,2,7,552,327,457,227,83%,69%
10,173,2,2018-11-03T15:00:00+00:00,London Stadium,48,44,1,1,4,2,10,3,6,1,22,6,6,2,13,4,9,2,7,9,10,4,2,2,62%,38%,1,4,,,1,5,525,311,425,197,81%,63%
11,179,1,2018-11-10T15:00:00+00:00,"John Smith's Stadium, Huddersfield",37,48,1,0,1,1,7,5,7,4,15,12,1,3,6,8,9,4,9,8,5,6,7,3,43%,57%,1,1,0,0,2,6,354,448,257,345,73%,77%
12,193,0,2018-11-24T15:00:00+00:00,London Stadium,48,50,0,3,0,4,1,6,5,2,9,9,3,1,6,9,3,0,6,3,8,1,2,3,30%,70%,,,,,2,1,359,839,269,747,75%,89%
13,203,0,2018-12-01T15:00:00+00:00,St James' Park,34,48,0,1,0,3,4,4,7,3,16,7,5,0,7,7,9,0,10,10,7,3,3,3,58%,42%,3,3,,,1,4,492,358,405,250,82%,70%
14,210,2,2018-12-04T19:45:00+00:00,London Stadium,48,43,0,0,3,1,11,5,3,2,17,9,3,2,16,5,1,4,10,10,10,4,2,5,61%,39%,1,2,,,3,8,461,295,354,203,77%,69%
15,224,2,2018-12-08T15:00:00+00:00,London Stadium,48,52,0,1,3,2,6,4,5,2,13,8,2,2,9,5,4,3,10,8,5,3,2,0,48%,52%,1,2,,,2,3,430,474,348,376,81%,79%
16,227,0,2018-12-15T17:30:00+00:00,Craven Cottage,36,48,0,2,0,2,4,3,9,2,16,6,3,1,7,4,9,2,14,10,6,4,6,2,56%,44%,2,1,,,1,4,498,391,399,293,80%,75%
17,243,0,2018-12-22T15:00:00+00:00,London Stadium,48,38,0,1,0,2,7,5,5,1,18,11,6,5,11,7,7,4,9,11,10,4,4,2,51%,49%,3,2,,,3,7,381,380,291,278,76%,73%
18,252,0,2018-12-27T19:45:00+00:00,St. Mary's Stadium,41,48,0,0,1,2,5,5,3,6,11,16,3,5,7,9,4,7,10,3,4,6,4,2,45%,55%,2,0,,,3,4,409,487,314,376,77%,77%
19,256,2,2018-12-30T14:15:00+00:00,"Turf Moor, Burnley",44,48,2,0,2,0,5,4,9,2,17,11,3,5,14,8,3,3,15,11,5,5,4,1,43%,57%,1,4,0,0,4,3,338,453,248,340,73%,75%
20,273,1,2019-01-02T19:45:00+00:00,London Stadium,48,51,0,0,2,2,6,6,6,2,13,13,1,5,6,8,7,5,9,11,1,5,0,4,54%,46%,0,1,,,4,4,494,410,388,310,79%,76%
21,284,2,2019-01-12T12:30:00+00:00,London Stadium,48,42,0,0,1,0,3,2,7,8,11,11,1,1,7,6,4,5,7,10,7,3,5,3,41%,59%,0,2,,,3,2,380,555,307,479,81%,86%
22,286,2,2019-01-19T15:00:00+00:00,Vitality Stadium,35,48,0,0,2,0,4,1,5,6,10,9,1,2,5,4,5,5,6,10,2,3,4,3,38%,62%,0,1,,,1,3,359,582,274,485,76%,83%
23,299,2,2019-01-29T19:45:00+00:00,Molineux Stadium,39,48,0,0,3,0,9,0,4,3,20,4,7,1,13,0,7,4,8,10,5,1,2,0,54%,46%,4,1,,,0,6,477,400,381,298,80%,75%
24,314,1,2019-02-04T20:00:00+00:00,London Stadium,48,40,1,1,1,1,2,6,7,3,13,11,4,2,7,7,6,4,9,11,2,5,1,3,26%,74%,1,1,,,5,1,245,690,159,583,65%,84%
25,316,1,2019-02-09T15:00:00+00:00,Selhurst Park,52,48,0,1,1,1,5,4,10,0,25,6,10,2,17,4,8,2,12,9,10,4,4,1,57%,43%,3,0,,,3,4,482,371,396,276,82%,74%
26,334,2,2019-02-22T19:45:00+00:00,London Stadium,48,36,2,1,3,1,7,5,9,2,21,8,5,1,20,4,1,4,11,11,12,0,3,3,55%,45%,1,1,,,4,4,553,473,455,390,82%,82%
27,344,2,2019-02-27T20:00:00+00:00,Etihad Stadium,50,48,0,0,1,0,7,1,10,1,20,2,3,0,15,2,5,0,2,6,13,2,7,2,75%,25%,0,2,,,1,5,780,255,683,177,88%,69%
28,353,2,2019-03-02T17:30:00+00:00,London Stadium,48,34,2,0,2,0,4,2,3,6,10,17,3,9,7,9,3,8,8,14,1,6,1,3,55%,45%,3,4,,,2,2,538,422,447,335,83%,79%
29,356,2,2019-03-09T15:00:00+00:00,Cardiff City Stadium,43,48,1,0,2,0,7,2,6,5,16,9,3,2,11,5,5,4,7,12,7,5,2,1,29%,71%,2,1,,,2,5,226,565,146,456,65%,81%
30,373,2,2019-03-16T15:00:00+00:00,London Stadium,48,37,1,2,4,3,5,5,5,6,16,15,6,4,10,9,6,6,7,15,5,8,1,1,64%,36%,0,2,,,2,1,605,327,512,233,85%,71%
31,384,0,2019-03-30T17:30:00+00:00,London Stadium,48,45,0,2,0,2,1,9,2,4,3,17,0,4,0,14,3,3,7,14,4,9,2,3,49%,51%,1,1,,,7,1,420,431,329,340,78%,79%
32,386,2,2019-04-08T19:00:00+00:00,Stamford Bridge,49,48,1,0,2,0,7,2,6,3,16,9,3,4,12,6,4,3,8,7,7,4,3,1,54%,46%,2,1,,,2,5,485,406,411,311,85%,77%
33,401,2,2019-04-13T16:30:00+00:00,Old Trafford,33,48,1,0,2,1,4,4,5,6,14,18,5,8,9,11,5,7,14,5,3,11,3,3,42%,58%,1,1,,,3,2,373,519,288,416,77%,80%
34,413,1,2019-04-20T14:00:00+00:00,London Stadium,48,46,1,0,2,2,3,5,5,5,11,11,3,1,7,8,4,3,8,9,6,8,1,2,49%,51%,2,0,,,3,1,410,425,328,348,80%,82%
35,423,0,2019-04-27T11:30:00+00:00,Tottenham Hotspur Stadium,47,48,0,0,0,1,4,7,4,5,14,16,6,4,9,8,5,8,3,8,2,7,5,3,63%,37%,0,2,,,6,4,614,351,502,254,82%,72%
36,433,2,2019-05-04T14:00:00+00:00,London Stadium,48,41,1,0,3,0,6,1,6,3,17,11,5,7,8,7,9,4,2,11,2,7,3,1,56%,44%,1,1,,,1,3,520,384,421,293,81%,76%
37,444,0,2019-05-12T14:00:00+00:00,Vicarage Road,38,48,0,2,1,4,8,9,2,5,17,16,7,2,14,8,3,8,10,10,7,2,4,1,48%,52%,1,0,1,0,5,7,419,460,338,402,81%,87%
