,fixture_id,h_result,event_date,venue,h_team,a_team,h_halftime_score,a_haftime_score,h_fulltime_score,a_fulltime_score,h_shot_on_goal,a_shot_on_goal,h_shot_off_goal,a_shot_off_goal,h_total_shots,a_total_shots,h_blocked_shots,a_blocked_shots,h_shots_inside_box,a_shots_inside_box,h_shots_outside_box,a_shots_outside_box,h_fouls,a_fouls,h_corner_kicks,a_corner_kicks,h_offsides,a_offsides,h_ball_possession,a_ball_possession,h_yellow_cards,a_yellow_cards,h_red_cards,a_red_cards,h_goalkeeper_saves,a_goalkeeper_saves,h_total_passes,a_total_passes,h_accurate_passes,a_accurate_passes,h_pass_percentage,a_pass_percentage
0,66,0,2018-08-11T11:30:00+00:00,St James' Park,34,47,1,2,1,2,2,5,8,7,15,15,5,3,9,12,6,3,11,12,3,5,1,0,40%,60%,2,2,,,3,1,387,573,268,467,69%,82%
1,75,1,2018-08-18T11:30:00+00:00,Cardiff City Stadium,43,34,0,0,0,0,1,6,6,1,12,12,5,5,7,10,5,2,14,16,5,5,2,0,51%,49%,2,2,0,1,6,0,314,305,202,182,64%,60%
2,93,0,2018-08-26T15:00:00+00:00,St James' Park,34,49,0,0,1,2,2,3,2,7,6,15,2,5,2,10,4,5,16,8,4,5,2,2,18%,82%,3,1,,,2,1,200,913,131,839,66%,92%
3,102,2,2018-09-01T16:30:00+00:00,Etihad Stadium,50,34,1,1,2,1,8,2,9,1,24,3,7,0,16,2,8,1,5,13,4,0,2,1,78%,22%,,,,,1,6,767,217,688,137,90%,63%
4,110,0,2018-09-15T14:00:00+00:00,St James' Park,34,42,0,0,1,2,2,2,0,5,4,12,2,5,4,8,0,4,13,11,10,4,3,1,36%,64%,,,,,0,1,327,598,216,503,66%,84%
5,118,1,2018-09-22T14:00:00+00:00,Selhurst Park,52,34,0,0,0,0,4,3,7,3,16,6,5,0,9,4,7,2,8,11,9,5,2,1,61%,39%,1,1,,,3,4,481,299,378,205,79%,69%
6,130,0,2018-09-29T14:00:00+00:00,St James' Park,34,46,0,1,0,2,1,5,4,4,6,12,1,3,4,9,2,3,11,5,5,9,1,0,41%,59%,,,,,3,1,376,525,271,416,72%,79%
7,141,2,2018-10-06T16:30:00+00:00,Old Trafford,33,34,0,2,3,2,10,8,5,5,18,13,3,0,10,8,8,5,16,8,10,6,1,0,73%,27%,2,2,,,6,7,610,222,509,129,83%,58%
8,152,0,2018-10-20T14:00:00+00:00,St James' Park,34,51,0,1,0,1,6,2,12,4,27,8,9,2,13,5,14,3,13,17,10,2,1,1,68%,32%,0,2,,,1,6,504,247,414,151,82%,61%
9,162,1,2018-10-27T14:00:00+00:00,St. Mary's Stadium,41,34,0,0,0,0,4,0,13,4,22,6,5,2,14,3,8,3,9,12,7,2,1,3,50%,50%,0,1,,,0,4,405,414,302,297,75%,72%
10,172,2,2018-11-03T15:00:00+00:00,St James' Park,34,38,0,0,1,0,2,1,4,10,10,16,4,5,4,14,6,2,12,11,8,9,4,2,41%,59%,1,5,,,1,1,326,452,221,359,68%,79%
11,183,2,2018-11-10T15:00:00+00:00,"St James' Park, Newcastle upon Tyne",34,35,2,1,2,1,6,4,8,5,18,14,4,5,13,10,5,4,9,11,7,10,2,2,39%,61%,2,1,0,0,3,5,323,505,222,401,69%,79%
