,fixture_id,h_result,event_date,venue,h_team,a_team,h_halftime_score,a_haftime_score,h_fulltime_score,a_fulltime_score,h_shot_on_goal,a_shot_on_goal,h_shot_off_goal,a_shot_off_goal,h_total_shots,a_total_shots,h_blocked_shots,a_blocked_shots,h_shots_inside_box,a_shots_inside_box,h_shots_outside_box,a_shots_outside_box,h_fouls,a_fouls,h_corner_kicks,a_corner_kicks,h_offsides,a_offsides,h_ball_possession,a_ball_possession,h_yellow_cards,a_yellow_cards,h_red_cards,a_red_cards,h_goalkeeper_saves,a_goalkeeper_saves,h_total_passes,a_total_passes,h_accurate_passes,a_accurate_passes,h_pass_percentage,a_pass_percentage
0,66,0,2018-08-11T11:30:00+00:00,St James' Park,34,47,1,2,1,2,2,5,8,7,15,15,5,3,9,12,6,3,11,12,3,5,1,0,40%,60%,2,2,,,3,1,387,573,268,467,69%,82%
1,79,2,2018-08-18T14:00:00+00:00,Wembley Stadium,47,36,1,0,3,1,11,3,10,5,25,10,4,2,18,5,7,5,9,5,5,2,1,3,59%,41%,,,,,2,8,629,435,557,356,89%,82%
2,94,0,2018-08-27T19:00:00+00:00,Old Trafford,33,47,0,0,0,3,5,5,12,2,23,9,6,2,16,8,7,1,11,16,5,2,2,1,57%,43%,2,3,,,2,5,488,382,375,259,77%,68%
3,104,2,2018-09-02T15:00:00+00:00,Vicarage Road,38,47,0,0,2,1,3,2,3,7,7,11,1,2,4,5,3,6,9,8,3,10,2,2,34%,66%,2,1,,,2,1,289,532,187,420,65%,79%
4,105,0,2018-09-15T11:30:00+00:00,Wembley Stadium,47,40,0,1,1,2,3,10,5,5,11,17,3,2,7,14,4,3,17,16,5,4,3,2,60%,40%,,,,,8,2,549,356,443,267,81%,75%
5,122,0,2018-09-22T16:30:00+00:00,American Express Community Stadium,51,47,0,1,1,2,4,7,3,5,8,16,1,4,4,11,4,5,15,9,5,7,2,0,28%,72%,2,1,,,5,3,255,658,189,583,74%,89%
6,128,0,2018-09-29T14:00:00+00:00,John Smith's Stadium,37,47,0,2,0,2,5,6,3,4,9,10,1,0,4,10,5,0,17,16,3,0,1,1,52%,48%,2,2,,,4,5,420,388,308,282,73%,73%
7,143,2,2018-10-06T14:00:00+00:00,Wembley Stadium,47,43,1,0,1,0,7,6,6,2,19,8,6,0,13,5,6,3,7,11,6,2,0,3,75%,25%,3,1,0,1,5,5,685,222,590,138,86%,62%
8,153,0,2018-10-20T14:00:00+00:00,London Stadium,48,47,0,1,0,1,4,2,7,4,13,10,2,4,8,7,5,3,8,10,10,6,3,2,44%,56%,3,0,,,1,4,377,506,307,437,81%,86%
9,163,0,2018-10-29T20:00:00+00:00,Wembley Stadium,47,50,0,1,0,1,1,6,3,2,4,13,0,5,3,10,1,3,13,13,3,6,4,4,48%,52%,2,2,,,4,1,476,514,382,429,80%,83%
10,174,0,2018-11-03T19:45:00+00:00,Molineux Stadium,39,47,0,2,2,3,7,8,4,1,16,10,5,1,8,7,8,3,11,8,5,1,5,3,48%,52%,1,2,,,5,5,458,505,374,417,82%,83%
11,178,0,2018-11-10T17:30:00+00:00,"Selhurst Park, London",52,47,0,0,0,1,5,2,5,6,11,11,1,3,8,8,3,3,12,9,10,6,4,1,35%,65%,1,1,0,0,1,5,306,581,203,484,66%,83%
12,191,2,2018-11-24T17:30:00+00:00,Wembley Stadium,47,49,2,0,3,1,9,2,6,5,18,13,3,6,12,8,6,5,19,12,4,4,3,5,39%,61%,0,3,,,1,6,369,549,279,467,76%,85%
13,195,2,2018-12-02T14:05:00+00:00,Emirates Stadium,42,47,1,2,4,2,7,6,11,3,22,11,4,2,13,6,9,5,15,17,8,5,5,2,59%,41%,3,5,0,1,4,2,477,331,404,237,85%,72%
14,214,2,2018-12-05T20:00:00+00:00,Wembley Stadium,47,41,1,0,3,1,8,5,3,9,13,18,2,4,10,13,3,5,7,5,8,6,4,2,52%,48%,,,,,4,5,527,473,435,381,83%,81%
15,221,0,2018-12-08T19:45:00+00:00,King Power Stadium,46,47,0,1,0,2,3,2,5,4,11,7,3,1,3,4,8,3,12,7,6,5,3,1,42%,58%,3,1,,,0,3,410,578,327,466,80%,81%
16,232,2,2018-12-15T15:00:00+00:00,Wembley Stadium,47,44,0,0,1,0,3,0,6,2,15,4,6,2,10,3,5,1,7,8,8,3,2,1,70%,30%,0,2,,,0,2,623,264,530,162,85%,61%
17,239,0,2018-12-23T16:00:00+00:00,Goodison Park,45,47,1,3,2,6,3,8,5,7,10,17,2,2,6,11,4,6,13,9,2,1,4,2,41%,59%,0,2,,,2,1,412,605,313,503,76%,83%
18,253,2,2018-12-26T15:00:00+00:00,Wembley Stadium,47,35,3,0,5,0,7,4,2,6,10,14,1,4,5,11,5,3,5,8,3,4,1,3,56%,44%,2,1,,,4,2,599,449,521,365,87%,81%
19,263,0,2018-12-29T15:00:00+00:00,Wembley Stadium,47,39,1,0,1,3,3,4,4,4,10,11,3,3,1,9,9,2,7,7,6,7,0,4,60%,40%,3,2,,,1,2,664,413,587,330,88%,80%
20,267,0,2019-01-01T17:30:00+00:00,Cardiff City Stadium,43,47,0,3,0,3,3,4,2,6,5,13,0,3,3,9,2,4,6,6,5,3,6,2,26%,74%,1,0,,,1,3,290,823,216,747,74%,91%
21,283,0,2019-01-13T16:30:00+00:00,Wembley Stadium,47,33,0,1,0,1,11,8,6,3,21,13,4,2,12,9,9,4,8,8,7,4,4,1,61%,39%,1,2,,,7,11,567,363,475,268,84%,74%
22,287,0,2019-01-20T16:00:00+00:00,Craven Cottage,36,47,1,0,1,2,4,5,5,6,12,14,3,3,7,11,5,3,10,8,7,10,7,1,26%,74%,2,3,,,3,4,245,682,169,575,69%,84%
23,304,2,2019-01-30T20:00:00+00:00,Wembley Stadium,47,38,0,1,2,1,3,1,6,5,17,9,8,3,10,6,7,3,6,9,9,5,1,5,68%,32%,0,4,,,0,4,588,274,503,183,86%,67%
24,313,2,2019-02-02T12:30:00+00:00,Wembley Stadium,47,34,0,0,1,0,4,2,8,3,21,8,9,3,16,3,5,5,6,6,6,3,2,2,71%,29%,0,1,,,2,1,744,295,649,198,87%,67%
25,322,2,2019-02-10T13:30:00+00:00,Wembley Stadium,47,46,1,0,3,1,5,9,2,9,12,20,5,2,5,17,7,3,11,4,2,9,7,5,53%,47%,3,1,,,9,2,499,437,420,352,84%,81%
26,327,2,2019-02-23T12:30:00+00:00,Turf Moor,44,47,0,0,2,1,4,6,3,5,10,17,3,6,8,7,2,10,9,12,7,6,4,0,30%,70%,1,3,,,5,2,214,504,133,400,62%,79%
27,340,2,2019-02-27T20:00:00+00:00,Stamford Bridge,49,47,0,0,2,0,1,0,8,5,11,9,2,4,4,4,7,5,7,14,2,2,1,1,46%,54%,1,1,,,,,480,546,391,473,81%,87%
28,351,1,2019-03-02T12:30:00+00:00,Wembley Stadium,47,42,0,1,1,1,3,4,7,2,11,9,1,3,7,7,4,2,15,14,3,4,5,1,60%,40%,3,2,0,1,2,2,508,334,394,212,78%,63%
29,364,2,2019-03-09T15:00:00+00:00,St. Mary's Stadium,41,47,0,1,2,1,4,5,4,9,12,16,4,2,7,7,5,9,16,9,1,10,2,1,36%,64%,4,2,,,4,2,291,511,204,390,70%,76%
30,382,2,2019-03-31T15:30:00+00:00,Anfield,40,47,1,0,2,1,3,2,8,7,14,11,3,2,7,6,7,5,5,8,10,3,2,2,48%,52%,0,1,,,1,2,445,485,358,392,80%,81%
31,371,2,2019-04-03T18:45:00+00:00,Tottenham Hotspur Stadium,47,52,0,0,2,0,10,1,9,4,26,5,7,0,15,3,11,2,8,5,8,2,0,4,65%,35%,1,0,,,1,8,687,364,595,278,87%,76%
32,403,2,2019-04-13T11:30:00+00:00,Tottenham Hotspur Stadium,47,37,2,0,4,0,5,1,8,5,22,7,9,1,16,5,6,2,10,12,4,2,1,0,70%,30%,2,2,,,1,1,738,305,643,222,87%,73%
33,411,2,2019-04-20T11:30:00+00:00,Etihad Stadium,50,47,1,0,1,0,4,4,6,3,15,10,5,3,10,7,5,3,11,11,4,4,2,2,60%,40%,1,2,,,4,3,582,379,509,284,87%,75%
34,392,2,2019-04-23T18:45:00+00:00,Tottenham Hotspur Stadium,47,51,0,0,1,0,5,1,12,4,29,6,12,1,8,3,21,3,7,13,6,3,2,1,78%,22%,1,2,,,1,4,713,194,624,101,88%,52%
35,423,0,2019-04-27T11:30:00+00:00,Tottenham Hotspur Stadium,47,48,0,0,0,1,4,7,4,5,14,16,6,4,9,8,5,8,3,8,2,7,5,3,63%,37%,0,2,,,6,4,614,351,502,254,82%,72%
36,426,2,2019-05-04T11:30:00+00:00,Vitality Stadium,35,47,0,0,1,0,6,5,7,3,20,11,7,3,15,5,5,6,11,12,10,6,1,3,53%,47%,1,5,0,2,5,5,439,404,365,320,83%,79%
37,443,1,2019-05-12T14:00:00+00:00,Tottenham Hotspur Stadium,47,45,1,0,2,2,3,9,5,3,11,16,3,4,4,14,7,2,10,13,7,4,2,1,55%,45%,0,2,,,7,1,543,436,449,355,83%,81%
