,fixture_id,h_result,event_date,venue,h_team,a_team,h_halftime_score,a_haftime_score,h_fulltime_score,a_fulltime_score,h_shot_on_goal,a_shot_on_goal,h_shot_off_goal,a_shot_off_goal,h_total_shots,a_total_shots,h_blocked_shots,a_blocked_shots,h_shots_inside_box,a_shots_inside_box,h_shots_outside_box,a_shots_outside_box,h_fouls,a_fouls,h_corner_kicks,a_corner_kicks,h_offsides,a_offsides,h_ball_possession,a_ball_possession,h_yellow_cards,a_yellow_cards,h_red_cards,a_red_cards,h_goalkeeper_saves,a_goalkeeper_saves,h_total_passes,a_total_passes,h_accurate_passes,a_accurate_passes,h_pass_percentage,a_pass_percentage
0,73,1,2018-08-12T12:30:00+00:00,St. Mary's Stadium,41,44,0,0,0,0,3,6,6,6,18,16,9,4,9,10,9,6,10,9,8,5,2,5,47%,53%,0,1,,,6,3,369,408,280,311,76%,76%
1,77,2,2018-08-18T14:00:00+00:00,Goodison Park,45,41,2,0,2,1,7,4,3,6,13,15,3,5,9,9,4,6,8,20,2,5,2,3,58%,42%,0,5,,,3,5,423,299,313,185,74%,62%
2,90,0,2018-08-25T14:00:00+00:00,St. Mary's Stadium,41,46,0,0,1,2,5,5,4,3,11,8,2,0,5,5,6,3,13,11,10,3,1,0,51%,49%,3,1,1,0,3,4,447,425,373,352,83%,83%
3,99,0,2018-09-01T14:00:00+00:00,Selhurst Park,52,41,0,0,0,2,6,6,7,6,20,19,7,7,13,11,7,8,11,12,7,4,0,1,50%,50%,1,1,,,5,6,432,423,338,326,78%,77%
4,114,1,2018-09-17T19:00:00+00:00,St. Mary's Stadium,41,51,1,0,2,2,5,4,6,5,14,12,3,3,8,8,6,4,10,13,1,4,2,2,51%,49%,2,3,,,2,2,468,442,369,337,79%,76%
5,120,2,2018-09-22T14:00:00+00:00,Anfield,40,41,3,0,3,0,4,1,5,1,12,7,3,5,9,6,3,1,7,10,5,4,4,1,60%,40%,0,2,,,1,1,750,479,648,388,86%,81%
6,131,2,2018-09-29T14:00:00+00:00,Molineux Stadium,39,41,0,0,2,0,6,6,6,4,14,17,2,7,10,7,4,10,11,7,8,6,0,2,48%,52%,3,1,,,6,4,425,444,352,365,83%,82%
7,142,0,2018-10-07T13:15:00+00:00,St. Mary's Stadium,41,49,0,1,0,3,6,6,6,3,15,21,3,12,9,16,6,5,13,11,4,12,,,34%,66%,6,0,,,3,6,346,651,273,575,79%,88%
8,146,1,2018-10-20T14:00:00+00:00,Vitality Stadium,35,41,0,0,0,0,2,4,5,2,9,8,2,2,9,2,0,6,11,14,6,4,0,4,57%,43%,1,2,,,4,2,458,346,350,250,76%,72%
9,162,1,2018-10-27T14:00:00+00:00,St. Mary's Stadium,41,34,0,0,0,0,4,0,13,4,22,6,5,2,14,3,8,3,9,12,7,2,1,3,50%,50%,0,1,,,0,4,405,414,302,297,75%,72%
