,fixture_id,h_result,event_date,venue,h_team,a_team,h_halftime_score,a_haftime_score,h_fulltime_score,a_fulltime_score,h_shot_on_goal,a_shot_on_goal,h_shot_off_goal,a_shot_off_goal,h_total_shots,a_total_shots,h_blocked_shots,a_blocked_shots,h_shots_inside_box,a_shots_inside_box,h_shots_outside_box,a_shots_outside_box,h_fouls,a_fouls,h_corner_kicks,a_corner_kicks,h_offsides,a_offsides,h_ball_possession,a_ball_possession,h_yellow_cards,a_yellow_cards,h_red_cards,a_red_cards,h_goalkeeper_saves,a_goalkeeper_saves,h_total_passes,a_total_passes,h_accurate_passes,a_accurate_passes,h_pass_percentage,a_pass_percentage
0,592152,2,2020-09-21T17:00:00+00:00,Villa Park,66,62,0,0,1,0,2,1,11,2,18,4,5,1,11,3,7,1,12,13,10,4,1,0,71%,29%,3,1,0,1,1,1,553,221,486,131,88%,59%
1,592164,0,2020-09-28T16:45:00+00:00,Craven Cottage,36,66,0,2,0,3,3,5,9,4,16,12,4,3,11,10,5,2,18,14,5,3,0,3,65%,35%,6,3,,,2,2,538,302,461,213,86%,71%
2,592172,2,2020-10-04T18:15:00+00:00,Villa Park,66,40,4,1,7,2,11,8,4,1,18,14,3,5,13,10,5,4,7,10,2,7,2,1,30%,70%,2,1,,,6,4,285,650,194,554,68%,85%
3,592185,0,2020-10-18T18:15:00+00:00,King Power Stadium,46,66,0,0,0,1,5,4,2,5,11,10,4,1,6,5,5,5,18,18,2,7,2,3,50%,50%,4,3,,,3,5,417,397,313,303,75%,76%
4,592192,0,2020-10-23T19:00:00+00:00,Villa Park,66,63,0,0,0,3,4,9,5,13,12,27,3,5,7,20,5,7,14,17,6,5,,,40%,60%,2,2,,,6,3,305,445,217,368,71%,83%
5,592201,0,2020-11-01T12:00:00+00:00,Villa Park,66,41,0,3,3,4,10,4,2,4,19,9,7,1,14,4,5,5,12,17,11,1,2,2,56%,44%,1,2,,,0,7,367,304,275,211,75%,69%
6,592211,0,2020-11-08T19:15:00+00:00,Emirates Stadium,42,66,0,1,0,3,2,6,8,0,13,15,3,9,8,14,5,1,11,13,3,8,1,1,58%,42%,,,,,3,2,538,378,458,293,85%,78%
7,592221,0,2020-11-21T15:00:00+00:00,Villa Park,66,51,0,1,1,2,4,3,6,3,15,7,5,1,8,6,7,1,5,18,12,3,2,0,55%,45%,2,3,0,1,1,3,457,385,381,313,83%,81%
8,592240,2,2020-11-30T20:00:00+00:00,London Stadium,48,66,1,1,2,1,2,6,1,7,6,16,3,3,4,10,2,6,20,7,3,7,1,3,34%,66%,1,1,,,5,0,272,518,173,432,64%,83%
9,592260,0,2020-12-12T12:30:00+00:00,Molineux Stadium,39,66,0,0,0,1,7,2,4,6,16,13,5,5,10,8,6,5,23,15,5,8,0,2,50%,50%,4,7,1,1,1,7,348,331,267,253,77%,76%
10,592262,1,2020-12-17T18:00:00+00:00,Villa Park,66,44,0,0,0,0,7,4,11,2,27,6,9,0,18,3,9,3,17,19,10,1,1,2,59%,41%,1,1,,,4,6,388,273,283,166,73%,61%
11,592280,0,2020-12-20T19:15:00+00:00,The Hawthorns,60,66,0,1,0,3,1,10,0,6,1,19,0,3,0,11,1,8,14,8,1,7,1,4,32%,68%,1,2,1,0,7,1,282,576,190,493,67%,86%
12,592282,2,2020-12-26T15:00:00+00:00,Villa Park,66,52,1,0,3,0,10,6,6,6,21,13,5,1,18,6,3,7,18,16,4,4,1,2,38%,62%,3,4,1,0,6,7,298,475,214,388,72%,82%
13,592293,1,2020-12-28T17:30:00+00:00,Stamford Bridge,49,66,1,0,1,1,5,2,7,5,16,10,4,3,10,7,6,3,16,3,11,4,1,1,63%,37%,3,1,,,1,4,550,314,454,226,83%,72%
14,592306,2,2021-01-01T20:00:00+00:00,Old Trafford,33,66,1,0,2,1,9,5,5,6,19,15,5,4,12,12,7,3,22,10,5,10,1,1,48%,52%,4,0,,,4,7,407,417,337,332,83%,80%
15,592312,2,2021-01-13T20:15:00+00:00,Villa Park,66,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,592322,2,2021-01-17T12:00:00+00:00,Villa Park,66,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,592145,2,2021-01-20T18:00:00+00:00,Etihad Stadium,50,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,592241,2,2021-01-23T20:00:00+00:00,Villa Park,66,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,592332,2,2021-01-27T18:00:00+00:00,Turf Moor,44,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,592348,2,2021-01-30T20:00:00+00:00,St. Mary's Stadium,41,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,592351,2,2021-02-02T19:45:00+00:00,Villa Park,66,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,592361,2,2021-02-06T15:00:00+00:00,Villa Park,66,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,592727,2,2021-02-13T15:00:00+00:00,The American Express Community Stadium,51,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,592737,2,2021-02-20T15:00:00+00:00,Villa Park,66,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,592749,2,2021-02-27T15:00:00+00:00,Elland Road,63,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,592756,2,2021-03-06T15:00:00+00:00,Villa Park,66,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,592773,2,2021-03-13T15:00:00+00:00,St. James' Park,34,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
