,h_shot_on_goal,a_shot_on_goal,h_shot_off_goal,a_shot_off_goal,h_total_shots,a_total_shots,h_blocked_shots,a_blocked_shots,h_shots_inside_box,a_shots_inside_box,h_shots_outside_box,a_shots_outside_box,h_fouls,a_fouls,h_corner_kicks,a_corner_kicks,h_offsides,a_offsides,h_ball_possession,a_ball_possession,h_yellow_cards,a_yellow_cards,h_red_cards,a_red_cards,h_goalkeeper_saves,a_goalkeeper_saves,h_total_passes,a_total_passes,h_accurate_passes,a_accurate_passes,h_pass_percentage,a_pass_percentage
594,11.0,3.0,7.0,5.0,22.0,9.0,4.0,1.0,12.0,3.0,10.0,6.0,10.0,12.0,5.0,1.0,5.0,0.0,57.0,43.0,1.0,0.0,0.0,0.0,3.0,9.0,587.0,426.0,496.0,327.0,84.0,77.0
595,7.0,1.0,5.0,1.0,20.0,3.0,8.0,1.0,13.0,2.0,7.0,1.0,9.0,11.0,15.0,2.0,3.0,0.0,68.0,32.0,3.0,4.0,0.0,1.0,0.0,6.0,620.0,294.0,539.0,219.0,87.0,74.0
596,3.0,6.0,4.0,4.0,10.0,14.0,3.0,4.0,9.0,9.0,1.0,5.0,9.0,8.0,8.0,3.0,0.0,1.0,63.0,37.0,1.0,1.0,0.0,0.0,3.0,2.0,555.0,326.0,460.0,239.0,83.0,73.0
597,3.0,1.0,8.0,1.0,18.0,3.0,7.0,1.0,9.0,1.0,9.0,2.0,15.0,13.0,6.0,1.0,0.0,0.0,74.0,26.0,3.0,3.0,0.0,0.0,1.0,3.0,761.0,261.0,672.0,166.0,88.0,64.0
598,3.0,4.0,8.0,2.0,18.0,11.0,7.0,5.0,10.0,6.0,8.0,5.0,10.0,18.0,6.0,5.0,3.0,3.0,61.0,39.0,1.0,4.0,0.0,1.0,3.0,2.0,576.0,370.0,494.0,283.0,86.0,76.0
599,4.0,9.0,3.0,5.0,9.0,18.0,2.0,4.0,3.0,6.0,6.0,12.0,14.0,20.0,4.0,5.0,2.0,2.0,29.0,71.0,1.0,5.0,1.0,0.0,6.0,4.0,237.0,582.0,158.0,506.0,67.0,87.0
600,3.0,0.0,6.0,4.0,9.0,5.0,0.0,1.0,4.0,3.0,5.0,2.0,16.0,20.0,1.0,3.0,1.0,1.0,46.0,54.0,3.0,3.0,0.0,0.0,0.0,1.0,416.0,479.0,320.0,379.0,77.0,79.0
601,0.0,6.0,4.0,3.0,8.0,12.0,4.0,3.0,4.0,7.0,4.0,5.0,17.0,16.0,3.0,3.0,3.0,1.0,45.0,55.0,2.0,1.0,0.0,0.0,4.0,0.0,385.0,471.0,274.0,369.0,71.0,78.0
602,6.0,1.0,8.0,1.0,19.0,3.0,5.0,1.0,8.0,2.0,11.0,1.0,10.0,8.0,7.0,4.0,2.0,1.0,69.0,31.0,1.0,1.0,0.0,1.0,1.0,6.0,643.0,288.0,556.0,199.0,86.0,69.0
603,6.0,4.0,5.0,5.0,12.0,12.0,1.0,3.0,8.0,8.0,4.0,4.0,11.0,13.0,5.0,2.0,1.0,2.0,55.0,45.0,2.0,2.0,0.0,0.0,3.0,5.0,519.0,425.0,438.0,345.0,84.0,81.0
604,4.0,4.0,1.0,4.0,9.0,10.0,4.0,2.0,5.0,5.0,4.0,5.0,14.0,10.0,5.0,9.0,2.0,4.0,50.0,50.0,1.0,0.0,0.0,0.0,4.0,2.0,524.0,530.0,454.0,452.0,87.0,85.0
605,7.0,2.0,5.0,6.0,14.0,8.0,2.0,0.0,10.0,5.0,4.0,3.0,14.0,15.0,8.0,3.0,2.0,1.0,60.0,40.0,1.0,2.0,0.0,0.0,1.0,4.0,530.0,356.0,432.0,272.0,82.0,76.0
606,6.0,1.0,7.0,8.0,17.0,11.0,4.0,2.0,10.0,3.0,7.0,8.0,7.0,10.0,7.0,3.0,0.0,3.0,52.0,48.0,2.0,1.0,0.0,0.0,1.0,6.0,484.0,450.0,395.0,371.0,82.0,82.0
607,2.0,1.0,3.0,2.0,9.0,6.0,4.0,3.0,6.0,2.0,3.0,4.0,16.0,10.0,3.0,6.0,0.0,1.0,58.0,42.0,2.0,0.0,0.0,0.0,1.0,0.0,542.0,360.0,478.0,294.0,88.0,82.0
608,6.0,4.0,4.0,4.0,12.0,13.0,2.0,5.0,6.0,8.0,6.0,5.0,10.0,14.0,5.0,6.0,5.0,0.0,42.0,58.0,0.0,0.0,0.0,0.0,3.0,5.0,361.0,483.0,262.0,384.0,73.0,80.0
609,4.0,7.0,5.0,5.0,11.0,13.0,2.0,1.0,8.0,10.0,3.0,3.0,16.0,10.0,7.0,4.0,0.0,1.0,33.0,67.0,3.0,1.0,0.0,0.0,5.0,3.0,283.0,580.0,174.0,486.0,61.0,84.0
610,9.0,1.0,7.0,4.0,21.0,8.0,5.0,3.0,10.0,1.0,12.0,7.0,14.0,11.0,9.0,2.0,3.0,1.0,54.0,46.0,2.0,1.0,0.0,0.0,1.0,8.0,482.0,395.0,400.0,308.0,83.0,78.0
611,2.0,9.0,1.0,8.0,11.0,20.0,8.0,3.0,7.0,15.0,4.0,5.0,11.0,8.0,5.0,4.0,0.0,1.0,33.0,67.0,1.0,1.0,0.0,0.0,6.0,2.0,283.0,569.0,209.0,507.0,74.0,89.0
