StatID,TeamID,PlayerID,SeasonType,Season,Name,Team,Position,Started,Games,FantasyPoints,Minutes,Seconds,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,FantasyPointsFanDuel,FantasyPointsDraftKings,PlusMinus,DoubleDoubles,TripleDoubles
792764,22,20000725,1,2020,Luc Richard Mbah a Moute,HOU,PF,0,3,10.40,24,36,2.00,5.00,40.0,2.00,3.00,66.7,0.00,2.00,0,1.00,2.00,50.0,1.00,1.00,2.00,0.00,2.00,0.00,1.00,0.00,5.00,12.40,11.00,-7.00,0.00,0.00
710869,22,20000856,1,2020,P.J. Tucker,HOU,SF,72,72,1397.70,2467,13,177.00,426.00,41.5,70.00,127.00,55.1,107.00,299.00,35.8,39.00,48.00,81.2,112.00,364.00,476.00,115.00,77.00,36.00,72.00,229.00,500.00,1510.70,1520.00,155.00,6.00,0.00
710921,22,20000864,1,2020,Ben McLemore,HOU,SG,23,71,1062.40,1619,29,242.00,545.00,44.4,61.00,93.00,65.6,181.00,452.00,40.0,50.00,67.00,74.6,21.00,136.00,157.00,58.00,45.00,16.00,50.00,155.00,715.00,1123.40,1187.25,187.00,1.00,0.00
710882,22,20000877,1,2020,Russell Westbrook,HOU,PG,57,57,2666.70,2049,11,604.00,1281.00,47.2,549.00,1068.00,51.4,55.00,213.00,25.8,290.00,380.00,76.3,100.00,351.00,451.00,401.00,93.00,20.00,255.00,200.00,1553.00,2779.70,2889.25,124.00,22.00,8.00
709624,22,20000903,1,2020,Robert Covington,HOU,SF,68,70,1870.60,2136,47,305.00,723.00,42.2,144.00,243.00,59.3,161.00,480.00,33.5,99.00,124.00,79.8,63.00,400.00,463.00,88.00,114.00,94.00,103.00,220.00,870.00,2078.60,2036.25,34.00,7.00,0.00
710901,22,20001479,1,2020,Michael Frazier II,HOU,SG,0,13,41.00,144,34,7.00,29.00,24.1,3.00,6.00,50.0,4.00,23.00,17.4,9.00,14.00,64.3,1.00,9.00,10.00,2.00,2.00,0.00,5.00,22.00,27.00,43.00,46.00,-58.00,0.00,0.00
710889,22,20001747,1,2020,Danuel House,HOU,PF,52,63,1257.90,1912,39,230.00,539.00,42.7,101.00,184.00,54.9,129.00,355.00,36.3,73.00,90.00,81.1,57.00,210.00,267.00,85.00,67.00,34.00,54.00,132.00,662.00,1358.90,1365.75,123.00,2.00,0.00
710912,22,20001874,1,2020,Isaiah Hartenstein,HOU,PF,2,23,268.00,266,2,44.00,67.00,65.7,44.00,62.00,71.0,0.00,5.00,0,19.00,28.00,67.9,29.00,61.00,90.00,18.00,9.00,12.00,16.00,41.00,107.00,289.00,283.50,40.00,2.00,0.00
710867,22,20002353,1,2020,Chris Clemons,HOU,PG,0,33,248.50,290,31,57.00,142.00,40.1,20.00,35.00,57.1,37.00,107.00,34.6,10.00,11.00,90.9,4.00,26.00,30.00,27.00,9.00,6.00,19.00,26.00,161.00,263.50,278.00,-62.00,0.00,0.00
748955,22,20002425,1,2020,William Howard,HOU,PF,0,2,2.90,13,16,0.00,4.00,0,0.00,0.00,0,0.00,4.00,0,0.00,0.00,0,0.00,2.00,2.00,1.00,0.00,0.00,1.00,1.00,0.00,2.90,3.50,-16.00,0.00,0.00
