fixture_id,event_date,home_team,away_team,home_team_id,away_team_id,h_halftime_score,a_halftime_score,h_fulltime_score,a_fulltime_score
592308,2021-01-04T20:00:00+00:00,Southampton,Liverpool,41,40,1,0,1,0
592316,2021-01-12T18:00:00+00:00,Sheffield Utd,Newcastle,62,34,0,0,1,0
592141,2021-01-12T20:15:00+00:00,Burnley,Manchester United,44,33,0,0,0,1
592318,2021-01-12T20:15:00+00:00,Wolves,Everton,39,45,1,1,1,2
592320,2021-01-13T18:00:00+00:00,Manchester City,Brighton,50,51,1,0,1,0
592299,2021-01-13T20:15:00+00:00,Tottenham,Fulham,47,36,1,0,1,1
592312,2021-01-13T20:15:00+00:00,Aston Villa,Tottenham,66,47,,,,
592311,2021-01-14T20:00:00+00:00,Arsenal,Crystal Palace,42,52,0,0,0,0
592330,2021-01-16T12:30:00+00:00,Wolves,West Brom,39,60,,,,
592324,2021-01-16T15:00:00+00:00,Leeds,Brighton,63,51,,,,
592329,2021-01-16T15:00:00+00:00,West Ham,Burnley,48,44,,,,
592323,2021-01-16T17:30:00+00:00,Fulham,Chelsea,36,49,,,,
592325,2021-01-16T20:00:00+00:00,Leicester,Southampton,46,41,,,,
592322,2021-01-17T12:00:00+00:00,Aston Villa,Everton,66,45,,,,
592328,2021-01-17T14:00:00+00:00,Sheffield Utd,Tottenham,62,47,,,,
592326,2021-01-17T16:30:00+00:00,Liverpool,Manchester United,40,33,,,,
592327,2021-01-17T19:15:00+00:00,Manchester City,Crystal Palace,50,52,,,,
592321,2021-01-18T20:00:00+00:00,Arsenal,Newcastle,42,34,,,,
592317,2021-01-19T18:00:00+00:00,West Ham,West Brom,48,60,,,,
592315,2021-01-19T20:15:00+00:00,Leicester,Chelsea,46,49,,,,
592314,2021-01-20T18:00:00+00:00,Leeds,Southampton,63,41,,,,
592145,2021-01-20T20:15:00+00:00,Manchester City,Aston Villa,50,66,,,,
592313,2021-01-20T20:15:00+00:00,Fulham,Manchester United,36,33,,,,
592319,2021-01-21T20:00:00+00:00,Liverpool,Burnley,40,44,,,,
