,fixture_id,event_date,home_team,away_team,home_team_id,away_team_id,h_halftime_score,a_halftime_score,h_fulltime_score,a_fulltime_score
61,643640,2020-12-05T00:30:00+00:00,Banfield,Rosario Central,449,437,1,1,1,1
62,643635,2020-12-05T20:10:00+00:00,Arsenal Sarandi,Racing Club,459,436,1,0,1,0
63,643636,2020-12-05T20:10:00+00:00,Union Santa Fe,Atletico Tucuman,441,455,1,2,3,5
64,643641,2020-12-05T22:20:00+00:00,Gimnasia L.P.,Huracan,434,445,0,0,0,0
65,643642,2020-12-05T22:20:00+00:00,Patronato,Velez Sarsfield,444,438,0,0,0,0
66,643639,2020-12-06T00:30:00+00:00,River Plate,Godoy Cruz,435,439,2,0,3,1
67,643637,2020-12-06T22:10:00+00:00,Independiente,Defensa Y Justicia,453,442,1,0,1,0
68,643643,2020-12-07T00:30:00+00:00,Newells Old Boys,Lanus,457,446,1,1,3,1
69,643644,2020-12-07T00:30:00+00:00,Talleres Cordoba,Boca Juniors,456,451,0,0,0,0
70,643645,2020-12-07T22:10:00+00:00,Argentinos JRS,Estudiantes L.P.,458,450,1,0,1,0
71,643646,2020-12-07T22:10:00+00:00,San Lorenzo,Aldosivi,460,463,0,0,0,0
72,654091,2020-12-12T00:10:00+00:00,Velez Sarsfield,Racing Club,438,436,0,0,2,1
73,650217,2020-12-12T20:10:00+00:00,Colon Santa Fe,Gimnasia L.P.,448,434,0,1,0,2
74,654092,2020-12-12T20:10:00+00:00,Newells Old Boys,Estudiantes L.P.,457,450,1,0,1,0
75,650218,2020-12-12T22:20:00+00:00,Boca Juniors,Arsenal Sarandi,451,459,1,0,1,1
76,650219,2020-12-13T00:30:00+00:00,San Lorenzo,Talleres Cordoba,460,456,0,1,0,2
77,654093,2020-12-13T20:10:00+00:00,Union Santa Fe,Defensa Y Justicia,441,442,1,2,1,3
78,654094,2020-12-13T20:10:00+00:00,Aldosivi,Lanus,463,446,0,1,1,2
79,650220,2020-12-13T22:20:00+00:00,River Plate,Argentinos JRS,435,458,1,0,1,1
