fixture_id,event_date,home_team,away_team,home_team_id,away_team_id,h_halftime_score,a_halftime_score,h_fulltime_score,a_fulltime_score
585180,2021-01-04T19:30:00+00:00,Fortuna Dusseldorf,SC Paderborn 07,158,185,1,0,2,1
585170,2021-01-06T17:30:00+00:00,FC Wurzburger Kickers,FC St. Pauli,784,186,1,0,1,1
585191,2021-01-08T17:30:00+00:00,SV Sandhausen,FC Heidenheim,189,180,2,0,4,0
585195,2021-01-08T17:30:00+00:00,Karlsruher SC,SpVgg Greuther Furth,785,178,2,2,3,2
585193,2021-01-09T12:00:00+00:00,VfL Osnabruck,FC Wurzburger Kickers,1324,784,1,0,2,3
585194,2021-01-09T12:00:00+00:00,FC St. Pauli,Holstein Kiel,186,191,0,0,1,1
585196,2021-01-09T12:00:00+00:00,FC Nurnberg,Hamburger SV,171,175,1,1,1,1
585189,2021-01-10T12:30:00+00:00,SC Paderborn 07,Erzgebirge AUE,185,190,1,1,2,1
585190,2021-01-10T12:30:00+00:00,SV Darmstadt 98,Hannover 96,181,166,0,1,1,2
585192,2021-01-10T12:30:00+00:00,Jahn Regensburg,VfL BOCHUM,177,176,0,0,0,2
585197,2021-01-11T19:30:00+00:00,Eintracht Braunschweig,Fortuna Dusseldorf,744,158,0,0,0,0
585203,2021-01-15T17:30:00+00:00,SpVgg Greuther Furth,SC Paderborn 07,178,185,,,,
585206,2021-01-15T17:30:00+00:00,FC Wurzburger Kickers,Eintracht Braunschweig,784,744,,,,
585200,2021-01-16T12:00:00+00:00,Hannover 96,FC St. Pauli,166,186,,,,
585201,2021-01-16T12:00:00+00:00,Erzgebirge AUE,Fortuna Dusseldorf,190,158,,,,
585202,2021-01-16T12:00:00+00:00,VfL BOCHUM,FC Nurnberg,176,171,,,,
585198,2021-01-17T12:30:00+00:00,FC Heidenheim,SV Darmstadt 98,180,181,,,,
585204,2021-01-17T12:30:00+00:00,Holstein Kiel,Karlsruher SC,191,785,,,,
585205,2021-01-17T12:30:00+00:00,Jahn Regensburg,SV Sandhausen,177,189,,,,
585199,2021-01-18T19:30:00+00:00,Hamburger SV,VfL Osnabruck,175,1324,,,,
