fixture_id,event_date,home_team,away_team,home_team_id,away_team_id,h_halftime_score,a_halftime_score,h_fulltime_score,a_fulltime_score
593146,2021-01-12T19:00:00+00:00,Luton,QPR,1359,72,0,1,0,2
593119,2021-01-12T19:45:00+00:00,Bournemouth,Millwall,35,58,1,0,1,1
593144,2021-01-13T19:00:00+00:00,Brentford,Bristol City,55,56,,,,
593162,2021-01-16T12:30:00+00:00,Middlesbrough,Birmingham,70,54,,,,
593155,2021-01-16T15:00:00+00:00,Bournemouth,Luton,35,1359,,,,
593157,2021-01-16T15:00:00+00:00,Blackburn,Stoke City,67,75,,,,
593158,2021-01-16T15:00:00+00:00,Bristol City,Preston,56,59,,,,
593159,2021-01-16T15:00:00+00:00,Cardiff,Norwich,43,71,,,,
593160,2021-01-16T15:00:00+00:00,Coventry,Sheffield Wednesday,1346,74,,,,
593161,2021-01-16T15:00:00+00:00,Derby,Rotherham,69,73,,,,
593163,2021-01-16T15:00:00+00:00,Nottingham Forest,Millwall,65,58,,,,
593164,2021-01-16T15:00:00+00:00,QPR,Wycombe,72,1358,,,,
593165,2021-01-16T15:00:00+00:00,Reading,Brentford,53,55,,,,
593166,2021-01-16T15:00:00+00:00,Watford,Huddersfield,38,37,,,,
593156,2021-01-16T19:45:00+00:00,Barnsley,Swansea,747,76,,,,
593168,2021-01-19T18:00:00+00:00,Derby,Bournemouth,69,35,,,,
593171,2021-01-19T18:00:00+00:00,Reading,Coventry,53,1346,,,,
593167,2021-01-19T19:00:00+00:00,Blackburn,Swansea,67,76,,,,
593170,2021-01-19T19:00:00+00:00,Sheffield Wednesday,Wycombe,74,1358,,,,
593169,2021-01-19T19:45:00+00:00,Rotherham,Stoke City,73,75,,,,
606504,2021-01-19T19:45:00+00:00,Watford,Barnsley,38,747,,,,
593176,2021-01-20T18:00:00+00:00,Norwich,Bristol City,71,56,,,,
593173,2021-01-20T19:00:00+00:00,Brentford,Luton,55,1359,,,,
593174,2021-01-20T19:00:00+00:00,Cardiff,QPR,43,72,,,,
593175,2021-01-20T19:00:00+00:00,Huddersfield,Millwall,37,58,,,,
593177,2021-01-20T19:00:00+00:00,Nottingham Forest,Middlesbrough,65,70,,,,
593172,2021-01-20T19:45:00+00:00,Birmingham,Preston,54,59,,,,
