fixture_id,event_date,home_team,away_team,home_team_id,away_team_id,h_halftime_score,a_halftime_score,h_fulltime_score,a_fulltime_score
328680,2021-01-04T20:00:00+00:00,Parana,Botafogo SP,122,2618,0,1,1,1
328683,2021-01-04T23:00:00+00:00,Confiança,Nautico Recife,7772,755,0,0,2,0
328688,2021-01-05T22:15:00+00:00,Guarani Campinas,Ponte Preta,138,139,0,1,1,1
328694,2021-01-06T00:30:00+00:00,Cuiaba,Juventude,1193,152,1,0,1,0
328691,2021-01-08T19:00:00+00:00,Brasil DE Pelotas,Avai,141,145,0,0,0,1
328687,2021-01-08T22:15:00+00:00,CRB,Confiança,146,7772,0,0,2,0
328690,2021-01-08T22:15:00+00:00,Operario-PR,Oeste,1223,143,0,0,2,0
328692,2021-01-08T22:15:00+00:00,Nautico Recife,Parana,755,122,1,1,2,1
328686,2021-01-09T00:30:00+00:00,Figueirense,CSA,137,150,0,0,0,0
328693,2021-01-09T00:30:00+00:00,Sampaio Correa,Cruzeiro,155,135,0,1,0,1
328685,2021-01-09T22:00:00+00:00,America Mineiro,Vitoria,125,136,2,0,4,0
328689,2021-01-10T00:00:00+00:00,Botafogo SP,Chapecoense-sc,2618,132,2,0,3,0
328698,2021-01-11T20:30:00+00:00,Ponte Preta,Cuiaba,139,1193,1,0,2,2
328697,2021-01-11T23:00:00+00:00,CRB,Guarani Campinas,146,138,0,0,2,0
328703,2021-01-11T23:00:00+00:00,Confiança,Operario-PR,7772,1223,1,0,1,2
328699,2021-01-12T22:15:00+00:00,Botafogo SP,Sampaio Correa,2618,155,0,1,2,1
328700,2021-01-12T22:15:00+00:00,Parana,CSA,122,150,2,0,2,0
328701,2021-01-12T22:15:00+00:00,Brasil DE Pelotas,Juventude,141,152,2,1,2,1
328702,2021-01-12T22:15:00+00:00,Nautico Recife,America Mineiro,755,125,0,0,0,0
328704,2021-01-13T00:30:00+00:00,Chapecoense-sc,Figueirense,132,137,1,0,2,1
328696,2021-01-13T22:00:00+00:00,Avai,Vitoria,145,136,1,0,2,2
328695,2021-01-14T00:30:00+00:00,Cruzeiro,Oeste,135,143,0,1,0,1
328710,2021-01-14T22:15:00+00:00,Operario-PR,CRB,1223,146,,,,
328714,2021-01-15T00:30:00+00:00,Cuiaba,Guarani Campinas,1193,138,,,,
328706,2021-01-15T20:30:00+00:00,Figueirense,Brasil DE Pelotas,137,141,,,,
328713,2021-01-15T22:15:00+00:00,Sampaio Correa,Parana,155,122,,,,
328705,2021-01-16T00:30:00+00:00,America Mineiro,Botafogo SP,125,2618,,,,
328707,2021-01-16T19:30:00+00:00,CSA,Avai,150,145,,,,
328711,2021-01-16T22:00:00+00:00,Juventude,Cruzeiro,152,135,,,,
328709,2021-01-17T00:00:00+00:00,Oeste,Confiança,143,7772,,,,
328708,2021-01-17T19:00:00+00:00,Ponte Preta,Nautico Recife,139,755,,,,
328712,2021-01-17T19:00:00+00:00,Vitoria,Chapecoense-sc,136,132,,,,
328721,2021-01-19T19:00:00+00:00,Brasil DE Pelotas,America Mineiro,141,125,,,,
328716,2021-01-19T22:15:00+00:00,Avai,Juventude,145,152,,,,
328717,2021-01-19T22:15:00+00:00,CRB,Figueirense,146,137,,,,
328719,2021-01-19T22:15:00+00:00,Botafogo SP,CSA,2618,150,,,,
328723,2021-01-19T22:15:00+00:00,Confiança,Sampaio Correa,7772,155,,,,
328720,2021-01-20T00:30:00+00:00,Parana,Cuiaba,122,1193,,,,
328718,2021-01-20T19:00:00+00:00,Guarani Campinas,Vitoria,138,136,,,,
328722,2021-01-20T22:15:00+00:00,Nautico Recife,Oeste,755,143,,,,
328715,2021-01-21T00:30:00+00:00,Cruzeiro,Operario-PR,135,1223,,,,
328724,2021-01-21T20:45:00+00:00,Chapecoense-sc,Ponte Preta,132,139,,,,
