fixture_id,event_date,home_team,away_team,home_team_id,away_team_id,h_halftime_score,a_halftime_score,h_fulltime_score,a_fulltime_score
647845,2021-01-04T00:10:00+00:00,Temperley,Deportivo Moron,454,469,0,0,0,0
647847,2021-01-04T20:10:00+00:00,Agropecuario,Ferro Carril Oeste,462,470,0,0,0,1
647906,2021-01-04T22:00:00+00:00,Instituto Cordoba,Quilmes,478,480,0,1,2,1
647846,2021-01-04T22:10:00+00:00,CA Estudiantes,Platense,1936,1064,0,1,1,1
647827,2021-01-06T20:10:00+00:00,Sarmiento Junin,Defensores De Belgrano,474,1067,0,0,1,0
647852,2021-01-10T20:10:00+00:00,Estudiantes de Rio Cuarto,Agropecuario,2424,462,0,0,4,0
647853,2021-01-10T20:10:00+00:00,Ferro Carril Oeste,CA Estudiantes,470,1936,0,0,1,2
647854,2021-01-10T20:10:00+00:00,Platense,Temperley,1064,454,2,0,2,1
647855,2021-01-10T20:10:00+00:00,Deportivo Moron,Atlanta,469,1948,1,0,1,2
647908,2021-01-10T20:10:00+00:00,Barracas Central,Nueva Chicago,2432,484,0,0,0,1
647909,2021-01-10T20:10:00+00:00,Guillermo Brown,San Martin S.J.,472,461,0,0,0,1
647910,2021-01-10T20:10:00+00:00,Belgrano Cordoba,Alvarado,440,1962,1,0,2,2
647911,2021-01-10T20:10:00+00:00,Independ. Rivadavia,Atletico Mitre,473,466,0,1,0,1
647856,2021-01-10T22:15:00+00:00,San Martin Tucuman,Gimnasia M.,485,1066,1,1,2,2
647857,2021-01-10T22:15:00+00:00,Villa Dalmine,Defensores De Belgrano,481,1067,0,1,1,2
647858,2021-01-10T22:15:00+00:00,Atletico DE Rafaela,Sarmiento Junin,465,474,0,0,0,0
647859,2021-01-10T22:15:00+00:00,Tigre,Deportivo Riestra,452,476,1,0,1,2
647912,2021-01-12T00:10:00+00:00,Almagro,Chacarita Juniors,482,447,0,1,0,2
647913,2021-01-12T00:10:00+00:00,All Boys,Instituto Cordoba,464,478,0,0,2,2
647914,2021-01-12T00:10:00+00:00,Quilmes,Brown DE Adrogue,480,468,1,0,1,0
647915,2021-01-12T00:10:00+00:00,Gimnasia Jujuy,Santamarina,479,475,1,0,2,2
656831,2021-01-16T00:00:00+00:00,Estudiantes de Rio Cuarto,Sarmiento Junin,2424,474,,,,
