fixture_id,event_date,home_team,away_team,home_team_id,away_team_id,h_halftime_score,a_halftime_score,h_fulltime_score,a_fulltime_score
571643,2021-01-06T18:00:00+00:00,Lorient,Monaco,97,91,1,1,2,5
571645,2021-01-06T18:00:00+00:00,Stade Brestois 29,Nice,106,84,2,0,2,0
571647,2021-01-06T18:00:00+00:00,Metz,Bordeaux,112,78,0,0,0,0
571650,2021-01-06T18:00:00+00:00,Nantes,Rennes,83,94,0,0,0,0
571651,2021-01-06T18:00:00+00:00,Strasbourg,Nimes,95,92,3,0,5,0
571642,2021-01-06T20:00:00+00:00,Lyon,Lens,80,116,1,0,3,2
571644,2021-01-06T20:00:00+00:00,Lille,Angers,79,77,1,2,1,2
571646,2021-01-06T20:00:00+00:00,Marseille,Montpellier,81,82,1,0,3,1
571648,2021-01-06T20:00:00+00:00,Saint Etienne,Paris Saint Germain,1063,85,1,1,1,1
571649,2021-01-06T20:00:00+00:00,Reims,Dijon,93,89,0,0,0,0
571652,2021-01-09T20:00:00+00:00,Metz,Nice,112,84,0,1,1,1
571653,2021-01-09T20:00:00+00:00,Lens,Strasbourg,116,95,0,1,0,1
571654,2021-01-09T20:00:00+00:00,Dijon,Marseille,89,81,0,0,0,0
571655,2021-01-09T20:00:00+00:00,Bordeaux,Lorient,78,97,2,1,2,1
571656,2021-01-09T20:00:00+00:00,Monaco,Angers,91,77,1,0,3,0
571657,2021-01-09T20:00:00+00:00,Montpellier,Nantes,82,83,1,0,1,1
571658,2021-01-09T20:00:00+00:00,Reims,Saint Etienne,93,1063,2,0,3,1
571659,2021-01-09T20:00:00+00:00,Paris Saint Germain,Stade Brestois 29,85,106,1,0,3,0
571660,2021-01-09T20:00:00+00:00,Nimes,Lille,92,79,0,1,0,1
571661,2021-01-09T20:00:00+00:00,Rennes,Lyon,94,80,1,0,2,2
571670,2021-01-15T20:00:00+00:00,Montpellier,Monaco,82,91,,,,
571667,2021-01-16T16:00:00+00:00,Marseille,Nimes,81,92,,,,
571665,2021-01-16T20:00:00+00:00,Angers,Paris Saint Germain,77,85,,,,
571664,2021-01-17T12:00:00+00:00,Stade Brestois 29,Rennes,106,94,,,,
571662,2021-01-17T14:00:00+00:00,Lorient,Dijon,97,89,,,,
571668,2021-01-17T14:00:00+00:00,Nice,Bordeaux,84,78,,,,
571669,2021-01-17T14:00:00+00:00,Nantes,Lens,83,116,,,,
571671,2021-01-17T14:00:00+00:00,Strasbourg,Saint Etienne,95,1063,,,,
571663,2021-01-17T16:00:00+00:00,Lille,Reims,79,93,,,,
571666,2021-01-17T20:00:00+00:00,Lyon,Metz,80,112,,,,
571552,2021-01-20T20:00:00+00:00,Marseille,Lens,81,116,,,,
